,id,text,class,subclass,confidence
46,F0_REQ_00047,The CNG may use multiple tunnel connections for providing e.g. adequate QoS for the remote access user.,FR,Functional,0.5
47,F0_REQ_00048,The CNG may allow secure dynamic firewall opening for remote access devices based on NGN authentication functions.,FR,Functional,0.5
48,F0_REQ_00049,The CNG may provide Home to Home (H2H) communication service connecting CNDs in different CPNs.,FR,Functional,0.5
49,F0_REQ_00050,"If Home to Home (H2H) communication service is provided, then each CNG must limit access to local CNDs and/or media classes based on the access rights of the remote H2H user identity.",FR,Functional,0.5
50,F0_REQ_00051,"If Home to Home (H2H) communication service is provided, then each CNG must ensure that emergency service sessions originating in its CPN are associated with the appropriate location information and/or calling identity.",FR,Functional,0.5
51,F0_REQ_00052,"The CPN may support encrypted communication with remote access devices, and the encrypted communication can be terminated either at the CNG or CND.",FR,Functional,0.5
52,F0_REQ_00053,The CNG may act as a proxy for handling messages (requests and responses) related to the remote access scenarios to and from the home.,FR,Functional,0.5
53,F0_REQ_00054,The CNG may support mechanisms supporting nomadism of the users and their subscribed services from one physical customer environment to another.,FR,Functional,0.5
65,F0_REQ_00066,Codec requirements and capabilities for the User Equipment (including the CNG) are already defined in TS 181 005 [1] which describes service requirements and capabilities for the TISPAN NGN.,FR,Functional,0.5
76,F0_REQ_00077,Protocols adaptation for control plane or management plane may be performed by CNG.,FR,Functional,0.5
80,F0_REQ_00081,"Subject to applicable regulation, UGC media streams may be sent directly from one CPN to one or multiple other CPN.",FR,Functional,0.5
86,F0_REQ_00087,The CNG may interact with the Resource and Admission Control Subsystem (RACS) as defined in ES 282 001 [9] to support remote real-time QoS control,FR,Functional,0.5
87,F0_REQ_00088,The CNG may interact with network elements inside the CPN to support QoS control inside the CPN.,FR,Functional,0.5
107,F0_REQ_00108,"For the CNG management it is recommended to use a single protocol, so as to minimize the complexity and the cost of the service.",FR,Functional,0.5
112,F0_REQ_00113,The CND directly or through the CNG must be able to access to Network Configuration Service Function without involving any user interaction.,FR,Functional,0.5
118,F0_REQ_00119,"A CND, as defined in clause 3, may use the CNG to access NGN services.",FR,Functional,0.5
158,F0_REQ_00159,The CNG may allow secure dynamic firewall opening for remote access devices based on NGN authentication functions.,FR,Functional,0.5
159,F0_REQ_00160,"The CPN may support encrypted communication with remote access devices, and the encrypted communication can be terminated either at the CNG or CND.",FR,Functional,0.5
160,F0_REQ_00161,The CNG may act as a proxy for handling messages (requests and responses) related to the remote access scenarios to and from the home.,FR,Functional,0.5
161,F0_REQ_00162,The CNG may support mechanisms supporting nomadism of the users and their subscribed services from one physical customer environment to another.,FR,Functional,0.5
162,F0_REQ_00163,"Multiple identities should be supported within the same subscription. Personal service profiles per each identity within the same subscription should be supported. A shared public identity on several terminals, with different private identities, shall be supported (shared IMPU).",FR,Functional,0.5
168,F0_REQ_00169,(i.e. using the same CND in two different CPNs declaring the same public identity). Supporting this scenario for non IMS capable CNDs is still to be discussed.,FR,Functional,0.5
170,F0_REQ_00171,Codec requirements and capabilities for the User Equipment (including the CNG) are already defined in TS 181 005 [1] which describes service requirements and capabilities for the TISPAN NGN.,FR,Functional,0.5
181,F0_REQ_00182,Protocols adaptation for control plane or management plane may be performed by CNG.,FR,Functional,0.5
200,F0_REQ_00201,"For the CNG management it is recommended to use a single protocol, so as to minimize the complexity and the cost of the service.",FR,Functional,0.5
202,F0_REQ_00203,"(e.g. VoIP phones, Video phones, STBs, etc).",FR,Functional,0.5
210,F0_REQ_00211,Successful authentication is a prerequisite for the processing of any on-line or offline CEPS transaction,NFR,Security,0.5
211,F0_REQ_00212,"On-line authentication must take place between the card issuer and the CEP card for load,unload,and currency exchange transactions",FR,Functional,0.5
212,F0_REQ_00213,The card issuer and the CEP card share a secret key to generate and verify MACs,FR,Functional,0.5
213,F0_REQ_00214,Off-line authentication must take place between a PSAM in the POS device and the CEP card for purchase and cancel last purchase transactions,FR,Functional,0.5
214,F0_REQ_00215,"The card and the PSAM must use a public key algorithm for mutual authentication and session key exchange,as no permanent shared secret key may exist between the CEP card and the PSAM",FR,Functional,0.5
215,F0_REQ_00216,"To load value into a slot of the CEP card securely,the load device establishes a connection between the issuer and the CEP card",FR,Functional,0.5
217,F0_REQ_00218,"If this is not a cash load,the funds issuer needs to verify that the funds are requested by the legitimate account owner,which is normally done by the presentation of an enciphered PIN",FR,Functional,0.5
218,F0_REQ_00219,"The card issuer needs to ensure that the load acquirer is guaranteeing payment for the electronic value,and that the card is authentic",FR,Functional,0.5
219,F0_REQ_00220,"The load acquirer needs to ensure that the issuer is the true owner of the card,and,in the case of an apparent failure of the load,the load acquirer needs the card presented to authenticate the failure",NFR,Reliability,0.5
220,F0_REQ_00221,The load device sends S1 in an authorization request to the issuer,NFR,Security,0.5
221,F0_REQ_00222,The load device also provides for verification of the identity of the cardholder (with either on-line or off-line PIN verification) and forwards verification data in the authorization request,FR,Functional,0.5
222,F0_REQ_00223,The issuer validates S1 to authenticate the card and the data to be used in the transaction,FR,Functional,0.5
223,F0_REQ_00224,The issuer sends S2 to the load acquirer in the authorization response message,NFR,Security,0.5
224,F0_REQ_00225,Unloads are permitted only to an account controlled by the card issuer and are performed only at a load device under the control of the card issuer,FR,Functional,0.5
225,F0_REQ_00226,"The cardholder must have an account relationship with the card issuer,and funds removed from the card are credited to the cardholder account only after the card issuer authenticates the card",FR,Functional,0.5
