,id,text,class,subclass,confidence
11,F0_REQ_00011,"The primary goal of the GlobalPlatform is to ensure the security and integrity of the card's components for the life of the card. These components are The runtime environment,The OPEN,The Issuer Security Domain,Supplementary Security Domains, The Applications.",NFR,Security,0.5
12,F0_REQ_00012,"To ensure card security and integrity, the GlobalPlatform is designed to support a range of secure mechanisms for: Data integrity, Resource availability, Confidentiality, Authentication.",NFR,Security,0.5
13,F0_REQ_00013,"The Card Issuer is responsible for Generating and loading the Issuer Security Domain keys,",NFR,Security,0.5
14,F0_REQ_00014,""" """"The Card Issuer is responsible for Enforcing standards and policies for Application Providers governing all aspects of Applications to be provided to the Card Issuer or operated on the Card Issuer's cards,""""",FR,Functional,0.5
15,F0_REQ_00015,""" """"The Card Issuer is responsible for Working with Application Providers to create and initialize Security Domains other than the Issuer Security Domain,""""",FR,Functional,0.5
16,F0_REQ_00016,""" """"The Card Issuer is responsible for Determining policy with regards to card and Application Life Cycle management, velocity checking levels, privileges, and other security parameters,""""",NFR,Security,0.5
17,F0_REQ_00017,The Card Issuer is responsible for Managing the application code loading and installing both on a Pre-Issuance and Post-Issuance basis,FR,Functional,0.5
18,F0_REQ_00018,"The Card Issuer is responsible for Cryptographically authorizing load, install, and extradition to be performed by Application Providers.",FR,Functional,0.5
19,F0_REQ_00019,""" """"The Application Provider is responsible for Generating the keys for its own Security Domains or obtaining Security Domain keys from a trusted third party,""""",FR,Functional,0.5
20,F0_REQ_00020,"The Application Provider is responsible for Working with the Card Issuer to load generated keys into the Application Provider's Security Domain,",FR,Functional,0.5
21,F0_REQ_00021,"The Application Provider is responsible for Providing applications that meet the Card Issuer's security standards and policies,",FR,Functional,0.5
22,F0_REQ_00022,""" """"The Application Provider is responsible for Providing load file data block signatures according to its own security policy for integrity and source authenticity,""""",FR,Functional,0.5
23,F0_REQ_00023,"The Application Provider is responsible for Obtaining pre-authorization for load, install, and extradition from the Card Issuer,",FR,Functional,0.5
24,F0_REQ_00024,"The Application Provider is responsible for Returning receipts for load, install, delete, and extradition, according to the Card Issuer's policy.",FR,Functional,0.5
