,id,text,class,subclass,confidence
30,F0_REQ_00031,The EIRENE network shall provide text message bearer service.,FR,Functional,0.8
31,F0_REQ_00032,The EIRENE network shall provide bearer service for general data applications.,FR,Functional,0.8
32,F0_REQ_00033,The EIRENE network shall provide bearer service for automatic fax.,FR,Functional,0.8
33,F0_REQ_00034,The EIRENE network shall provide bearer service for train control applications.,FR,Functional,0.8
34,F0_REQ_00035,The EIRENE network shall provide closed user group service.,FR,Functional,0.8
35,F0_REQ_00036,The EIRENE network shall provide multi-level priority and pre-emption.,FR,Functional,0.8
36,F0_REQ_00037,"The EIRENE network shall provide advanced call handling, such as call hold, call transfer, call queuing, etc.",FR,Functional,0.8
37,F0_REQ_00038,The EIRENE network shall provide auto answer service.,FR,Functional,0.8
38,F0_REQ_00039,The EIRENE network shall provide barring incoming or outgoing calls.,FR,Functional,0.8
39,F0_REQ_00040,The EIRENE network shall provide call supervisory indications.,FR,Functional,0.8
40,F0_REQ_00041,The EIRENE network shall provide charging information.,FR,Functional,0.8
41,F0_REQ_00042,"The EIRENE network shall support functional addressing by train, engine or coach number or functional number.",NFR,Performance,1
42,F0_REQ_00043,The EIRENE network shall support call specific persons depending upon user location.,FR,Functional,0.8
43,F0_REQ_00044,The EIRENE network shall support a specific mode for shunting operations providing a link assurance signal.,FR,Functional,0.8
44,F0_REQ_00045,The EIRENE network shall support multiple driver communications within the same train.,FR,Functional,0.8
45,F0_REQ_00046,The EIRENE network shall support railway operational emergency calls.,FR,Functional,0.8
46,F0_REQ_00047,The EIRENE network shall provide a direct mode facility for local set-to-set operation without network infrastructure.,FR,Functional,0.8
47,F0_REQ_00048,The EIRENE network shall provide set-up of urgent or frequent calls through single keystroke or similar.,FR,Functional,0.8
48,F0_REQ_00049,The EIRENE network shall provide display of functional identity of calling/called party.,FR,Functional,0.8
49,F0_REQ_00050,The EIRENE network shall provide fast and guaranteed call set-up.,FR,Functional,0.8
50,F0_REQ_00051,The EIRENE network shall provide seamless communication support for train speeds up to 500 km/h.,FR,Functional,0.8
51,F0_REQ_00052,The EIRENE network shall provide automatic and manual test modes with fault indications.,FR,Functional,0.8
52,F0_REQ_00053,The EIRENE network shall provide control over mobile network selection.,FR,Functional,0.8
53,F0_REQ_00054,The EIRENE network shall provide control over system configuration.,FR,Functional,0.8
54,F0_REQ_00055,It shall be possible for applications external to EIRENE to access EIRENE bearer services.,FR,Functional,0.8
55,F0_REQ_00056,All voice call services shall be able to operate between any combination of fixed and mobile equipment users.,NFR,Performance,1
56,F0_REQ_00057,The system shall support point-to-point voice calls between any two call parties.,FR,Functional,0.8
57,F0_REQ_00058,Such point-to-point calls shall allow both parties to talk simultaneously.,FR,Functional,0.8
58,F0_REQ_00059,The system shall allow a user to make public emergency point-to-point voice calls.,FR,Functional,0.8
59,F0_REQ_00060,The system shall support broadcast voice calls.,FR,Functional,0.8
60,F0_REQ_00061,The composition of call groups shall be able to be modified within the network.,FR,Functional,0.8
