,global_id,text,type,source
0,,System Administration shall operate on a Linux or Solaris server.,UNK,SRS4 - ILS - Integrated Library System.pdf
1,,System Administration shall be accessible through a web-browser or a Windows- compatible client.,UNK,SRS4 - ILS - Integrated Library System.pdf
2,,"If web-browser based, System Administration shall be accessible through Microsoft Internet Explorer (v.6.0 and later) and Mozilla Firefox (v.2.0 and later).",UNK,SRS4 - ILS - Integrated Library System.pdf
3,,"System Administration shall be accessible with screen-reading software, screen- magnification software, and other software programs designed to increase accessibility. 1.",UNK,SRS4 - ILS - Integrated Library System.pdf
4,,System Administration Module shall use a fully relational database back-end.,UNK,SRS4 - ILS - Integrated Library System.pdf
5,,System Administration Module shall produce standards-compliant HTML.,UNK,SRS4 - ILS - Integrated Library System.pdf
6,,System Administration Module shall provide a development and training environment with the ability to migrate configurations to a production environment.,UNK,SRS4 - ILS - Integrated Library System.pdf
7,,"The software developer shall provide complete data specifications for authority records, bibliographic records, order records, item records, hold/request records, and other records maintained or accessed by the System Administration Module.",UNK,SRS4 - ILS - Integrated Library System.pdf
8,,"The software developer shall provide a thorough high-level description of major processes, including bibliographic record import and export, validation of bibliographic records against internal and external authority sources, and standard reports.",UNK,SRS4 - ILS - Integrated Library System.pdf
9,,"The system shall provide an online, hierarchical, and cross-linked help system in HTML that describes and illustrates all system functions. 1.9 Assumptions and Dependencies AS-1: The System Administration Module is part of an enterprise-level Library Automation System. AS-2: System Administration process are consolidated at a central location, and accept input and provide services to multiple locations. DE-1: The System Administration Module relies on the data structures and functionality of an enterprise-level Library Automation System, including Acquisitions and Cataloging modules. DE-2: The System Administration Module interface with a variety of vendor websites, via published APIs and/or automated transfer of standard-format data files (e.g. USMARC21, EDIFACT). DE-3: The System Administration Module interacts with a patron interface, also known as an Online Public Access Catalog (OPAC. System Requirements Category: Systems: General Priority: 3",UNK,SRS4 - ILS - Integrated Library System.pdf
10,,"Ability to specify default value, data validation, automatic formatting, and required status for any field.",UNK,SRS4 - ILS - Integrated Library System.pdf
11,,System provides a dedicated interface for creating new patron accounts. Patron account creation process provides configurable templates for staff use; supports field validation and required fields; provides configurable defaults.,UNK,SRS4 - ILS - Integrated Library System.pdf
12,,"Client software installation and updates must be centrally managed, using standard or proprietary network management tools, allowing streaming updates from server. Ability to specify specific clients to be updated. Client software can be managed with VNC and Remote Desktop.",UNK,SRS4 - ILS - Integrated Library System.pdf
13,,"Specifically, the system must support a library system with 50 locations, 20 million circulations, purchasing and processing over 500,000 items per year",UNK,SRS4 - ILS - Integrated Library System.pdf
14,,System Administration shall operate on a Linux or Solaris server,UNK,SRS4 - ILS - Integrated Library System.pdf
15,,System Administration shall be accessible through a web-browser or a Windows- compatible client,UNK,SRS4 - ILS - Integrated Library System.pdf
16,,"If web-browser based, System Administration shall be accessible through Microsoft Internet Explorer (v",UNK,SRS4 - ILS - Integrated Library System.pdf
17,,"System Administration shall be accessible with screen-reading software, screen- magnification software, and other software programs designed to increase accessibility",UNK,SRS4 - ILS - Integrated Library System.pdf
18,,Design and Implementation Constraints CO-1: System Administration Module shall use a fully relational database back-end,UNK,SRS4 - ILS - Integrated Library System.pdf
19,,System Administration Module shall provide a development and training environment with the ability to migrate configurations to a production environment,UNK,SRS4 - ILS - Integrated Library System.pdf
20,,"User Documentation UD-1: The software developer shall provide complete data specifications for authority records, bibliographic records, order records, item records, hold/request records, and other records maintained or accessed by the System Administration Module",UNK,SRS4 - ILS - Integrated Library System.pdf
21,,"The software developer shall provide a thorough high-level description of major processes, including bibliographic record import and export, validation of bibliographic records against internal and external authority sources, and standard reports",UNK,SRS4 - ILS - Integrated Library System.pdf
22,,"The system shall provide an online, hierarchical, and cross-linked help system in HTML that describes and illustrates all system functions",UNK,SRS4 - ILS - Integrated Library System.pdf
