,id,text,class,subclass,confidence
0,F0_REQ_00000,The app shall run on a smart phone with Android OS least version 2.3 .,FR,Functional,0.8
1,F0_REQ_00001,"All layout shall be according to the TU/e corporate identity, unless in conflict with the guidelines of requirements UCOR003-UCOR006.",FR,Functional,0.8
2,F0_REQ_00002,The icons shall be according to the Android Icon Guidelines.,FR,Functional,0.8
3,F0_REQ_00003,The user interfaces shall be according to the Android User Interface Guidelines.,FR,Functional,0.8
4,F0_REQ_00004,"The Twitter ""tweet"" interface shall be according to the Twitter Guidelines.",FR,Functional,0.8
5,F0_REQ_00005,"The Facebook ""like"" interface shall be according to the Facebook Guidelines.",FR,Functional,0.8
6,F0_REQ_00006,The campus map shall cover the campus of the TU/e.,FR,Functional,0.8
7,F0_REQ_00007,The campus map shall cover the central train station of Eindhoven.,FR,Functional,0.8
15,F0_REQ_00015,"The search response time for the system must consistently be within two seconds, with an ideal goal of one second, based on measurments from 1000 searches during testing.",FR,Functional,0.8
23,F0_REQ_00023,Login communication must be 100% encrypted to prevent usernames and passwords from being intercepted during data exchange between the application and server.,NFR,Security,0.8
33,F0_REQ_00033,"The system must support 10,000 concurrent users with a maximum response time of 2 seconds.",NFR,Performance,0.8
37,F0_REQ_00037,The overall accuracy is calculated by dividing total number of correct answers by the number of questions asked.,NFR,Performance,0.8
38,F0_REQ_00038,The accuracy of the Generic Question Construction​ part will be close to 80%,NFR,Reliability,0.8
40,F0_REQ_00040,"A Drexel University Web API is being designed to answer questions about campus facilities, staff, policies, dining, and food trucks, with accuracy ranging from 40% for food trucks to 80% for generic question construction.",NFR,Reliability,0.8
41,F0_REQ_00041,"The average time for the server to respond, over the question testing set, will be less than or equal to 2 seconds",NFR,Performance,0.8
50,F0_REQ_00050,The user shall be able to enter data using a cell phone keypad layout.,FR,Functional,0.8
51,F0_REQ_00051,Users shall be able to configure settings both locally on the device and remotely.,FR,Functional,0.8
52,F0_REQ_00052,The system shall provide selection menus to minimize the need for manual typing of options.,FR,Functional,0.8
56,F0_REQ_00056,Secure connection to an internal system shall be required for user login and identification.,FR,Functional,0.8
58,F0_REQ_00058,"With regards to the intended number of users in the Amsterdam pilot, and the projected load scenarios, the intention is for the system to be able to serve 20.000 queries / day (in large part during the 4 peak traffic hours).",NFR,Performance,0.8
59,F0_REQ_00059,Users shall be able to trust and understand the system through its simplicity and transparency.,FR,Functional,0.8
60,F0_REQ_00060,The system shall anonymize and aggregate route information to enable safe sharing without compromising user privacy.,FR,Functional,0.8
61,F0_REQ_00061,The system shall employ encryption for all privacy-sensitive data at rest to ensure both security and basic functionality.,FR,Functional,0.8
62,F0_REQ_00062,The system shall allow users to create unverified (anonymous) avatars or aliases.,FR,Functional,0.8
63,F0_REQ_00063,"The system shall empower end-users to manage their private data, including the option to delete their personal repository.",FR,Functional,0.8
64,F0_REQ_00064,"The system shall be multilingual, supporting English, Turkish, Finnish, and Italian for international deployment.",FR,Functional,0.8
65,F0_REQ_00065,The system shall support the display of all user interface text elements in both English and Dutch.,FR,Functional,0.8
66,F0_REQ_00066,The system shall allow qualified programmers to extend functionality through adding sub-apps and launchers.,FR,Functional,0.8
67,F0_REQ_00067,The system shall allow authorized users to delete sub-apps and their launchers within the main application.,FR,Functional,0.8
68,F0_REQ_00068,"The system shall allow application maintainers to configure information sources for sub-applications like agenda, news, Facebook, and Twitter.",FR,Functional,0.8
69,F0_REQ_00069,"For non-programmers, the system shall allow customization of the application's visual style (colors and icons) for easy maintenance.",FR,Functional,0.8
70,F0_REQ_00070,"The application shall be extensible, allowing skilled Java Android programmers to add new sub-applications with launchers to the main interface.",FR,Functional,0.8
71,F0_REQ_00071,Radford University students shall use their RU credentials to access automatic class schedule and assignment sharing.,FR,Functional,0.8
72,F0_REQ_00072,"The system shall operate primarily offline, with networked authentication components functioning only when Radford University's systems are available.",FR,Functional,0.8
75,F0_REQ_00075,The system shall offer extensive customization for course and calendar details while maintaining a more static design for other functionalities.,FR,Functional,0.8
76,F0_REQ_00076,"The system shall function as a reusable semester-to-semester application for returning students, offering automatic class schedule updates and integration with the Radford University mobile app.",FR,Functional,0.8
79,F0_REQ_00079,The overall accuracy shall be calculated by dividing total number of correct answers by the number of questions asked.,NFR,Performance,1
80,F0_REQ_00080,The accuracy of the Generic Question Construction​ part will be close to 80%.,NFR,Reliability,0.8
81,F0_REQ_00081,The accuracy of the Generic Answer Construction​ unit will be close to 70%.,NFR,Reliability,0.8
82,F0_REQ_00082,The accuracy of the Generic Answer Population​ unit will be close to 70%.,NFR,Reliability,0.8
83,F0_REQ_00083,"The average time for the server to respond, over the question testing set, will be less than or equal to 2 seconds.",NFR,Performance,0.8
87,F0_REQ_00087,"The system shall be designed for high performance with optimized server queries, instantaneous screen transitions, and sub-second cost-division computation.",FR,Functional,0.8
89,F0_REQ_00089,The system shall prioritize convenience over robust user authentication by relying solely on Google email verification in the future.,FR,Functional,0.8
92,F0_REQ_00092,All text elements in the user interfaces shall be presented in the selected language.,FR,Functional,0.8
93,F0_REQ_00093,The system shall support the English language.,FR,Functional,0.8
94,F0_REQ_00094,The system shall support Dutch as a user interface language.,FR,Functional,0.8
95,F0_REQ_00095,Sub-apps and their launchers shall be added to the main app by a qualified programmer.,FR,Functional,0.8
96,F0_REQ_00096,Sub-apps and their launchers in the main app shall be deleted by a qualified programmer.,FR,Functional,0.8
97,F0_REQ_00097,"System shall be able to change the colors used in the user interfaces of the sub-apps and main application, excluding external resources.",FR,Functional,0.8
98,F0_REQ_00098,"System shall be able to change the fonts used in the user interfaces of the sub-apps and main application, excluding external resources.",FR,Functional,0.8
99,F0_REQ_00099,"System shall be able to change the icons used in the user interfaces of the sub-apps and main application, excluding external resources.",FR,Functional,0.8
100,F0_REQ_00100,"System shall be able to change the buttons used in the user interfaces of the sub-apps and main application, excluding external resources.",FR,Functional,0.8
101,F0_REQ_00101,"System shall be able to change the background used in the user interfaces of the sub-apps and main application, excluding external resources.",FR,Functional,0.8
102,F0_REQ_00102,"System shall be able to change the text elements used in the user interfaces of the sub-apps and main application, excluding external resources.",FR,Functional,0.8
103,F0_REQ_00103,The system shall restrict language selection to the main application.,FR,Functional,0.8
105,F0_REQ_00105,The system shall display a launcher to the Map-app version 3.1.3 on the main menu.,FR,Functional,0.8
106,F0_REQ_00106,The system shall display a launcher to the News-app version 3.1.4 on the main menu.,FR,Functional,0.8
107,F0_REQ_00107,The system shall display a launcher to the Agenda-app version 3.1.5 on the main menu.,FR,Functional,0.8
108,F0_REQ_00108,The system shall display a launcher to the Facebook-app version 3.1.9 on the main menu.,FR,Functional,0.8
109,F0_REQ_00109,The system shall display a launcher to the Twitter-app version 3.1.10 on the main menu.,FR,Functional,0.8
110,F0_REQ_00110,The system shall display a launcher to the Employee-finder-app version 3.1.6 on the main menu.,FR,Functional,0.8
111,F0_REQ_00111,"The system shall conditionally display a launcher to the Encyclopedia-app on the main menu, only when the Dutch language is selected.",FR,Functional,0.8
112,F0_REQ_00112,"The system shall conditionally display a launcher to the Student handbook-app on the main menu, only when the Dutch language is selected.",FR,Functional,0.8
113,F0_REQ_00113,The system shall be able to like insApption from the main menu.,FR,Functional,0.8
114,F0_REQ_00114,The system shall be able to tweet about insApption from the main menu.,FR,Functional,0.8
115,F0_REQ_00115,The system shall provide a link to the Twitter settings menu.,FR,Functional,0.8
116,F0_REQ_00116,The system shall provide a link to the Facebook settings menu.,FR,Functional,0.8
117,F0_REQ_00117,"In the Twitter settings menu, the user shall be able to save their username and password for Twitter.",FR,Functional,0.8
118,F0_REQ_00118,"In the Facebook settings menu, the user shall be able to save their username and password for Facebook.",FR,Functional,0.8
119,F0_REQ_00119,"In the Twitter settings menu, the system shall allow the user to delete their saved username and password for Twitter.",FR,Functional,0.8
120,F0_REQ_00120,"In the Facebook settings menu, the system shall allow the user to delete their saved username and password for Facebook.",FR,Functional,0.8
121,F0_REQ_00121,System shall be able to modify the appearance of the separate launchers.,FR,Functional,0.8
122,F0_REQ_00122,System shall be able to search for a certain building on the campus of the TU/e by name.,FR,Functional,0.8
123,F0_REQ_00123,System shall be able to search for a certain building on the campus of the TU/e by address.,FR,Functional,0.8
124,F0_REQ_00124,System shall be able to search for a certain POI on the campus of the TU/e by name.,FR,Functional,0.8
125,F0_REQ_00125,System shall be able to display a set of buildings that match the search input for queries described in requirements UCR201 and UCA202.,FR,Functional,0.8
126,F0_REQ_00126,System shall be able to display a set of POI's that match the search input when a user performs a search by name.,FR,Functional,0.8
127,F0_REQ_00127,"System shall be able to display an element from the search result (buildings or POIs) in the map view, following requirements UCAR201, UCAR202, and UCAR203.",FR,Functional,0.8
128,F0_REQ_00128,System shall be able to navigate between buildings on the campus.,FR,Functional,0.8
129,F0_REQ_00129,System shall be able to navigate from a building to a POI on the campus.,FR,Functional,0.8
130,F0_REQ_00130,System shall be able to navigate from a POI to a building on the campus.,FR,Functional,0.8
131,F0_REQ_00131,System shall be able to navigate between POIs on the campus.,FR,Functional,0.8
132,F0_REQ_00132,"System shall be able to navigate from a POI to another location on the campus (which could be a building, street, etc.).",FR,Functional,0.8
133,F0_REQ_00133,System shall be able to navigate from a street on the campus to another location on the campus.,FR,Functional,0.8
134,F0_REQ_00134,System shall be able to switch between different means of transportation while navigating.,FR,Functional,0.8
135,F0_REQ_00135,System shall be able to search for the from-location by the name of a building.,FR,Functional,0.8
136,F0_REQ_00136,System shall be able to search for the from-location by the address of a building.,FR,Functional,0.8
137,F0_REQ_00137,System shall be able to search for the from-location by the name of a POI.,FR,Functional,0.8
