,id,text,class,subclass,confidence
13,F0_REQ_00014,The data displayed in both the nodes within the graph and the rows in the table are MSEL Summary data,FR,Functional,0.5
15,F0_REQ_00016,The top 1/4 of the table will hold events that are to occur sequentially.,FR,Functional,0.5
16,F0_REQ_00017,The bottom 3/4 of the table will hold events that occur according to its relevance to current time.,FR,Functional,0.5
43,F0_REQ_00044,Out of 1000 accesses to the system the system is available 999 times.,FR,Functional,0.5
53,F0_REQ_00054,The product is expected to run on Windows CE and Palm operating systems.,FR,Functional,0.5
90,F0_REQ_00091,We must be able to interface with any HTML browser.,FR,Functional,0.5
136,F0_REQ_00137,The system will use the stored e-mail addresses as a primary means of communicating information to affected parties.,FR,Functional,0.5
138,F0_REQ_00139,The system will notify affected parties when changes occur affecting clinicals including but not limited to clinical section capacity changes and clinical section cancellations.,FR,Functional,0.5
139,F0_REQ_00140,The system will notify affected parties when changes occur affecting classes including but not limited to class cancellations class section detail changes and changes to class offerings for a given quarter.,FR,Functional,0.5
140,F0_REQ_00141,The system will notify affected parties when changes occur affecting cohorts including but not limited to changes to the sequence for a cohort\92s program of study and changes to a given week\92s schedule (lab cancelled this week due to instructor illness).,FR,Functional,0.5
141,F0_REQ_00142,The system will notify affected parties when changes occur affecting specific students including but not limited to changing a student\92s status from full time to part time and moving a student to a different clinical section.,FR,Functional,0.5
148,F0_REQ_00149,All screens created as part of the Disputes application must comply with corporate standards for interface creation.,FR,Functional,0.5
149,F0_REQ_00150,The list of dispute cases that are displayed after a search is performed must be color coded for easy identification of dispute cases based upon the dispute case status.,FR,Functional,0.5
162,F0_REQ_00163,Only users with Update access must be able to initiate dispute requests.,FR,Functional,0.5
164,F0_REQ_00165,All authorized users once authenticated must be able to logon to the Disputes System,FR,Functional,0.5
167,F0_REQ_00168,If a user account is revoked it can only be re-instantiated by the System Administrator.,FR,Functional,0.5
170,F0_REQ_00171,All updates to data files or database must be initiated from the Disputes System.,FR,Functional,0.5
171,F0_REQ_00172,The Disputes application must conform to the legal requirements as specified by the Merchant Operating Regulations.,FR,Functional,0.5
173,F0_REQ_00174,The Disputes application must conform to the legal requirements as specified by Regulation E and Regulation Z that govern credit card disputes processing.,FR,Functional,0.5
175,F0_REQ_00176,The Disputes application must maintain a detailed history of every action that a user takes on a dispute case. This ensures a complete audit trail if questions arise later on with regard to a particular dispute case.,FR,Functional,0.5
176,F0_REQ_00177,All actions that modify an existing dispute case must be recorded in the case history.,FR,Functional,0.5
