,id,text,class,subclass,confidence
12,F0_REQ_00013,"L:The Disputes application must maintain a detailed history of every action that a user takes on a dispute case. This ensures a complete audit trail if questions arise later on with regard to a particular dispute case.,",FR,Functional,0.5
13,F0_REQ_00014,"L:All actions that modify an existing dispute case must be recorded in the case history.,",FR,Functional,0.5
14,F0_REQ_00015,"F:The Disputes System must be accessible by both internal and external users.,",FR,Functional,0.5
15,F0_REQ_00016,"F:The Disputes System must prevent users from accessing any dispute cases that do not belong to their cardholder base.,",FR,Functional,0.5
16,F0_REQ_00017,"F:The Disputes System will facilitate direct data entry of a dispute case via a user interface that supports real time responses to the users.,",FR,Functional,0.5
17,F0_REQ_00018,"F:The Disputes System must provide different levels of access with regard to disputes case initiation and follow-up actions.,",FR,Functional,0.5
20,F0_REQ_00021,"F:The Disputes System must allow the users to select disputable transactions (based on the age of the transaction) from a user interface and initiate a dispute (ticket retrieval request or chargeback notification) on the selected transaction.,",FR,Functional,0.5
21,F0_REQ_00022,"F:The Disputes System must provide the user the ability to initiate a single dispute case on multiple transactions that belong to a single merchant.,",FR,Functional,0.5
22,F0_REQ_00023,"F:The Disputes System will provide the user the ability to create or initiate a ticket retrieval request. As part of ticket retrieval creation process the system must prompt the user to enter all the required information to create the ticket retrieval request. The ticket retrieval request is a document that is sent to merchant inquiring the validity of a transaction.,",FR,Functional,0.5
23,F0_REQ_00024,"F:The Disputes System must allow the user to create three unique types of ticket retrieval requests. The three types of ticket retrieval requests are (1) Request for original receipt (2) Request for a copy of the receipt or (3) Request for a portfolio. A portfolio consists of documentation that would provide proof of a purchase such as the documentation that is received from a car rental agency that is more than a sales receipt.,",FR,Functional,0.5
24,F0_REQ_00025,"F:The Disputes System must prevent external users from requesting original receipts. Requests for original receipts are restricted to internal users.,",FR,Functional,0.5
28,F0_REQ_00029,"F:The Disputes System must provide the ability to view existing dispute cases.,",FR,Functional,0.5
30,F0_REQ_00031,"F:A list of all disputes cases that meet the entered search criteria must be provided to the user. The list of cases must differentiate the type and/or status of the case by color -coding the line item in the list. For example all open cases will be yellow and all closed cases will be gray.,",FR,Functional,0.5
34,F0_REQ_00035,"F: For any systematic (non-user initiated) action that occurs on a case such as the disputes aging process a case activity will be generated. Upon the next logon the user that initiated the dispute case must be notified that a systematic action has occurred on the dispute case.,",FR,Functional,0.5
35,F0_REQ_00036,"F:All letter requests must be formatted according to guidelines specified by the Print Letter Utility system.,",FR,Functional,0.5
36,F0_REQ_00037,"F:Any disputes cases that have been closed for over 6 months must be purged from the online disputes database.,",FR,Functional,0.5
37,F0_REQ_00038,"O:The product must support Internet Explorer 5.5 and above.,",FR,Functional,0.5
38,F0_REQ_00039,"O:The product must support Mozilla Firefox 1.0 and above.,",FR,Functional,0.5
45,F0_REQ_00046,"PO:The software product is expected to run on Windows or Linux platforms.,",FR,Functional,0.5
62,F0_REQ_00063,"O:The maintenance of the product will fall within the established corporate maintenance windows.,",FR,Functional,0.5
66,F0_REQ_00067,"SE:Only adjusters with a supervisor role can update preferred repair facility ratings. Users without the supervisor role cannot access the repair facility ratings.,",FR,Functional,0.5
72,F0_REQ_00073,"L:The product must comply with Sarbanes-Oxley.,",FR,Functional,0.5
105,F0_REQ_00106,"F:The system will display a blank set of ratings if there are not ratings yet defined.,",FR,Functional,0.5
111,F0_REQ_00112,"O: The product must work with most database management systems (DBMS) on the market whether the DBMS is colocated with the product on the same machine or is located on a different machine on the computer network.,",FR,Functional,0.5
112,F0_REQ_00113,"O:The product will function alongside server software on any operating system where the Java runtime can be installed.,",FR,Functional,0.5
113,F0_REQ_00114,"O:The product will require collaboration with a database management system (DBMS). The DBMS may be located on the same machine as the product or on a separate machine residing on the same computer network.,",FR,Functional,0.5
114,F0_REQ_00115,"O: The product must make use of web/application server technology. Open source examples include Apache web server Tomcat and the JBoss application server.,",FR,Functional,0.5
115,F0_REQ_00116,"O: A database management system such as Oracle DB2 MySql or HSQL will need to be integrated with the product.,",FR,Functional,0.5
139,F0_REQ_00140,"O: The product will be available for licensing as a one-server two-five servers or five-or-more servers license.,",FR,Functional,0.5
147,F0_REQ_00148,"O: The product is expected to integrate with multiple database management systems. The product will operate with Oracle SQL Server DB2 MySQL HSQL and MS Access.,",FR,Functional,0.5
157,F0_REQ_00158,"O:The product must be developed with the J2SE/J2EE programming language libraries,",FR,Functional,0.5
159,F0_REQ_00160,"F:The product will notify employees of meeting invitations.,",FR,Functional,0.5
162,F0_REQ_00163,"F:The product will record meeting acknowledgements.,",FR,Functional,0.5
165,F0_REQ_00166,"F:The product will be able to delete conference rooms.,",FR,Functional,0.5
167,F0_REQ_00168,"F:The product will update existing room equipment.,",FR,Functional,0.5
180,F0_REQ_00181,"F:The product will allow priviledged users to view meeting schedules in multiple reporting views.,",FR,Functional,0.5
184,F0_REQ_00185,"F:The product will display an available status for unreserved conference rooms.,",FR,Functional,0.5
189,F0_REQ_00190,"SE:The System shall maintain consistent security. Any changes in user passwords and/or permissions should take affect in all parts of the System.,",FR,Functional,0.5
190,F0_REQ_00191,"SE:The System shall granularly control access rights to all major subsystems. It should be possible to assign access rights to all subsystems independently.,",FR,Functional,0.5
219,F0_REQ_00220,"LF:The website shall be attractive to all audiences. The website shall appear to be fun and the colors should be bright and vibrant.,",FR,Functional,0.5
222,F0_REQ_00223,"US:The product should be able to be used by 90% of novice users on the Internet.,",FR,Functional,0.5
228,F0_REQ_00229,"US:The product shall be easy for customers with novice skills on the Internet to purchase and watch streaming movies. Customers should be able to purchase and watch a pre-determined movie in under 3 minutes.,",FR,Functional,0.5
230,F0_REQ_00231,"US:The website will use standard Internet conventions when interacting with the user.,",FR,Functional,0.5
232,F0_REQ_00233,"PE: When purchasing a streaming movie or pre-paid card via credit card the processing time should have a maximum response time of 15 seconds.,",NFR,Performance,0.5
233,F0_REQ_00234,"PE: When streaming a movie the buffering time should take no longer than 10 seconds (plus any latency on the user s connection.),",NFR,Performance,0.7
235,F0_REQ_00236,"SE: All credit card information will be secured on the server and only accessible by authorized Izogn administrators. Information will be encrypted in the database.,",FR,Functional,0.5
241,F0_REQ_00242,"SC:The streaming server will support 50 simultaneous streaming connections.,",FR,Functional,0.5
242,F0_REQ_00243,"SC: The server will support a maximum of 1 000 simultaneous users.,",FR,Functional,0.5
246,F0_REQ_00247,"O:The same hardware supporting the current website will be used to support the new system.,",FR,Functional,0.5
247,F0_REQ_00248,"O: We must be able to interface with the following browsers: IE 5.X 6.0 Netscape 6.x 7.x 8.x and Firefox 1.0.,",FR,Functional,0.5
248,F0_REQ_00249,"O:Website must interface with the CyberSource API to process credit card transactions.,",FR,Functional,0.5
249,F0_REQ_00250,"O:Website must be fully operational with MSN TV2.,",FR,Functional,0.5
253,F0_REQ_00254,"PE:Izogn Administrator must be able to update the category listings on the website within 2 minutes.,",FR,Functional,0.5
254,F0_REQ_00255,"PE:Izogn Administrator must be able to add new products to the website within 2 minutes.,",FR,Functional,0.5
