,id,text,class,subclass,confidence
0,F0_REQ_00001,"PE:The system shall refresh the display every 60 seconds.,",NFR,Performance,1
1,F0_REQ_00002,"LF:The application shall match the color of the schema set forth by Department of Homeland Security,",FR,Functional,0.8
2,F0_REQ_00003,"US: If projected the data must be readable. On a 10x10 projection screen 90% of viewers must be able to read Event / Activity data from a viewing distance of 30,",FR,Functional,0.8
3,F0_REQ_00004,"A: The product shall be available during normal business hours. As long as the user has access to the client PC the system will be available 99% of the time during the first six months of operation.,",FR,Functional,1
4,F0_REQ_00005,"US: If projected the data must be understandable. On a 10x10 projection screen 90% of viewers must be able to determine that Events or Activities are occuring in current time from a viewing distance of 100,",FR,Functional,0.8
5,F0_REQ_00006,"SE:The product shall ensure that it can only be accessed by authorized users. The product will be able to distinguish between authorized and unauthorized users in all access attempts,",FR,Functional,0.8
6,F0_REQ_00007,"US:The product shall be intuitive and self-explanatory. : 90% of new users shall be able to start the display of Events or Activities within 90 minutes of using the product.,",FR,Functional,1
7,F0_REQ_00008,"PE:The product shall respond fast to keep up-to-date data in the display.,",FR,Functional,0.8
8,F0_REQ_00009,"F:The system shall have a MDI form that allows for the viewing of the graph and the data table.,",FR,Functional,0.8
9,F0_REQ_00010,"F:The system shall display Events in a vertical table by time.,",FR,Functional,0.8
10,F0_REQ_00011,"F:The system shall display the Events in a graph by time.,",FR,Functional,0.8
11,F0_REQ_00012,"L:All business rules specified in the Disputes System shall be in compliance to the guidelines of Regulation E and Regulation Z.,",FR,Functional,0.8
18,F0_REQ_00019,"F:The Disputes System shall provide view access capability for authorized users of the application.,",FR,Functional,0.8
19,F0_REQ_00020,"F:The Disputes System shall provide update access capability for authorized users of the application.,",FR,Functional,0.8
25,F0_REQ_00026,"F:The Disputes System shall allow the user to create or initiate a chargeback request. The system must prompt the user to enter the required information to initiate a chargeback request. The chargeback request results in a printed chargeback notification that is sent to merchant indicating that their account will be charged back if no proof is provided that the disputed transaction is valid.,",FR,Functional,0.8
26,F0_REQ_00027,"F:The Disputes System shall prevent the creation of duplicate dispute requests 100% of the time.,",FR,Functional,1
27,F0_REQ_00028,"F: The Disputes System shall accurately provide a list of possible reason codes for a given transaction. The list of possible reason codes must be derived based on the type of transaction and the industry that the merchant belongs to according to the business rules defined for the Disputes System.,",FR,Functional,0.8
29,F0_REQ_00030,"F: The Disputes System must provide Search functionality. The search method must include the ability to search by (1) the dispute case number (2) the merchant account number (3) the cardmember account number and (4) the issuer number. In addition to the above criteria the search functionality must further allow the user to limit the results of the search by a date range the type of dispute (ticket retrieval request or chargeback notification) the case status (open closed or all) and the dispute reason code.,",NFR,Performance,0.8
31,F0_REQ_00032,"F:The Disputes System shall provide the users the ability to view the history of all activities that have occurred on the dispute case.,",FR,Functional,0.8
32,F0_REQ_00033,"F:The Dispute System shall provide the users with the ability to follow up on a dispute case via follow-up actions. The list of available follow up actions for a given dispute case must be filtered by the status of the case and the access level of the user.,",FR,Functional,0.8
33,F0_REQ_00034,"F: The Disputes System shall record the name of the user and the date for any activity that creates or modifies the disputes case in the system. A detailed history of the actions taken on the case including the date and the user that performed the action must be maintained for auditing purposes.,",FR,Functional,0.8
39,F0_REQ_00040,"O:The product shall interface with the Choice Parts System. This provides the feed of recycled parts data.,",FR,Functional,0.8
40,F0_REQ_00041,"O:The product shall run on the existing hardware for all environments.,",FR,Functional,0.8
41,F0_REQ_00042,"O:The product shall adhere to the corporate Architecture guidelines,",FR,Functional,0.8
42,F0_REQ_00043,"LF:The product shall comply with corporate User Interface Guidelines,",FR,Functional,0.8
43,F0_REQ_00044,"LF:The product shall comply with corporate color scheme,",FR,Functional,0.8
44,F0_REQ_00045,"LF:The appearance of the product shall appear professional,",FR,Functional,0.8
46,F0_REQ_00047,"US:The product shall be easy to use by Adjusters and Collision Estimators. 95% of Adjusters and Collision Estimators shall find the product easy to use.,",NFR,Usability,1
47,F0_REQ_00048,"US:The product shall increase productivity of Collision Estimators. 80% of the Collision Estimators shall agree their productivity has increase within 1 month of using the product.,",FR,Functional,1
48,F0_REQ_00049,"US:Users shall feel satisfied using the product. 85% of all users will be satisfied with the product.,",FR,Functional,1
49,F0_REQ_00050,"US:The product shall be easy to learn by Adjusters and Collision Estimators. The product shall be learned with two days onsite training,",FR,Functional,0.8
50,F0_REQ_00051,"US:The user shall easily locate instructions while using the product. User help can be found within 90% of the system.,",FR,Functional,1
51,F0_REQ_00052,"PE:The search for recycled parts shall take no longer than 15 seconds. The search results shall be returned in under 15 seconds.,",NFR,Performance,1
52,F0_REQ_00053,"PE:The search for the preferred repair facility shall take no longer than 8 seconds. The preferred repair facility is returned within 8 seconds,",NFR,Performance,1
53,F0_REQ_00054,"PE:The recycled parts audit report shall be returned to the user within 10 seconds. The audit report shall be returned within 10 seconds.,",NFR,Performance,1
54,F0_REQ_00055,"PE:The preferred repair facility ratings shall be saved within 5 seconds. The save shall occur within 5 seconds.,",NFR,Performance,1
55,F0_REQ_00056,"A:The product shall adhere to the corporate online availability schedule. The application is brought down only within 98% of the scheduled outages per the availability schedule.,",NFR,Reliability,1
56,F0_REQ_00057,"A:The product shall achieve a 98% uptime. The product shall not fail more than 2% of the available online time.,",NFR,Reliability,1
57,F0_REQ_00058,"SC:The product shall be able to handle up to 1500 simultaneous users. The system shall perform with 1500 users as a time.,",FR,Functional,0.8
58,F0_REQ_00059,"SC: The average number of recycled parts records per day shall be 50 000.,",NFR,Performance,1
59,F0_REQ_00060,"SC: The product shall be able to handle 10 000 concurrent users within 2 years of the initial launch.,",FR,Functional,0.8
60,F0_REQ_00061,"O: For estimators the product shall be able to be operated in a repair facility during dirty and noisy conditions.,",FR,Functional,0.8
61,F0_REQ_00062,"O:The product shall interface with the ChoiceParts system once per day at approximately 1:00 AM.,",FR,Functional,0.8
63,F0_REQ_00064,"O:The product shall be supported using the corporate support center.,",FR,Functional,0.8
