requirement_id,project_id,project_name,dataset_id,text,class,global_id,source,type,subclass
REQ001,PROJ-01,Zenodo System,SRSCD-Zenodo,The system must allow for multiple file upload to be configured on a per-page basis.,FR,F0_REQ_00000,file_0,NFR,Unknown
REQ002,PROJ-01,Zenodo System,SRSCD-Zenodo,The system must allow actors to organize their voice clips into a portfolio.,FR,F0_REQ_00001,file_0,NFR,Unknown
REQ003,PROJ-01,Zenodo System,SRSCD-Zenodo,The system must allow actors to download their voice clips in a flexible format.,FR,F0_REQ_00002,file_0,NFR,Unknown
REQ004,PROJ-01,Zenodo System,SRSCD-Zenodo,The system must store audio clips in a format conducive to speech.,FR,F0_REQ_00003,file_0,NFR,Unknown
REQ005,PROJ-01,Zenodo System,SRSCD-Zenodo,The system must allow actors to delete recorded clips.,FR,F0_REQ_00004,file_0,NFR,Unknown
REQ006,PROJ-01,Zenodo System,SRSCD-Zenodo,The system must allow web feeds to be turned on or off on a per-page basis.,FR,F0_REQ_00005,file_0,NFR,Unknown
REQ007,PROJ-01,Zenodo System,SRSCD-Zenodo,An actor must be able to search through pages in a course.,FR,F0_REQ_00006,file_0,NFR,Unknown
REQ008,PROJ-01,Zenodo System,SRSCD-Zenodo,The system must display a search box on every page after an actor has logged in.,FR,F0_REQ_00007,file_0,NFR,Unknown
REQ009,PROJ-01,Zenodo System,SRSCD-Zenodo,A course administrator must be able to grade an assignment.,FR,F0_REQ_00008,file_0,NFR,Unknown
REQ010,PROJ-01,Zenodo System,SRSCD-Zenodo,The system should display grade information to the appropriate actor.,FR,F0_REQ_00009,file_0,NFR,Unknown
REQ011,PROJ-01,Zenodo System,SRSCD-Zenodo,The system should maintain a grade history.,FR,F0_REQ_00010,file_0,NFR,Unknown
REQ012,PROJ-01,Zenodo System,SRSCD-Zenodo,The system must provide a wiki where actors can collaboratively create networks of documents.,FR,F0_REQ_00011,file_0,NFR,Unknown
REQ013,PROJ-01,Zenodo System,SRSCD-Zenodo,The system must provide a blog engine.,FR,F0_REQ_00012,file_0,NFR,Unknown
REQ014,PROJ-01,Zenodo System,SRSCD-Zenodo,The system must provide both e-mail and SMS notifications for pages.,FR,F0_REQ_00013,file_0,NFR,Unknown
