,id,text,class,subclass,confidence,reasons_rlhf,correct_class,correct_subclass,comment
0,F0_REQ_00006,"The card should use a unique diversified secret key,personalized into the card,to generate and authenticate transaction signatures",FR,Functional,0.2,low_confidence,,,
1,F0_REQ_00027,Transmissions between host systems should be protected by MACs based on unique keys that are shared by the nodes involved,FR,Functional,0.2,low_confidence,,,
2,F0_REQ_00045,"If a supported scheme provider has a dispute resolution process,participate in that dispute resolution process with connecting processors to resolve any issues related to invalid transactions. These resolution processes should include a mechanism for repayment of funds associated with invalid transactions",FR,Functional,0.2,"low_confidence, too_long",,,
14,F0_REQ_00123,The architecture for the electronic purse should not preclude the eventual deployment of a variety of devices to meet the needs of many card acceptance environments. Unload must not be precluded from being supported on any or all of these devices at the option of the acquirer,FR,Functional,0.2,low_confidence,,,
13,F0_REQ_00118,Load devices that are available to the general public should support multiple sources of funding and support both linked and unlinked loads,FR,Functional,0.2,low_confidence,,,
5,F0_REQ_00062,The CEP card authenticates the terminal using the S2 MAC and the session key from the purchase transaction being cancelled. The CEP card increments the value of the purse and logs the transaction. The CEP card verifies that the cancellation amount is equal to the amount of the last step of the purchase transaction,FR,Functional,0.5,too_long,,,
4,F0_REQ_00060,The PSAM in the POS device generates a merchant acquirer S5 MAC for the transaction and a new S4 MAC for the batch total count and amount and logs the transaction. The amount of the canceled last purchase transaction is subtracted from the header amount. The transaction is kept in a data store associated with the POS device until the merchant acquirer collects it,FR,Functional,0.5,too_long,,,
3,F0_REQ_00058,"The CEP card verifies that the PSAM is the PSAM used in the original transaction,computes a S1 MAC using the same DES session key that was used for the purchase transaction being cancelled,and responds to the POS device with the S1 and the identification of the last transaction. If the purchase transaction to be canceled has been canceled or is not part of the active batch,the command is not allowed",FR,Functional,0.5,too_long,,,
7,F0_REQ_00083,"Flexibility is required to accommodate the variety of environments where unlinked loads may be implemented. As a result,the design specification must not preclude dual-leg transactions** from taking place either sequentially or in parallel. The design of a given implementation will vary depending on the device,host,and network capabilities",FR,Functional,0.5,too_long,,,
6,F0_REQ_00068,"Each POS transaction completed at the POS device is given a S5 MAC by the PSAM,which is used by the merchant acquirer to validate that the transactions were made at a POS device with a valid PSAM. The batch total count and amount must be protected by the S4 MAC,which must also be validated by the merchant acquirer",FR,Functional,0.5,too_long,,,
8,F0_REQ_00084,"Unload and currency exchange transactions are optional for CEP card issuers. The CEP card must indicate whether the card issuer supports these transactions. However,if a card issuer issues multi-currency capable cards,it must provide its cardholder with a facility to remove any remaining value. As a result,if a card issuer supports loading of multiple currencies onto a card,then it must support the unload or currency exchange transaction or both",FR,Functional,0.5,too_long,,,
9,F0_REQ_00086,"Currency exchange rate fluctuations may increase the card issuers liability. The card issuer must be able to adjust maximum balances to bring them in line with their policies. The card issuer may update the maximum balances as part of a load,a partial unload,and a currency exchange transaction. On a currency exchange transaction,only the ??to? currency maximum balance may be updated",FR,Functional,0.5,too_long,,,
11,F0_REQ_00093,"The CEP card may support multiple currencies. Each currency occupies a ??slot? within the CEP. The slots are defined by the currency supported. The currency for an individual slot is determined during load or currency exchange. Currency exchange could apply to a single slot,and then only for the total balance",FR,Functional,0.5,too_long,,,
10,F0_REQ_00089,"Script messages that conform to EMV specifications may be included as part of load,unload and currency exchange messages from the card issuer to the CEP card. An update key must be used when card parameters are changed. Script messages may be sent to the CEP card either before or after the credit for load,debit of unload and currency exchange commands",FR,Functional,0.5,too_long,,,
12,F0_REQ_00096,"The CEP card limits each slot to a maximum balance. The maximum balance for a slot is established when a currency is assigned to the slot,and is determined externally by the card issuer or by CEP card data which indicates a maximum balance in a reference currency. There is no requirement that all slot maximums have the same relative value,and there is no requirement for the card to maintain a maximum total value",FR,Functional,0.5,too_long,,,
