text,subclass,reasons_rlhf,classe_correta,comentario,context,tipo,subtipo,context_final,status_classificacao,tipo_original,subtipo_original
"System Administration support the needs of a large, multiple-branch library system. Specifically, the system must support a library system with 50 locations, 20 million circulations, purchasing and processing over 500,000 items per year. It is highly desirable that searches and reports can be processed during open hours without disrupting other system functions.",Functional,"too_long, functional_bias",,,"System Administration support the needs of a large, multiple-branch library system. Specifically, the system must support a library system with 50 locations, 20 million circulations, purchasing and processing over 500,000 items per year. It is highly desirable that searches and reports can be processed during open hours without disrupting other system functions.",Functional,Functional,"The system shall System Administration support the needs of a large, multiple-branch library system. Specifically, the system must support a library system with 50 locations, 20 million circulations, purchasing and processing over 500,000 items per year. It is highly desirable that searches and reports can be processed during open hours without disrupting other system functions.",sugerido,,
System Administration shall operate on a Linux or Solaris server.,Functional,functional_bias,,,System Administration shall operate on a Linux or Solaris server.,Functional,Functional,The system shall System Administration shall operate on a Linux or Solaris server.,sugerido,,
"System Administration shall be accessible through a web-browser or a Windows-compatible client. If web-browser based, System Administration shall be accessible through Microsoft Internet Explorer (v.6.0 and later) and Mozilla Firefox (v.2.0 and later).",Functional,functional_bias,,,"System Administration shall be accessible through a web-browser or a Windows-compatible client. If web-browser based, System Administration shall be accessible through Microsoft Internet Explorer (v.6.0 and later) and Mozilla Firefox (v.2.0 and later).",Functional,Functional,The System Administration shall be accessible through Microsoft Internet Explorer (v.6.0 and later) and Mozilla Firefox (v.2.0 and later).,sugerido,,
"System Administration shall be accessible with screen-reading software, screen-magnification software, and other software programs designed to increase accessibility.",Functional,functional_bias,,,"System Administration shall be accessible with screen-reading software, screen-magnification software, and other software programs designed to increase accessibility.",Functional,Functional,,aprovado,Functional,Functional
System Administration Module shall use a fully relational database back-end.,Functional,functional_bias,,,System Administration Module shall use a fully relational database back-end.,Functional,Functional,The system shall System Administration Module shall use a fully relational database back-end.,sugerido,,
System Administration Module shall produce standards-compliant HTML.,Functional,functional_bias,,,System Administration Module shall produce standards-compliant HTML.,FR,Functional,,aprovado,Functional,Functional
"System Administration Module shall provide a development and training environment with the ability to migrate configurations to a production environment. User rights and privileges will be controlled through security groups and/or “roles” that allow access control for individuals, workgroups, and arbitrary staff groups.",Security,too_long,,,"System Administration Module shall provide a development and training environment with the ability to migrate configurations to a production environment. User rights and privileges will be controlled through security groups and/or “roles” that allow access control for individuals, workgroups, and arbitrary staff groups.",Security,Security,The system shall System Administration Module shall provide a development and training environment with the ability to migrate configurations to a production environment. ,sugerido,,
"The software developer shall provide complete data specifications for authority records, bibliographic records, order records, item records, hold/request records, and other records maintained or accessed by the System Administration Module.",Functional,functional_bias,,,"The software developer shall provide complete data specifications for authority records, bibliographic records, order records, item records, hold/request records, and other records maintained or accessed by the System Administration Module.",FR,Functional,,aprovado,Functional,Functional
"The software developer shall provide a thorough high-level description of major processes, including bibliographic record import and export, validation of bibliographic records against internal and external authority sources, and standard reports.",Functional,functional_bias,,,"The software developer shall provide a thorough high-level description of major processes, including bibliographic record import and export, validation of bibliographic records against internal and external authority sources, and standard reports.",Functional,Functional,,rejeitado,,
"The system shall provide an online, hierarchical, and cross-linked help system in HTML that describes and illustrates all system functions.",Functional,functional_bias,,,"The system shall provide an online, hierarchical, and cross-linked help system in HTML that describes and illustrates all system functions.",Functional,Functional,,rejeitado,,
"System supports administrator-programmable and user-programmable macros and/or keyboard shortcuts. Shortcut keys may be assigned to macros (e.g. 'Insert Field') or to text strings. Macros are centrally managed on server, can be imported from and exported to individual users, and can be restricted for use and/or editting through centrally-managed permissions. Staff and group accounts are independent from workstations; client install should not be tied to a specific location. Client software installation and updates must be centrally managed, using standard or proprietary network management tools, allowing streaming updates from server. Ability to specify specific clients to be updated. Client software can be managed with VNC and Remote Desktop. All client configuration files are server based; configurations can be exported and imported between clients. Ability to fully customize layout and appearance of reports. Ability to display, print, email, or save report to standard formats including CSV and Excel, as well as to customizable formats.",Functional,"too_long, functional_bias",,,"System supports administrator-programmable and user-programmable macros and/or keyboard shortcuts. Shortcut keys may be assigned to macros (e.g. 'Insert Field') or to text strings. Macros are centrally managed on server, can be imported from and exported to individual users, and can be restricted for use and/or editting through centrally-managed permissions. Staff and group accounts are independent from workstations; client install should not be tied to a specific location. Client software installation and updates must be centrally managed, using standard or proprietary network management tools, allowing streaming updates from server. Ability to specify specific clients to be updated. Client software can be managed with VNC and Remote Desktop. All client configuration files are server based; configurations can be exported and imported between clients. Ability to fully customize layout and appearance of reports. Ability to display, print, email, or save report to standard formats including CSV and Excel, as well as to customizable formats.",Functional,Functional,,rejeitado,,
