,id,Description,class,subclass
0,F0_REQ_00000,"System Administration support the needs of a large, multiple-branch library system. Specifically, the system must support a library system with 50 locations, 20 million circulations, purchasing and processing over 500,000 items per year. It is highly desirable that searches and reports can be processed during open hours without disrupting other system functions.",FR,Functional
1,F0_REQ_00004,"System Administration shall be accessible with screen-reading software, screen-magnification software, and other software programs designed to increase accessibility.",FR,Functional
2,F0_REQ_00001,System Administration shall operate on a Linux or Solaris server.,FR,Functional
3,F0_REQ_00003,"If web-browser based, System Administration shall be accessible through Microsoft Internet Explorer (v.6.0 and later) and Mozilla Firefox (v.2.0 and later).",FR,Functional
4,F0_REQ_00002,System Administration shall be accessible through a web-browser or a Windows-compatible client.,FR,Functional
5,F0_REQ_00005,System Administration Module shall use a fully relational database back-end.,NFR,Performance
6,F0_REQ_00009,"The software developer shall provide complete data specifications for authority records, bibliographic records, order records, item records, hold/request records, and other records maintained or accessed by the System Administration Module.",FR,Functional
7,F0_REQ_00006,System Administration Module shall produce standards-compliant HTML.,FR,Functional
8,F0_REQ_00007,System Administration Module shall provide a development and training environment with the ability to migrate configurations to a production environment.,FR,Functional
9,F0_REQ_00008,"User rights and privileges will be controlled through security groups and/or “roles” that allow access control for individuals, workgroups, and arbitrary staff groups.",NFR,Security
10,F0_REQ_00010,"The software developer shall provide a thorough high-level description of major processes, including bibliographic record import and export, validation of bibliographic records against internal and external authority sources, and standard reports.",FR,Functional
11,F0_REQ_00013,The system provides real-time processing. For example: pull lists are up to date at time of viewing or printing; system supports live shelf reading and weeding.,FR,Functional
12,F0_REQ_00012,"System runs on a fully relational, SQL-based database system. Ability to run SQL queries against any table in the database. Ability to access database as an ODBC source. All data tables and data storage are fully accessible.",FR,Functional
13,F0_REQ_00014,"Ability for multiple staff members and patrons to simultaneously access and update patron and item records, including on staff check-in and check-out terminals, on self check-out stations, through SIP2/NCIP2 and similar protocols and APIs, and in OPAC. Depending on assigned privileges, staff can view all patron and item fields; patrons can access only selected fields. Record changes are applied in a reasonable way, with prompts to warn when a record has been changed since it was displayed.",FR,Functional
14,F0_REQ_00011,"The system shall provide an online, hierarchical, and cross-linked help system in HTML that describes and illustrates all system functions.",FR,Functional
15,F0_REQ_00015,"For any patron record or item record, staff can identify where it is in use (location, user, date and time placed).",FR,Functional
16,F0_REQ_00017,"System documentation is library-specific and follows standard formats for technical documentation. Documentation is specific to the particular version of the software in use at library. Documentation is web-based, indexed, organized by function, and easily searchable.",FR,Functional
17,F0_REQ_00019,System provides access to all configuration files.,FR,Functional
18,F0_REQ_00016,"Support for individual and shared staff login accounts; access to modules is granted by use of ""roles"" or ""privileges"" that allow each account to access as many (or as few) modules as needed. Individual logins allow user-level preferences and audit trail.",NFR,Usability
19,F0_REQ_00018,"System upgrades and updates include written guidelines for updating servers and clients. Includes list of new, changed, and removed features.",FR,Functional
20,F0_REQ_00023,"System provides full support for SNMP and supports monitoring of system resources, including disk space, CPU load, memory load, system processes, system interfaces and ports. Alert thresholds are configurable. Alerts can be sent via administrative dashboards, email messages, and text messages. Alerts can be sent to unlimited number of recipients via any or all alert methods.",NFR,Usability
21,F0_REQ_00021,System provides access to root shell.,FR,Functional
22,F0_REQ_00024,"Ability to set thresholds on the length of time records are locked and provide, for all record types, a list of records in sustained use/locked condition. Ability from the same console to unlock one or more records.",FR,Functional
23,F0_REQ_00022,"System supports creation of custom dashboards that display current and historical data about system performance, record creation and modification, circulation transactions, etc. Administrators can create dashboards and give access to selected users and groups.",NFR,Performance
24,F0_REQ_00020,"System provides full access to all log files. Log files can be reviewed without stopping system. Logs can be enabled, disabled, and set to a specific retention threshold.",FR,Functional
25,F0_REQ_00029,"System provides a circulation dashboard showing key performace indicators such as check-outs per hour, check-ins per hour, holds placed per hour, holds paged per day, etc. Indicators can be limited to a single branch or set to systemwide.",FR,Functional
26,F0_REQ_00026,"System provides a server management console including: software shutdown utility, software startup utility, server shutdown utility, server restart utility.",FR,Functional
27,F0_REQ_00027,"System provides an administrative dashboard displaying: last full and incremental backup; last planned and unplanned system reboot; last software upgrade; current software version; transactions waiting to be processed; size of log-files; current count of records by record type (item, bibliographic, patron etc), database utilization (size, processes running).",FR,Functional
28,F0_REQ_00025,"System provides dashboard of performance monitoring and management tools. Identification of processes with process ID, owner username, IP address (if applicable), CPU utilization, memory utilization, run time. Runaway processes are identified. System status is represented by visual indicators (e.g. green and red lights).",NFR,Performance
29,F0_REQ_00028,System provides a management console displaying workstations running client software; workstation name and IP address; and utilities for managing and killing client sessions.,FR,Functional
30,F0_REQ_00032,"System provides a single interface for reviewing and controlling scheduled tasks, including staff-scheduled tasks, automated reports, scheduled imports and exports, software updates, etc.",NFR,Usability
31,F0_REQ_00034,System supports SMTP for email transport.,FR,Functional
32,F0_REQ_00031,System provides a dashboard for locating and viewing log files.,FR,Functional
33,F0_REQ_00030,System provides a single console with access to all configuration files. Read and write permission to individual configuration files can be assigned to users and groups.,NFR,Usability
34,F0_REQ_00033,"Ability to access and edit email configuration, including a quick menu of common settings (such as masquerading, log retention, bounce management).",FR,Functional
35,F0_REQ_00039,"Ability to specify default value, data validation, automatic formatting, and required status for any field.",FR,Functional
36,F0_REQ_00038,"System allows creation and modification of loan rules that allow or disallow check-out of items, calculate loan periods, and determine renewal limits. Loan rules may evaluate patron type, current number of items checked out, current patron account balance, item type, item status, owning location code, check-out location code, and other criteria. For example, loan rules may prohibit patrons from checking out items with an unavailable status, e.g. an item with a triggered hold for another patron or an item that is already checked out to another patron. Loan rules can access check-out location open/closed schedule in calculating due date. Loan rules also specify whether a specific criteria may be overridden by staff with specific privileges or roles. (Also see REQ-5190 re requesting rules.)",FR,Functional
37,F0_REQ_00037,"System allows creation and modification of requesting rules that determine whether a patron can place a hold on an item. Requesting rules may evaluate patron type, current number of holds, current patron account balance, item type, item status, owning location code, and other criteria. For example, requesting rules may prohibit patrons from placing holds on on-order CD titles, but allow patrons to place holds on other on-order titles. Requesting rules also specify whether staff with specific privileges or roles can override specific criteria. (See REQ-5057 re loan rules, REQ-5278 re visibility.)",FR,Functional
38,F0_REQ_00035,"System supports restrictions based on business rules, e.g. restrictions on deleting item records that are in checked-out status, or restrictions on deleting bibliographic records with existing holds.",FR,Functional
39,F0_REQ_00036,"System provides customizable 'Rules of Suppression' that specify whether patrons and staff can view authority, bibliographic, order, and item records in staff and public (OPAC) interfaces. Records may be visible to specific workgroups only; to all staff and patrons at specific locations; or to all staff and all patrons. (See REQ-5057 for related requirements on loan rules, and REQ-5190 for related requirements on holdability.)",NFR,Usability
40,F0_REQ_00042,Ability to cluster servers for failover capability.,FR,Functional
41,F0_REQ_00044,System administrative staff has full visibility and control of user privileges.,NFR,Usability
42,F0_REQ_00041,"System logs data changes (such as record deletions) and provides ""undo"" functionality. Ideally, system provides revision control.",FR,Functional
43,F0_REQ_00043,Patron data is secure in all transfers to and from the system.,NFR,Security
44,F0_REQ_00040,System provides capability to perform live incremental and full backups of data and transaction logs. System supports use of third-party backup software such as EMC NetWorker.,FR,Functional
45,F0_REQ_00049,System provides a dedicated interface for creating new patron accounts. Patron account creation process provides configurable templates for staff use; supports field validation and required fields; provides configurable defaults.,NFR,Usability
46,F0_REQ_00046,"MARC bibliographic and authority records can be imported and exported, singly and in batch, all fields or selected fields, to and from vendors including OCLC. Imported records can overlay existing short or full bibliographic records. Imported batches can be maintained and manipulated as selection lists (see REQ-3004).",FR,Functional
47,F0_REQ_00047,"System supports an unlimited number of record sets, with the ability to import and export set members in batch. Record sets can be the basis for batch field updates; can be used as a limiting scope for queries; can be used to delete original records with the ability to review prior to deletion, write errors to a log file, and undo one or more deletions.",FR,Functional
48,F0_REQ_00045,"System supports secure protocols, including SFTP, SSL, and SSH. SFTP is supported in both active and passive modes, configurable per vendor.",NFR,Security
49,F0_REQ_00048,"System provides a dedicated interface for creating new staff accounts. New staff account creation process provides configurable templates for account administrator use; provides granular privileges for account creation, modification, and deletion.",NFR,Usability
50,F0_REQ_00052,"System supports administrator-programmable and user-programmable macros and/or keyboard shortcuts. Shortcut keys may be assigned to macros (e.g. 'Insert Field') or to text strings. Macros are centrally managed on server, can be imported from and exported to individual users, and can be restricted for use and/or editting through centrally-managed permissions.",NFR,Usability
51,F0_REQ_00050,"System supports scheduling of maintenance tasks, reports, and data exports. Jobs can be scheduled in sequence (""start job B when job A finishes"") and can be modified or cancelled at any time prior to starting.",FR,Functional
52,F0_REQ_00053,Staff and group accounts are independent from workstations; client install should not be tied to a specific location.,FR,Functional
53,F0_REQ_00054,"Client software installation and updates must be centrally managed, using standard or proprietary network management tools, allowing streaming updates from server. Ability to specify specific clients to be updated. Client software can be managed with VNC and Remote Desktop.",FR,Functional
54,F0_REQ_00051,"Staff can be given permission to schedule tasks, reports, and data exports. System administration staff can view and manage jobs scheduled by other staff.",FR,Functional
55,F0_REQ_00056,"Ability to fully customize layout and appearance of reports. Ability to display, print, email, or save report to standard formats including CSV and Excel, as well as to customizable formats.",FR,Functional
56,F0_REQ_00057,"System provides a user-friendly interface for designing queries against all record types. Staff can select fields to query; select values from picklist of possible values; select regular expressions from drop-down menu, and use a full range of Boolean operators. Administrators control staff access to tables and fields.",NFR,Usability
57,F0_REQ_00059,"System provides fine-grained permissions to allow or disallow staff to run specific reports, and/or to run ad hoc reports on specific sets of data.",FR,Functional
58,F0_REQ_00058,"System administrators can create report templates that are available to front-line staff, and can be run as is or modified to the staff person's particular needs.",FR,Functional
59,F0_REQ_00055,All client configuration files are server based; configurations can be exported and imported between clients.,FR,Functional
60,F0_REQ_00060,"System reports for each record type: current record number, current number of records, number deleted, and number purged. Record types include patron, bibliographic, item, order, invoice, etc. Access to record numbers is controlled at the user/group level.",NFR,Usability
61,F0_REQ_00062,"Ability to print to a file on the server, ftp, email, or printer from any part of the application. When applicable, the ability to select record fields and control order of fields when printing.",FR,Functional
62,F0_REQ_00061,"Ability to define and select four types of printers: receipt printer, standard printer, label printer, and forms printer. All Windows printers are supported.",FR,Functional
