,id,text,class,subclass,confidence
0,F0_REQ_00001,The system shall refresh the display every 60 seconds.,NFR,Performance,1
1,F0_REQ_00002,The application shall match the color of the schema set forth by Department of Homeland Security,FR,Functional,0.8
2,F0_REQ_00003,If projected the data must be readable. On a 10x10 projection screen 90% of viewers must be able to read Event / Activity data from a viewing distance of 30,FR,Functional,0.8
3,F0_REQ_00004,The product shall be available during normal business hours. As long as the user has access to the client PC the system will be available 99% of the time during the first six months of operation.,FR,Functional,1
4,F0_REQ_00005,If projected the data must be understandable. On a 10x10 projection screen 90% of viewers must be able to determine that Events or Activities are occuring in current time from a viewing distance of 100,FR,Functional,0.8
5,F0_REQ_00006,The product shall ensure that it can only be accessed by authorized users. The product will be able to distinguish between authorized and unauthorized users in all access attempts,FR,Functional,0.8
6,F0_REQ_00007,The product shall be intuitive and self-explanatory. 90% of new users shall be able to start the display of Events or Activities within 90 minutes of using the product.,FR,Functional,1
7,F0_REQ_00008,The product shall respond fast to keep up-to-date data in the display.,FR,Functional,0.8
8,F0_REQ_00009,The system shall have a MDI form that allows for the viewing of the graph and the data table.,FR,Functional,0.8
9,F0_REQ_00010,The system shall display Events in a vertical table by time.,FR,Functional,0.8
10,F0_REQ_00011,The system shall display the Events in a graph by time.,FR,Functional,0.8
11,F0_REQ_00012,The system shall display Events or Activities.,FR,Functional,0.8
12,F0_REQ_00013,The display shall have two regions: left 2/3 of the display is graphical right 1/3 of the display is a data table,FR,Functional,0.8
14,F0_REQ_00015,The table side of the display shall be split into 2 regions: sequential and temporal.,FR,Functional,0.8
17,F0_REQ_00018,The system shall color code events according to their variance from current time.,FR,Functional,0.8
18,F0_REQ_00019,The system shall display data from the Sync Matrix 1.0 and Exercise Management Tool 1.0 applications,FR,Functional,0.8
19,F0_REQ_00020,The system shall link Events back to either the Sync Matrix 1.0 or the Exercise Managment Tool 1.0 applications for modifications.,FR,Functional,0.8
20,F0_REQ_00021,The system shall allow modification of the display.,FR,Functional,0.8
21,F0_REQ_00022,The system shall offer a display of all the Events in the exercise.,FR,Functional,0.8
22,F0_REQ_00023,The system shall filter data by: Venues and Key Events.,FR,Functional,0.8
23,F0_REQ_00024,The system shall allow a user to define the time segments,FR,Functional,0.8
24,F0_REQ_00025,The system shall display the local and exercise time in separate clocks,FR,Functional,0.8
25,F0_REQ_00026,The system shall offer the ability to pause and resume the refresh of data.,FR,Functional,0.8
26,F0_REQ_00027,The system shall provide charts for the Activity or Event actual versus assumed time.,FR,Functional,0.8
27,F0_REQ_00028,The system shall provide a history report of changes made to the Activity or Event data,FR,Functional,0.8
28,F0_REQ_00029,The look and feel of the system shall conform to the user interface standards of the smart device.,FR,Functional,0.8
29,F0_REQ_00030,The user interface shall have standard menus buttons for navigation,FR,Functional,0.8
30,F0_REQ_00031,The system shall have a professional appearance,FR,Functional,0.8
31,F0_REQ_00032,The product shall have a consistent color scheme and fonts.,FR,Functional,0.8
32,F0_REQ_00033,The system shall be used by realtors with no training.,FR,Functional,0.8
33,F0_REQ_00034,The system shall be intuitive and self explanatory.,FR,Functional,0.8
34,F0_REQ_00035,The product shall be easy for a realtor to learn.,FR,Functional,0.8
35,F0_REQ_00036,The product shall use symbols and words that are naturally understandable by the realtor community.,NFR,Performance,1
36,F0_REQ_00037,The product shall produce search results in an acceptable time,FR,Functional,0.8
37,F0_REQ_00038,The search results shall be returned no later 30 seconds after the user has entered the search criteria,NFR,Performance,1
38,F0_REQ_00039,The product shall generate a CMA report in an acceptable time.,FR,Functional,0.8
39,F0_REQ_00040,The CMA report shall be returned no later 60 seconds after the user has entered the CMA report criteria.,NFR,Performance,1
40,F0_REQ_00041,The product shall synchronize contacts and appointments in an acceptable time.,FR,Functional,0.8
41,F0_REQ_00042,The product shall synchronize with the office system every hour.,FR,Functional,0.8
42,F0_REQ_00043,The product shall be available for use 24 hours per day 365 days per year,FR,Functional,0.8
44,F0_REQ_00045,The product shall operate in offline mode whenever internet connection is unavailable.,FR,Functional,0.8
45,F0_REQ_00046,The product shall allow the user to view previously downloaded search results CMA reports and appointments.,FR,Functional,0.8
46,F0_REQ_00047,The product shall retain user preferences in the event of a failure.,FR,Functional,0.8
47,F0_REQ_00048,100% of saved user preferences shall be restored when system comes back online.,NFR,Reliability,1
48,F0_REQ_00049,The product shall be able to support multiple remote users,FR,Functional,0.8
49,F0_REQ_00050,The product shall be able support 1000 simultaneous users.,FR,Functional,0.8
50,F0_REQ_00051,The product shall be capable of handling the existing 1000 users. This number is expected to grow 5 times within the next year.,NFR,Performance,1
51,F0_REQ_00052,The product shall be installed by an untrained realtor without recourse to separately-printed instructions.,FR,Functional,0.8
52,F0_REQ_00053,90% of untrained realtors shall be able to install the product on their device without printed instructions,FR,Functional,1
54,F0_REQ_00055,Only registered realtors shall be able to access the system.,FR,Functional,0.8
55,F0_REQ_00056,Every user of the system shall be authenticated and authorized.,FR,Functional,0.8
56,F0_REQ_00057,The product shall prevent its data from incorrect data being introduced.,FR,Functional,0.8
57,F0_REQ_00058,The system shall allow a real estate agent to query MLS information,FR,Functional,0.8
58,F0_REQ_00059,The user shall be able to get driving directions to a selected property,FR,Functional,0.8
