,id,text,class,subclass,confidence
384,F0_REQ_00385,The website should have an African feel but should not alienate non-Africans. The website should use animation on pages which are describing the services to grab the users attention and encourage them to sign up.,FR,Functional,0.2
385,F0_REQ_00386,The website design should be modern clean and concise.,FR,Functional,0.2
387,F0_REQ_00388,Users should only have to navigate through a maximum of 4 pages to create an account with the website.,FR,Functional,0.2
388,F0_REQ_00389,Users should be able to access their streaming movies in under 2 clicks after logging into the website.,FR,Functional,0.2
398,F0_REQ_00399,While streaming a movie buffering should only occur if there is latency in the user\92s connection.,NFR,Performance,0.4
417,F0_REQ_00418,Promotional updates to the website should take a day to update.,FR,Functional,0.2
438,F0_REQ_00439,The website should cater to all tribes in Nigeria.,FR,Functional,0.2
440,F0_REQ_00441,The website should appeal to all Africans not only Nigerians.,FR,Functional,0.2
441,F0_REQ_00442,The website should use Flash to provide animation on the home page.,FR,Functional,0.2
462,F0_REQ_00463,Daily usage statistics should be logged and accessible by the administrator.,FR,Functional,0.2
618,F0_REQ_00619,User access should be limited to the permissions granted to their role(s) Each level in the PCG hierarchy will be assigned a role and users will be assigned to these roles. Access to functionality within RFS system is dependent on the privileges/permission assigned to the role..,FR,Functional,0.2
633,F0_REQ_00634,The system search feature should support the use of regular expressions in search.,FR,Functional,0.2
657,F0_REQ_00658,The calculations performed by the system must comply according to the norms set by the user and should not vary unless explicitly changed by the user.,FR,Functional,0.2
658,F0_REQ_00659,The client should agree to EULA before using our software.,FR,Functional,0.2
670,F0_REQ_00671,All data entry forms for the application should match their Microsoft Excel hardcopy counterparts as closely as possible. Hardcopies of these forms were provided to the design team during the second requirements interview.,FR,Functional,0.2
673,F0_REQ_00674,The application should be connected to the Internet.,FR,Functional,0.2
674,F0_REQ_00675,The application should be connected to the GPS device.,FR,Functional,0.2
675,F0_REQ_00676,The application should be easy to extend. The code should be written in a way that it favors implementation of new functions.,FR,Functional,0.2
676,F0_REQ_00677,Test environments should be built for the application to allow testing of the applications different functions.,FR,Functional,0.2
677,F0_REQ_00678,The application should be portable with iOS and Android.,FR,Functional,0.2
683,F0_REQ_00684,It should generate a report about registered complaint to the admin and response report to the user who has submitted his queries.,FR,Functional,0.2
684,F0_REQ_00685,The system should maintain correct schedules of labs and the documentation of all the lab equipment.,FR,Functional,0.2
685,F0_REQ_00686,The system should use the company colors and logos.,FR,Functional,0.2
714,F0_REQ_00715,Information transmission should be securely transmitted to server without any changes in information.,FR,Functional,0.2
724,F0_REQ_00725,Information should be tagged according to who is entering the data.,FR,Functional,0.2
731,F0_REQ_00732,It should give a drill-down view of all data in the medical record after logging in.,FR,Functional,0.2
748,F0_REQ_00749,The system should take the customer name.,FR,Functional,0.2
750,F0_REQ_00751,The system should keep the customer email.,FR,Functional,0.2
751,F0_REQ_00752,The system should ask the user to key in the pickup date.,FR,Functional,0.2
752,F0_REQ_00753,The system should require the user to state time when should the doughnut be delivered.,FR,Functional,0.2
753,F0_REQ_00754,The system should have to keep the location where the doughnut will be send.,FR,Functional,0.2
757,F0_REQ_00758,The system should not leave any cookies on the customer’s computer containing the user’s password.,NFR,Security,0.2
763,F0_REQ_00764,The logo and the current basic design of registration system should be displayed. The system should be attractive according to the clients. The design and the color should make users feel comfortable when using the system instead of flashing useless colors on the screen. The design should also reflect the seriousness of the environment.,FR,Functional,0.2
764,F0_REQ_00765,The system should be able to manage all the information incoming from the database and the catalogue.,FR,Functional,0.2
766,F0_REQ_00767,For the system to successfully operate the registration system should be integrated with other IT services and the portal.,FR,Functional,0.2
767,F0_REQ_00768,The system should need to be entirely self-supporting since the users would be using it only to register courses.,FR,Functional,0.2
768,F0_REQ_00769,The Web interface should be compatible with standards in order to be usable via all major Web browsers in a wide variety of environments.,NFR,Usability,0.2
779,F0_REQ_00780,The available server must be reliable and the network connectivity in the supermarket should be proper for smooth flow of all operations and data.,FR,Functional,0.2
809,F0_REQ_00810,The system should require the user to state time when should the doughnut be delivered,FR,Functional,0.2
813,F0_REQ_00814,To prevent attacks the system should generate random word and ask the user to enter it correctly for multiple tryings.,FR,Functional,0.2
814,F0_REQ_00815,The system should warn ECA users about the malfunction of the system.,FR,Functional,0.2
815,F0_REQ_00816,The system should be simple to use,FR,Functional,0.2
956,F0_REQ_00957,The application should be able to support 100 concurrent users without any performance degradation.,NFR,Performance,0.2
957,F0_REQ_00958,The system should be able to scale up to 500 concurrent users (if there is a need in the future) by installing additional hardware components.,NFR,Performance,0.2
958,F0_REQ_00959,The MTBF (if any) should not be less than 2 months.,FR,Functional,0.2
960,F0_REQ_00961,The user interface of the system should be very user friendly.,NFR,Usability,0.2
963,F0_REQ_00964,The system should be easy enough to maintain that someone else could do it with a manual and a few hours training.,FR,Functional,0.2
964,F0_REQ_00965,The system should be portable to various operating environments.,FR,Functional,0.2
