,id,text,class,subclass,confidence
0,F0_REQ_00000,All applications under the GlobalPlatform shall be implemented in a hardware-neutral secure runtime environment,FR,Functional,0.8
1,F0_REQ_00001,The run time environment shall be responsible to separate secure storage for the application code and data,FR,Functional,0.8
2,F0_REQ_00002,The run time environment shall responsible to establish communication services  between card and off-card entities,FR,Functional,0.8
3,F0_REQ_00003,Security domain shall ensure complete seperation of keys among the card issuers and other application providers,FR,Functional,0.8
4,F0_REQ_00004,""" """"Security Domains shall support security services such as key handling, encryption, decryption, digital signature generation and verification for their providers' such as card issuer, applicaiton providers and controlling authority""""",FR,Functional,0.8
5,F0_REQ_00005,"The GlobalPlatform Environment(OPEN) shall responsible for to provide an API to applications,command dispatch, Application selection, (optional) logical channel management, and Card Content management",FR,Functional,0.8
6,F0_REQ_00006,"The OPEN shall responsible to load application code, card content and memory management",NFR,Performance,1
7,F0_REQ_00007,The OPEN shall responsible to enforce security principles defined for Card Content management.,FR,Functional,0.8
8,F0_REQ_00008,"The OPEN shall own the GlobalPlatform register that contains information for managing the card, Executable Load Files,Applications, Security Domain associations, and privileges.",FR,Functional,0.8
9,F0_REQ_00009,The GlobalPlatform API shall provides services to the application such as card verification and security services,FR,Functional,0.8
10,F0_REQ_00010,The GlobalPlatform API shall provides services  to the card content management such as  card locking and application life cycle state update,FR,Functional,0.8
11,F0_REQ_00011,"The primary goal of the GlobalPlatform is to ensure the security and integrity of the card's components for the life of the card. These components are The runtime environment,The OPEN,The Issuer Security Domain,Supplementary Security Domains, The Applications.",NFR,Security,0.5
12,F0_REQ_00012,"To ensure card security and integrity, the GlobalPlatform is designed to support a range of secure mechanisms for: Data integrity, Resource availability, Confidentiality, Authentication.",NFR,Security,0.5
13,F0_REQ_00013,"The Card Issuer is responsible for Generating and loading the Issuer Security Domain keys,",NFR,Security,0.5
14,F0_REQ_00014,""" """"The Card Issuer is responsible for Enforcing standards and policies for Application Providers governing all aspects of Applications to be provided to the Card Issuer or operated on the Card Issuer's cards,""""",FR,Functional,0.5
15,F0_REQ_00015,""" """"The Card Issuer is responsible for Working with Application Providers to create and initialize Security Domains other than the Issuer Security Domain,""""",FR,Functional,0.5
16,F0_REQ_00016,""" """"The Card Issuer is responsible for Determining policy with regards to card and Application Life Cycle management, velocity checking levels, privileges, and other security parameters,""""",NFR,Security,0.5
17,F0_REQ_00017,The Card Issuer is responsible for Managing the application code loading and installing both on a Pre-Issuance and Post-Issuance basis,FR,Functional,0.5
18,F0_REQ_00018,"The Card Issuer is responsible for Cryptographically authorizing load, install, and extradition to be performed by Application Providers.",FR,Functional,0.5
19,F0_REQ_00019,""" """"The Application Provider is responsible for Generating the keys for its own Security Domains or obtaining Security Domain keys from a trusted third party,""""",FR,Functional,0.5
20,F0_REQ_00020,"The Application Provider is responsible for Working with the Card Issuer to load generated keys into the Application Provider's Security Domain,",FR,Functional,0.5
21,F0_REQ_00021,"The Application Provider is responsible for Providing applications that meet the Card Issuer's security standards and policies,",FR,Functional,0.5
22,F0_REQ_00022,""" """"The Application Provider is responsible for Providing load file data block signatures according to its own security policy for integrity and source authenticity,""""",FR,Functional,0.5
23,F0_REQ_00023,"The Application Provider is responsible for Obtaining pre-authorization for load, install, and extradition from the Card Issuer,",FR,Functional,0.5
24,F0_REQ_00024,"The Application Provider is responsible for Returning receipts for load, install, delete, and extradition, according to the Card Issuer's policy.",FR,Functional,0.5
25,F0_REQ_00025,""" """"A Controlling Authority is responsible for Generating the keys for its own Security Domain or obtaining Security Domain keys from a trusted third party,""""",NFR,Security,0.5
26,F0_REQ_00026,"A Controlling Authority is responsible for Working with the Card Issuer to load generated keys into the Controlling Authority's Security Domain,",NFR,Security,0.5
27,F0_REQ_00027,""" """"A Controlling Authority is responsible for Providing load file data block signatures according to its own security policy for integrity and source authenticity.""""",NFR,Security,0.5
28,F0_REQ_00028,""" """"The runtime environment is responsible for Providing an interface to all Applications that ensures that the runtime environment security mechanisms cannot be bypassed, deactivated, corrupted or otherwise circumvented,""""",NFR,Security,0.5
29,F0_REQ_00029,The runtime environment is responsible for Performing secure memory management,NFR,Performance,0.7
30,F0_REQ_00030,""" """"Secure memory management shall ensure that Each application's code and data (including transient session data) as well as the runtime environment itself and its data (including transient session data) is protected from unauthorized access from within the card,""""",NFR,Performance,1
31,F0_REQ_00031,""" """"Secure memory management shall ensure that When more than one logical channel is supported, each concurrently selected Application's code and data (including transient session data) as well as the runtime environment itself and its data (including transient session data) is protected from unauthorized access from within the card,""""",NFR,Performance,1
32,F0_REQ_00032,"Secure memory management shall ensure that The previous contents of the memory is not accessible when that memory is reused,",NFR,Performance,1
33,F0_REQ_00033,""" """"Secure memory management shall ensure that The memory recovery process is secure and consistent in case of a loss of power or withdrawal of the card from the card reader while an operation is in progress,""""",NFR,Performance,1
34,F0_REQ_00034,""" """"The runtime environment is responsible for Providing communication services with off-card entities that ensures the proper transmission (according to the specific communication protocol rules) of unaltered command and response messages.""""",FR,Functional,0.5
35,F0_REQ_00035,"Each Trusted Framework present on the card shall Check the application access rules of the inter-acting Applications according to their respective privileges,",FR,Functional,0.8
36,F0_REQ_00036,""" """"Each Trusted Framework present on the card shall Enforce the Trusted Framework security rules for inter-application communication, including the rules, defined in appendix G,""""",FR,Functional,0.8
37,F0_REQ_00037,"Each Trusted Framework present on the card shall Ensure that incoming messages are properly routed unaltered to their intended destinations,",FR,Functional,0.8
38,F0_REQ_00038,""" """"Each Trusted Framework present on the card shall Ensure that any response messages are properly returned unaltered (except for any cryptographic protection) to the original receiver of the incoming message.""""",FR,Functional,0.8
39,F0_REQ_00039,""" """"The OPEN shall Provide an interface to all Applications that ensures that the GlobalPlatform security mechanism cannot be bypassed, deactivated, corrupted or otherwise circumvented,""""",FR,Functional,0.8
40,F0_REQ_00040,"The OPEN shall Check application access rules according to the Applications' privileges,",FR,Functional,0.8
41,F0_REQ_00041,The OPEN shall Manage card and Application Life Cycle,FR,Functional,0.8
42,F0_REQ_00042,"The OPEN shall Ensure that the Card Content changes are authorized by the Card Issuer,",FR,Functional,0.8
43,F0_REQ_00043,"The OPEN shall Ensure that application code has been signed by the Controlling Authority represented on the card,",FR,Functional,0.8
44,F0_REQ_00044,"The OPEN shall Ensure that application code has been signed by Application Providers represented on the card, if required.",FR,Functional,0.8
45,F0_REQ_00045,Security Domains enforce the security policies of their off-card Security Domain Provider.,FR,Functional,0.5
46,F0_REQ_00046,""" """"When applicable a Security Domain shall Communicate with off-card entities in accordance with its Security Domain Provider's security policy in Pre-Issuance and Post-Issuance,""""",FR,Functional,0.8
47,F0_REQ_00047,"When applicable a Security Domain shall Manage on-card data securely,",FR,Functional,0.8
48,F0_REQ_00048,""" """"When applicable a Security Domain shall Provide cryptographic protection services for its own Applications during their personalization and optionally during their subsequent operation,""""",FR,Functional,0.8
49,F0_REQ_00049,"When applicable a Security Domain shall Request the OPEN to load, install, extradite, and delete card content,",FR,Functional,0.8
50,F0_REQ_00050,"When applicable a Security Domain shall Return to the off-card entity any receipt for load, install, extradition, and delete,",FR,Functional,0.8
51,F0_REQ_00051,"When applicable a Security Domain shall Verify the authorization for Card Content changes initiated by an off-card authority,",FR,Functional,0.8
52,F0_REQ_00052,"When applicable a Security Domain shall Generate receipts for load, install, extradition, and delete,",FR,Functional,0.8
53,F0_REQ_00053,When applicable a Security Domain shall Verify the load file data block signature when requested by the OPEN.,FR,Functional,0.8
54,F0_REQ_00054,"A Global Services Application shall Be able to provide services to other Applications, such as CVM services,",FR,Functional,0.8
55,F0_REQ_00055,"A Global Services Application shall Hold the Global Services application-related data securely,",FR,Functional,0.8
56,F0_REQ_00056,A Global Services Application shall Perform internal security measures as required by the service.,FR,Functional,0.8
57,F0_REQ_00057,Applications should Expose only data and resources that are necessary for proper application functionality,FR,Functional,0.2
58,F0_REQ_00058,Applications should Perform internal security measures required by the Application Provider,FR,Functional,0.2
59,F0_REQ_00059,"The back-end systems (multiple back-end systems may exist for a single card), which communicate with the cards, perform the verifications, and manage the off-card key databases, also shall be trusted.",FR,Functional,0.8
60,F0_REQ_00060,""" """"One of the major requirements for a GlobalPlatform card is the ability to provide a minimum level of cryptographic functionality. This cryptography is, for example, used for the generation of signatures, and is available for use by the Applications present on the card.""""",FR,Functional,0.5
61,F0_REQ_00061,The Issuer Security Domain shall implement one Secure Channel Protocol.,FR,Functional,0.8
62,F0_REQ_00062,A Security Domain other than the Issuer Security Domain shall implement [at least] one Secure Channel Protocol.,FR,Functional,0.8
63,F0_REQ_00063,A GlobalPlatform card should support symmetric cryptography such as the Data Encryption Standard (DES) algorithm.,FR,Functional,0.2
64,F0_REQ_00064,A GlobalPlatform card may also support asymmetric cryptography such as the Rivest / Shamir / Adleman (RSA) algorithm.,FR,Functional,0.5
65,F0_REQ_00065,"When present, services to encrypt and decrypt any pattern of data using these algorithms shall be available to Applications.",FR,Functional,0.8
66,F0_REQ_00066,""" """"It is the responsibility of the Card Issuer or the Controlling Authority to set up the appropriate off-card procedures to comply with the governmental restrictions upon cryptography. Features to disable or restrict cryptography usage by Applications on a card are beyond the scope of this Specification.""""",FR,Functional,0.5
67,F0_REQ_00067,The Load File Data Block Hash is intended to verify the integrity of a complete Load File Data Block when loaded to a GlobalPlatform card.,FR,Functional,0.5
68,F0_REQ_00068,The Load File Data Block Hash is used in the computation of The Load File Data Block Signature,FR,Functional,0.5
69,F0_REQ_00069,The Load File Data Block Hash is used in the computation of The Load Token,FR,Functional,0.5
70,F0_REQ_00070,"When present during the loading of a Load File to the card, each signature shall be verified by the appropriate Security Domain.",FR,Functional,0.8
71,F0_REQ_00071,Tokens shall be verified by the appropriate Security Domain.,FR,Functional,0.8
72,F0_REQ_00072,The appropriate Security Domain may generate Receipts during Delegated Management.,NFR,Security,0.5
73,F0_REQ_00073,A GlobalPlatform card may provide security services related to information exchanged between the card and an offcard entity.,FR,Functional,0.5
74,F0_REQ_00074,The security level of the communication with an off-card entity does not necessarily apply to each individual message being transmitted but can only apply to the environment and/or context in which messages are transmitted.,NFR,Security,0.5
75,F0_REQ_00075,The concept of the Life Cycle of the card (see section 5.1 - Card Life Cycle) may be used to determine the security level of the communication between the card and an off-card entity.,NFR,Security,0.5
76,F0_REQ_00076,"A GlobalPlatform card offers Entity authentication - in which the card or the off-card entity proves its authenticity to the other entity through a cryptographic exchange,",NFR,Security,0.5
77,F0_REQ_00077,"A GlobalPlatform card offers Integrity and authentication - in which the receiving entity (the card or off-card entity) ensures that the data being received from the sending entity (respectively the off-card entity or card) actually came from an authenticated entity in the correct sequence and has not been altered,",NFR,Security,0.5
78,F0_REQ_00078,A GlobalPlatform card offers Confidentiality - in which data being transmitted from the sending entity (the off-card entity or card) to the receiving entity (respectively the card or off-card entity) is not viewable by an unauthenticated entity.,FR,Functional,0.5
79,F0_REQ_00079,"The life cycle models is responsible to functionality and security of Card, Executable Load Files, Executable Modules, Security Domains, and Applications.",NFR,Security,0.5
80,F0_REQ_00080,The OPEN shall owns and maintains the Life Cycle information within the GlobalPlatform Registry,FR,Functional,0.8
81,F0_REQ_00081,The OPEN shall be responsible to maintain security and administration of the card and its content,FR,Functional,0.8
82,F0_REQ_00082,"At OP_READY state, the OPEN shall be available and ready for execution",FR,Functional,0.8
83,F0_REQ_00083,"At OP_READY state, the runtime environment shall be  ready for execution",FR,Functional,0.8
84,F0_REQ_00084,"At OP_READY state, issuer security domain shall be implicitly selected application for all card interfaces",FR,Functional,0.8
85,F0_REQ_00085,"At OP_READY state,Executable Load Files that were included in Immutable Persistent Memory shall be registered in the GlobalPlatform Registry",NFR,Performance,1
86,F0_REQ_00086,"At OP_READY, initial key shall be available within the issuer security domain",FR,Functional,0.8
