,global_id,text,class,subclass
0,F0_REQ_00004,The CNG shall implement an authentication failure handling policy.,NFR,Security
1,F0_REQ_00002,The CNG shall detect the end of the life of the key used for cryptographic protection of the wireless communication between the CND and the CNG.,FR,Functional
2,F0_REQ_00003,A CPN-user attempting to invoke a CNG-mediated service shall be identified and authenticated by the CNG before being granted access to the service.,NFR,Security
3,F0_REQ_00001,"Internally to the CPN, a CNG receiving private or other critical information (i.e. from a CND) should verify that the data was protected from unauthorised disclosure.",NFR,Security
4,F0_REQ_00000,"Internally to the CPN, a CNG transmitting private or other critical information (i.e. to a CND) shall protect the data from unauthorised disclosure.",NFR,Security
5,F0_REQ_00005,"The CNG shall take action according to local authentication failure handling policy (which may include silently discarding the authentication and explicit failure notification, or in the case of a replay of credentials may include notification of the true owner of the credentials) upon detection of failure during identification, authentication and authorization.",NFR,Security
6,F0_REQ_00006,The CNG should detect replayed user and/or device credentials.,NFR,Security
7,F0_REQ_00007,"When the CNG detects replayed user and/or device credentials, the CNG shall stop the relevant processes.",NFR,Security
8,F0_REQ_00008,The CNG shall implement a privacy protection policy specifying as a minimum private and critical information.,NFR,Security
9,F0_REQ_00009,"When the CNG detects violation of the privacy protection policy the CNG shall discard all signalling, including signalling from the NGN.",NFR,Security
10,F0_REQ_00010,The CNG shall implement an authorization management handling policy.,NFR,Security
11,F0_REQ_00011,On reception at the CNG of a message to access configuration information for update and detection of authorization failure the CNG shall reject the request and manage the failure in accordance with the CPN authorization management handling policy.,NFR,Security
12,F0_REQ_00013,On transmission of management information from the CNG to a CND the CNG shall append a timestamp or sequence number to the outgoing message.,NFR,Performance
13,F0_REQ_00014,On reception at the CNG of a message containing management information the CNG shall extract the timestamp or sequence number and verify that the message has not been replayed.,NFR,Performance
14,F0_REQ_00012,"Where a CND invokes a session at the CNG the CNG shall record the association of session-id, invoking device identity and invoking user-id.",NFR,Usability
15,F0_REQ_00015,On reception at the CNG of a message to access or update configuration information the CNG shall allow access only if the sender is an administrator.,FR,Functional
16,F0_REQ_00016,On detection of a message integrity error at the CNG the CNG shall discard the message.,NFR,Security
17,F0_REQ_00018,On receipt of a valid (i.e. authorized) request for data stored in the CNG the CNG shall return the requested data to the requesting user.,NFR,Security
18,F0_REQ_00019,On receipt of a valid (i.e. authorized) request for access to a CNG hosted service or application the CNG shall provide the requested service or application to the requesting user.,FR,Functional
19,F0_REQ_00017,On indication received at the CNG of a resource allocation expiry the CNG shall delete all residual data associated with the invocation of the resource.,FR,Functional
20,F0_REQ_00020,On detection of any system failure or discontinuity not specifically handled by other mechanisms the CNG shall revert to a known safe state.,NFR,Performance
21,F0_REQ_00021,The CNG shall support mechanisms to authenticate itself to the NGN for connectivity purposes.,FR,Functional
22,F0_REQ_00022,The CNG shall support mechanisms to authenticate itself to the NGN for service usage purposes.,FR,Functional
23,F0_REQ_00023,The CNG shall support mechanisms to authenticate CNDs to the NGN for service usage purposes if they are not able to fully support the related procedures in an autonomous way.,FR,Functional
24,F0_REQ_00024,The CNG shall support mechanisms for authentication of wireless CNDs for local connectivity. Similar mechanisms may be also implemented for non-wireless devices.,NFR,Security
25,F0_REQ_00025,The CNG and CPN shall support mechanisms that prevent access to the network by unauthorized users.,FR,Functional
26,F0_REQ_00026,"The capacity of the authorized entities should depend on the security policies defined by the service providers, managing the CNG.",NFR,Security
27,F0_REQ_00027,The CNG and the CPN shall implement mechanisms to limit the visibility of the WAN side network and resources to authorized entities.,NFR,Performance
28,F0_REQ_00028,The diagnostic operations on the CPN by an operator shall be performed in accordance with rules protecting the users' privacy.,NFR,Security
29,F0_REQ_00029,"CPN environment shall be protected with a stateful firewall function, that may be implemented in the CNG.",NFR,Security
30,F0_REQ_00030,The CNG and the CPN shall be able to support parental control related functionalities limiting the use of the broadband connection on a user or time basis. Limitations on a content basis may be shared with devoted network servers.,NFR,Performance
31,F0_REQ_00033,The CNG shall support both routed and bridged modes of operation.,FR,Functional
32,F0_REQ_00034,The CNG shall support direct intra-LAN connectivity between any appropriate pair of devices on the Customer Premises Network.,FR,Functional
33,F0_REQ_00031,"The CNG shall be equipped with a WAN interface towards the NGN, implementing layer 1 and 2 functionalities (one-box solution).",NFR,Usability
34,F0_REQ_00032,"LAN interfaces. The CNG shall be equipped with at least one Ethernet (minimum 100 Mbit/s) is interface. Optional interfaces could be present, e.g.: wireless LAN Wi-Fi Alliance certified, Powerlines, Plastic Optical Fiber, USB device and/or host, one or more FXS for analog telephony, DECT Cat-iq.",NFR,Usability
35,F0_REQ_00035,"The CNG shall support different IP address schemes and subnets on the same physical LAN port, and on different LAN ports, irrespective of routed or bridged mode of operation, allowing the direct addressability of CNDs from the NGN side in relation to data plane, control plane and management plane flows.",FR,Functional
36,F0_REQ_00036,"The CNG and devices shall support mechanisms to identify and share information about the customer network devices (e.g. type of device and basic capabilities, services supported etc.) within the customer environment. Some of this information can be used locally, while a subset of it can be forwarded to the NGN.",FR,Functional
37,F0_REQ_00037,The CNG shall support use of one user identity on several terminals as well as to share one terminal with several identities.,FR,Functional
38,F0_REQ_00038,"The CNG and the Customer Network shall support the NGN services usage (e.g. voice communications, video communications, IPTV, entertainment, ) allowing the connection to the right service control platforms.",FR,Functional
39,F0_REQ_00039,"The CNG should support redirection of IP Multimedia sessions, as defined by TS 181 005 [1], independently from the type of device used (NGN terminal or other CND).",NFR,Performance
40,F0_REQ_00040,"The CNG and the Customer Network shall assure the confidentiality, the integrity of signalling/control/media and management flows.",NFR,Security
41,F0_REQ_00041,"The CNG and the Customer Network shall provide the opportunity for a customer network administrator to perform service and network-related configuration. According to the service/network provider choices, the CNG and Customer Network may prevent - user initiated modification of network and service related parameters.",FR,Functional
42,F0_REQ_00042,"The CNG should negotiate session parameters (bandwidth, screen resolution, codecs) with the NGN transparently to the user.",NFR,Performance
43,F0_REQ_00043,"The CPN shall support remote access, based on NGN network functions.",FR,Functional
44,F0_REQ_00044,"The CNG shall allow the customer remote access to a CND in the Customer Network, for example a surveillance video camera.",FR,Functional
45,F0_REQ_00045,"Standard NGN authentication, routing and connectivity should be used to establish remote access connectivity.",NFR,Security
46,F0_REQ_00046,The CNG may use multiple tunnel connections for providing e.g. adequate QoS for the remote access user.,NFR,Performance
47,F0_REQ_00047,The CNG may allow secure dynamic firewall opening for remote access devices based on NGN authentication functions.,NFR,Security
48,F0_REQ_00049,"If Home to Home (H2H) communication service is provided, then each CNG must limit access to local CNDs and/or media classes based on the access rights of the remote H2H user identity.",NFR,Usability
49,F0_REQ_00048,The CNG may provide Home to Home (H2H) communication service  connecting CNDs in  different CPNs.,FR,Functional
50,F0_REQ_00051,"The CPN may support encrypted communication with remote access devices, and the encrypted communication can be terminated either at the CNG or CND.",NFR,Security
51,F0_REQ_00053,The CNG may support mechanisms supporting nomadism of the users and their subscribed services from one physical customer environment to another.,NFR,Performance
52,F0_REQ_00054,"The CNG should be able to assist in establishing Rich Communication Suite sessions between CNDs, including joining/splitting voice & media streams.",NFR,Performance
53,F0_REQ_00050,"If Home to Home (H2H) communication service is provided, then each CNG must ensure that emergency service sessions originating in its CPN are associated with the appropriate location information and/or calling identity.",FR,Functional
54,F0_REQ_00052,The CNG may act as a proxy for handling messages (requests and responses) related to the remote access scenarios to and from the home.,FR,Functional
55,F0_REQ_00059,The CNG shall support a mechanism allowing the support of call forking towards customer non-IMS capable devices.,FR,Functional
56,F0_REQ_00055,It should be possible for more than one identity to be associated with a single CPN subscription.,FR,Functional
57,F0_REQ_00057,It shall be possible for a single public identity to be associated with multiple CNDs where each association is allocated a unique private identity.,FR,Functional
58,F0_REQ_00056,It should be possible for a service profile to be associated with each identity within a CPN subscription.,FR,Functional
59,F0_REQ_00058,Multiple public identities on the same terminal shall be supported.,FR,Functional
60,F0_REQ_00060,The CNG shall able to store information related to private identities of non-IMS capable CNDs.,NFR,Performance
61,F0_REQ_00061,The CNG shall support a mechanism allowing the support of call forwarding toward non-IMS capable CNDs.,FR,Functional
62,F0_REQ_00062,The CNG shall support intra-CPN communication between IMS and non-IMS capable CNDs.,FR,Functional
63,F0_REQ_00064,The NGN network should be provided with a CND location information.,FR,Functional
64,F0_REQ_00063,The customer environment (CNG and/or CNDs) should support a mechanism to allow service roaming,FR,Functional
65,F0_REQ_00066,The CNG shall support mechanisms for managing IPTV flows provided both in unicast and multicast mode.,FR,Functional
66,F0_REQ_00069,The CNG shall support the connection to a STB (or media gateway) both in a bridged or in a routed mode of operation.,FR,Functional
67,F0_REQ_00065,Codec requirements and capabilities for the User Equipment (including the CNG) are already defined in TS 181 005 [1] which describes service requirements and capabilities for the TISPAN NGN.,NFR,Usability
68,F0_REQ_00067,In case of multicast flows the CNG shall keep a record of which devices are subscribed to which multicast group.,FR,Functional
69,F0_REQ_00068,An IPTV media flow shall be terminated by a STB or by a specific device called media gateway (or application gateway). The CNG shall not terminate any IPTV flow by itself.,FR,Functional
70,F0_REQ_00071,In case of multicast streams the CNG should support proxy functionalities to optimize the management of information related to signalling.,NFR,Performance
71,F0_REQ_00072,"CNG shall perform a link layer multicast to unicast translation if the STB or media gateway are connected using customer network technologies not supporting multicast flows (e.g. powerlines, wireless).",FR,Functional
72,F0_REQ_00074,Functionalities related to Electronic Programming Guide and DRM management shall be implemented in STB or media gateway and not in CNG.,FR,Functional
73,F0_REQ_00070,Depending on the operation mode chosen (bridged or touted) and on the type of flow treated (unicast or multicast) the CNG shall forward packets only to the physical interfaces which are connected to devices interested to the IPTV flow.,NFR,Usability
74,F0_REQ_00073,STB or media gateways should be equipped with a programmable open API allowing the implementation of specific service logics.,FR,Functional
75,F0_REQ_00079,CPN should support storage of UGC within the CPN.,FR,Functional
76,F0_REQ_00076,Protocols adaptation for control plane or management plane may be performed by CNG.,FR,Functional
77,F0_REQ_00078,CPN should support user generated content (UGC) using  an NGN service.,NFR,Usability
78,F0_REQ_00077,"Presence related information shall be sent to the NGN by the STB or the CNG (depending on the specific architectural choices, CNG could manage the presence related information on behalf of the specific device used) to enable specific services tailored on the specific user's profile.",NFR,Usability
79,F0_REQ_00075,Media flows (data plane) transcoding shall be performed by STB or media gateway and not by the CNG.,FR,Functional
80,F0_REQ_00080,"Subject to applicable regulation, UGC media streams may be sent directly from one CPN to one or multiple other CPN.",NFR,Performance
81,F0_REQ_00083,"CPN should support inter-destination content synchronisation of streaming multimedia content. This should achieve that all or a specific group of users consuming specific content get the content presented simultaneously, i.e. without user-noticeable delay difference.",NFR,Performance
82,F0_REQ_00084,"The CNG and the CPN shall support adequate Quality of Service mechanisms (e.g. prioritize the traffic in the event that there is not sufficient bandwidth in the customer network in order to ensure the correct network performances to each traffic flow). To achieve this objective a number of functionalities shall be supported by CNG and/or CNDs, as defined in the following bullets. Most of the following set of requirements is defined adopting as a reference the Home Gateway Initiative (HGI) Release 1 Specification mentioned in clause 2 [6].",FR,Functional
83,F0_REQ_00081,"CPN should support bookmarks (e.g. hyperlinks) to stored and streaming user-generated content in order to store and exchange references to uploaded and streaming UGC,.",NFR,Usability
84,F0_REQ_00082,The user should be able to personalize bookmarks to UGC.,NFR,Usability
85,F0_REQ_00085,The NGN network QoS functions shall be possible to use to enhance the end-user experience.,NFR,Performance
86,F0_REQ_00086,The CNG may interact with the Resource and Admission Control Subsystem (RACS) as defined in ES 282 001 [9] to support remote real-time QoS control,NFR,Performance
87,F0_REQ_00087,The CNG may interact with network elements inside the CPN to support QoS control inside the CPN.,NFR,Performance
