,id,text,class,subclass,confidence,reasons_rlhf,correct_class,correct_subclass,comment
0,F0_REQ_00385,The website should have an African feel but should not alienate non-Africans. The website should use animation on pages which are describing the services to grab the users attention and encourage them to sign up.,FR,Functional,0.2,low_confidence,,,
1,F0_REQ_00386,The website design should be modern clean and concise.,FR,Functional,0.2,low_confidence,,,
2,F0_REQ_00388,Users should only have to navigate through a maximum of 4 pages to create an account with the website.,FR,Functional,0.2,low_confidence,,,
3,F0_REQ_00389,Users should be able to access their streaming movies in under 2 clicks after logging into the website.,FR,Functional,0.2,low_confidence,,,
5,F0_REQ_00418,Promotional updates to the website should take a day to update.,FR,Functional,0.2,low_confidence,,,
6,F0_REQ_00439,The website should cater to all tribes in Nigeria.,FR,Functional,0.2,low_confidence,,,
7,F0_REQ_00441,The website should appeal to all Africans not only Nigerians.,FR,Functional,0.2,low_confidence,,,
8,F0_REQ_00442,The website should use Flash to provide animation on the home page.,FR,Functional,0.2,low_confidence,,,
12,F0_REQ_00658,The calculations performed by the system must comply according to the norms set by the user and should not vary unless explicitly changed by the user.,FR,Functional,0.2,low_confidence,,,
9,F0_REQ_00463,Daily usage statistics should be logged and accessible by the administrator.,FR,Functional,0.2,low_confidence,,,
10,F0_REQ_00619,User access should be limited to the permissions granted to their role(s) Each level in the PCG hierarchy will be assigned a role and users will be assigned to these roles. Access to functionality within RFS system is dependent on the privileges/permission assigned to the role..,FR,Functional,0.2,low_confidence,,,
11,F0_REQ_00634,The system search feature should support the use of regular expressions in search.,FR,Functional,0.2,low_confidence,,,
14,F0_REQ_00671,All data entry forms for the application should match their Microsoft Excel hardcopy counterparts as closely as possible. Hardcopies of these forms were provided to the design team during the second requirements interview.,FR,Functional,0.2,low_confidence,,,
13,F0_REQ_00659,The client should agree to EULA before using our software.,FR,Functional,0.2,low_confidence,,,
15,F0_REQ_00674,The application should be connected to the Internet.,FR,Functional,0.2,low_confidence,,,
16,F0_REQ_00675,The application should be connected to the GPS device.,FR,Functional,0.2,low_confidence,,,
24,F0_REQ_00725,Information should be tagged according to who is entering the data.,FR,Functional,0.2,low_confidence,,,
17,F0_REQ_00676,The application should be easy to extend. The code should be written in a way that it favors implementation of new functions.,FR,Functional,0.2,low_confidence,,,
18,F0_REQ_00677,Test environments should be built for the application to allow testing of the applications different functions.,FR,Functional,0.2,low_confidence,,,
