,id,text,class,subclass,confidence
8,F0_REQ_00008,A new stylistic map must have the right dimensions.,FR,Functional,0.5
9,F0_REQ_00009,A new stylistic map must be geographically correct.,FR,Functional,0.5
10,F0_REQ_00010,News will be restricted to what is available in the feeds on the list of news RSS-feeds.,FR,Functional,0.5
11,F0_REQ_00011,Agenda will be restricted to what is available in the feeds on the list of agenda RSS-feeds.,FR,Functional,0.5
12,F0_REQ_00012,Information about a certain person will be restricted to what is available on the employee pages of the TU/e Encyclopedia.,FR,Functional,0.5
13,F0_REQ_00013,The information and the search methods of the Encyclopedia-app will be restricted to the services provided by the MediaWiki of the TU/e Encyclopedia.,FR,Functional,0.5
14,F0_REQ_00014,The information and the search methods of the Student Handbook-app will be restricted depending on file format of the handbook-information.,FR,Functional,0.5
16,F0_REQ_00016,"System dependability ensures users are informed of any issues for trusted system performance , measured during testing and prioritized highly.",NFR,Performance,0.5
17,F0_REQ_00017,"The application should ideally use less than 10 MB of storage space, with a hard limit of 20 MB.",NFR,Performance,0.5
18,F0_REQ_00018,"The applications memory usage on the mobile operating system should ideally be below 10 MB, with a strict limit of 20 MB during operation.",NFR,Performance,0.7
19,F0_REQ_00019,"The system should reliably deliver accurate search results in over 98% of cases, aiming for 99% or even perfect accuracy during operation",NFR,Reliability,0.5
20,F0_REQ_00020,"The system should be accessible to users more than 98% of the time, ideally aiming for 99% or even continuous uptime.",NFR,Security,0.7
21,F0_REQ_00021,The application requires an internet connection to function.,FR,Functional,0.5
22,F0_REQ_00022,The application requires a GPS connection for functionality.,FR,Functional,0.5
24,F0_REQ_00024,The restaurant owner login system must always prevent unauthorized access by notifying users of failed login attempts with non-existent accounts.,FR,Functional,0.5
25,F0_REQ_00025,The admin login system must always block unauthorized access and notify admins of failed login attempts with non-existent accounts.,FR,Functional,0.5
26,F0_REQ_00026,"To prevent unauthorized access, restaurant owner accounts will be locked for 30 minutes after three failed login attempts, disabling login functionality during that period.",FR,Functional,0.5
27,F0_REQ_00027,"Admin accounts will be secured by a 30-minute lockout following three failed login attempts, preventing access from that IP address during the lockout period.",FR,Functional,0.5
28,F0_REQ_00028,"The system will enforce unique usernames during user account creation, prompting users to choose a different username if their desired one is already taken.",FR,Functional,0.5
29,F0_REQ_00029,"Restaurant owner account creation prioritizes security by enforcing unique usernames, requiring them to choose a different option if their desired name is unavailable.",NFR,Security,0.5
31,F0_REQ_00031,The application will require well-defined test environments to ensure thorough testing of its various functionalities.,FR,Functional,0.5
34,F0_REQ_00034,"The system will be developed using Waterfall methodology, Object-Oriented Programming in Java, targeting Android devices 2.3 onwards with a mandatory internet connection.",FR,Functional,0.5
35,F0_REQ_00035,​ The system will be designed in such a way that the algorithms for the four main units will be able to be easily swapped out.,FR,Functional,0.5
36,F0_REQ_00036,The overall accuracy of the Web API’s response will be measured using a developer-made testing set.,FR,Functional,0.5
39,F0_REQ_00039,The system will be designed in such a way that the algorithms for the four main units will be easily swapped out.,FR,Functional,0.5
42,F0_REQ_00042,"The connection between the Web API and the programs will use HTTPS, for security.",FR,Functional,0.5
43,F0_REQ_00043,A new user will make less than 3 mistakes in 5 minutes after 5 minutes of use.,FR,Functional,0.5
53,F0_REQ_00053,Application prioritizes fast network response as it relies heavily on data retrieval rather than phone processing power.,FR,Functional,0.5
73,F0_REQ_00073,The development team will follow best practices for clean code and software modularity in order to make the application as maintainable as possible.,FR,Functional,0.5
74,F0_REQ_00074,Users will be able to access this application on or off campus anytime on their mobile device without the need of an internet connection.,FR,Functional,0.5
77,F0_REQ_00077,The system will be designed in such a way that the algorithms for the four main units will be able to be easily swapped out.,FR,Functional,0.5
78,F0_REQ_00078,The overall accuracy of the Web API’s response will be measured using a developer-made testing set.,FR,Functional,0.5
84,F0_REQ_00084,"The connection between the Web API and the programs will use HTTPS, for security.",FR,Functional,0.5
85,F0_REQ_00085,A new user will make less than 3 mistakes in 5 minutes after 5 minutes of use.,FR,Functional,0.5
88,F0_REQ_00088,"SplitPay will prioritize user safety by ensuring it doesn't interfere with other apps or data, and in the future, the application will warn users against using it when focus is critical.",FR,Functional,0.5
90,F0_REQ_00090,"SplitPay's user interface will prioritize usability and clarity, featuring a visually-appealing design and leveraging informative notifications and pop-ups to guide users in the future.",FR,Functional,0.5
91,F0_REQ_00091,"The system will prioritize error-free expense splitting calculations while offering full app functionality offline, caching financial data until reconnected.",FR,Functional,0.5
104,F0_REQ_00104,The default language of insErtion will be English.,FR,Functional,0.5
298,F0_REQ_00298,Users can permanently delete their accounts and access to the system.,FR,Functional,0.5
308,F0_REQ_00308,"This system will convert an input question about a specific entity and property (e.g., building closing time) into a generic answer sentence (e.g., building closes at specific time).",FR,Functional,0.5
315,F0_REQ_00315,"If the database has no closing time for Rush Building, the system will inform the user and provide the Drexel University website for further information.",FR,Functional,0.5
317,F0_REQ_00317,A MySQL database will be used to store all information required to answer questions.,FR,Functional,0.5
319,F0_REQ_00319,The database will use the generic representations from R4.2.2.1 as table names or column headers for easier retrieval of data.,FR,Functional,0.5
320,F0_REQ_00320,The database will be updated periodically and the API will be unavailable during the update.,FR,Functional,0.5
321,F0_REQ_00321,Structural data sources will have their data stored in our database,FR,Functional,0.5
322,F0_REQ_00322,"For data with enough structuring, web scraping will be used to programmatically extract all the data needed and store it in our database.",FR,Functional,0.5
323,F0_REQ_00323,"For totally unstructured information, AI libraries will be used to programmatically extract and store any information possible",FR,Functional,0.5
324,F0_REQ_00324,"Data that is especially hard to extract, for whatever reason, will be manually extracted and added to the database by a developer.",FR,Functional,0.5
325,F0_REQ_00325,The GUI will have a textbox that will accept inputs from a keyboard.,FR,Functional,0.5
326,F0_REQ_00326,"Text box will originally contain a suggestive text question, to guide the user to the format of an appropriate question.",FR,Functional,0.5
327,F0_REQ_00327,The GUI will have a “Send” button which sends text from the textbox to the API when clicked,FR,Functional,0.5
328,F0_REQ_00328,The GUI will have a chat window displaying questions sent to the system and responses from the API.,FR,Functional,0.5
