,id,text,class,subclass
0,F0_REQ_00000,The system shall refresh the display every 60 seconds.,FR,Functional
1,F0_REQ_00001,The application shall match the color of the schema set forth by Department of Homeland Security,NFR,Security
2,F0_REQ_00002,If projected  the data must be readable.  On a 10x10 projection screen  90% of viewers must be able to read Event / Activity data from a viewing distance of 30,FR,Functional
3,F0_REQ_00003,The product shall be available during normal business hours. As long as the user has access to the client PC  the system will be available 99% of the time during the first six months of operation.,FR,Functional
4,F0_REQ_00004,If projected  the data must be understandable. On a 10x10 projection screen  90% of viewers must be able to determine that Events or Activities are occuring in current time from a viewing distance of 100,FR,Functional
5,F0_REQ_00005,The product shall ensure that it can only be accessed by authorized users.  The product will be able to distinguish between authorized and unauthorized users in all access attempts,FR,Functional
6,F0_REQ_00006,The product shall be intuitive and self-explanatory.,FR,Functional
7,F0_REQ_00007,The product shall respond fast to keep up-to-date data in the display.,FR,Functional
8,F0_REQ_00008,The system shall have a MDI form that allows for the viewing of the graph and the data table.,FR,Functional
9,F0_REQ_00009,The system shall display Events in a vertical table by time.,FR,Functional
10,F0_REQ_00010,The system shall display the Events in a graph by time.,FR,Functional
11,F0_REQ_00011,All business rules specified in the Disputes System shall be in compliance to the guidelines of Regulation E and Regulation Z.,FR,Functional
12,F0_REQ_00012,The Disputes application must maintain a detailed history of every action that a user takes on a dispute case.  This ensures a complete audit trail if questions arise later on with regard to a particular dispute case.,FR,Functional
13,F0_REQ_00013,All actions that modify an existing dispute case must be recorded in the case history.,FR,Functional
14,F0_REQ_00014,The Disputes System must be accessible by both internal and external users.,FR,Functional
15,F0_REQ_00015,The Disputes System must prevent users from accessing any dispute cases that do not belong to their cardholder base.,FR,Functional
16,F0_REQ_00016,The Disputes System will facilitate direct data entry of a dispute case via a user interface that supports real time responses to the users.,NFR,Usability
17,F0_REQ_00017,The Disputes System must provide different levels of access with regard to disputes case initiation and follow-up actions.,FR,Functional
18,F0_REQ_00018,The Disputes System shall provide view access capability for authorized users of the application.,FR,Functional
19,F0_REQ_00019,The Disputes System shall provide update access capability for authorized users of the application.,FR,Functional
20,F0_REQ_00020,The Disputes System must allow the users to select disputable transactions (based on the age of the transaction) from a user interface and initiate a dispute (ticket retrieval request or chargeback notification) on the selected transaction.,NFR,Usability
21,F0_REQ_00021,The Disputes System must provide the user the ability to initiate a single dispute case on multiple transactions that belong to a single merchant.,FR,Functional
22,F0_REQ_00022,The Disputes System will provide the user the ability to create or initiate a ticket retrieval request.   As part of ticket retrieval creation process the system must prompt the user to enter all the required information to create the ticket retrieval request.  The ticket retrieval request is a document that is sent to merchant inquiring the validity of a transaction.,FR,Functional
23,F0_REQ_00023,The Disputes System must allow the user to create three unique types of ticket retrieval requests.  The three types of ticket retrieval requests are (1) Request for original receipt (2) Request for a copy of the receipt or (3) Request for a portfolio. A portfolio consists of documentation that would provide proof of a purchase such as the documentation that is received from a car rental agency that is more than a sales receipt.,FR,Functional
24,F0_REQ_00024,The Disputes System must prevent external users from requesting original receipts. Requests for original receipts are restricted to internal users.,FR,Functional
25,F0_REQ_00025,The Disputes System must provide a confirmation to the user upon the creation of ticket retrieval request that contains the following information; the dispute case number  the type of retrieval requested (copy  original or portfolio)  and the date that the merchant response is due.,FR,Functional
26,F0_REQ_00026,The Disputes System shall allow the user to create or initiate a chargeback request.  The system must prompt the user to enter the required information to initiate a chargeback request. The chargeback request results in a printed chargeback notification that is sent to merchant indicating that their account will be charged back if no proof is provided that the disputed transaction is valid.,FR,Functional
27,F0_REQ_00027,The Disputes System must provide a confirmation to the user upon the creation of a chargeback request. The confirmation must contain the following information; the dispute case number  the type of chargeback requested (pending or immediate)  and the date that the merchant response is due.,FR,Functional
28,F0_REQ_00028,The Disputes System shall prevent the creation of duplicate dispute requests 100% of the time.,FR,Functional
29,F0_REQ_00029,The Disputes System shall accurately provide a list of possible reason codes for a given transaction.  The list of possible reason codes must be derived based on the type of transaction and the industry that the merchant belongs to  according to the business rules defined for the Disputes System.,FR,Functional
30,F0_REQ_00030,The Disputes System must provide the ability to view existing dispute cases.,FR,Functional
31,F0_REQ_00031,The Disputes System must provide Search functionality.  The search method must include the ability to search by (1) the dispute case number  (2) the merchant account number  (3) the cardmember account number and (4) the issuer number.  In addition to the above criteria  the search functionality must further allow the user to limit the results of the search by a date range  the type of dispute (ticket retrieval request or chargeback notification)  the case status (open  closed or all) and the dispute reason code.,FR,Functional
32,F0_REQ_00032,A list of all disputes cases that meet the entered search criteria must be provided to the user.  The list of cases must differentiate the type and/or status of the case by color -coding the line item in the list.  For example all open cases will be yellow and all closed cases will be gray.,FR,Functional
33,F0_REQ_00033,The Disputes System shall provide the users the ability to view the history of all activities that have occurred on the dispute case.,FR,Functional
34,F0_REQ_00034,The Dispute System shall provide the users with the ability to follow up on a dispute case via follow-up actions.  The list of available follow up actions for a given dispute case must be filtered by the status of the case and the access level of the user.,FR,Functional
35,F0_REQ_00035,The Disputes System shall record the name of the user and the date for any activity that creates or modifies the disputes case in the system.  A detailed history of the actions taken on the case  including the date and the user that performed the action must be maintained for auditing purposes.,FR,Functional
36,F0_REQ_00036,For any systematic (non-user initiated) action that occurs on a case such as the disputes aging process  a case activity will be generated.  Upon the next logon the user that initiated the dispute case must be notified that a systematic action has occurred on the dispute case.,FR,Functional
37,F0_REQ_00037,All letter requests must be formatted according to guidelines specified by the Print Letter Utility system.,FR,Functional
38,F0_REQ_00038,Any disputes cases that have been closed for over 6 months must be purged from the online disputes database.,FR,Functional
39,F0_REQ_00039,The product must support Internet Explorer 5.5 and above.,FR,Functional
40,F0_REQ_00040,The product must support Mozilla Firefox 1.0 and above.,FR,Functional
41,F0_REQ_00041,The product shall interface with the Choice Parts System.  This provides the feed of recycled parts data.,FR,Functional
42,F0_REQ_00042,The product shall run on the existing hardware for all environments.,FR,Functional
43,F0_REQ_00043,The product shall adhere to the corporate Architecture guidelines,FR,Functional
44,F0_REQ_00044,The product shall comply with corporate User Interface Guidelines,NFR,Usability
45,F0_REQ_00045,The product shall comply with corporate color scheme,FR,Functional
46,F0_REQ_00046,The appearance of the product shall appear professional,FR,Functional
47,F0_REQ_00047,The software product is expected to run on Windows or Linux platforms.,NFR,Usability
48,F0_REQ_00048,The product shall be easy to use by Adjusters and Collision Estimators.  95% of Adjusters and Collision Estimators shall find the product easy to use.,NFR,Usability
49,F0_REQ_00049,The product shall increase productivity of Collision Estimators. 80% of the Collision Estimators shall agree their productivity has increase within 1 month of using the product.,FR,Functional
50,F0_REQ_00050,Users shall feel satisfied using the product.  85% of all users will be satisfied with the product.,FR,Functional
51,F0_REQ_00051,The product shall be easy to learn by Adjusters and Collision Estimators.  The product shall be learned with two days onsite training,FR,Functional
52,F0_REQ_00052,The user shall easily locate instructions while using the product.  User help can be found within 90% of the system.,FR,Functional
53,F0_REQ_00053,The search for recycled parts shall take no longer than 15 seconds.  The search results shall be returned in under 15 seconds.,FR,Functional
54,F0_REQ_00054,The search for the preferred repair facility shall take no longer than 8 seconds.  The preferred repair facility is returned within 8 seconds,FR,Functional
55,F0_REQ_00055,The recycled parts audit report shall be returned to the user within 10 seconds.  The audit report shall be returned within 10 seconds.,FR,Functional
56,F0_REQ_00056,The preferred repair facility ratings shall be saved within 5 seconds. The save shall occur within 5 seconds.,FR,Functional
57,F0_REQ_00057,The product shall adhere to the corporate online availability schedule.  The application is brought down only within 98% of the scheduled outages per the availability schedule.,NFR,Reliability
58,F0_REQ_00058,The product shall achieve a 98% uptime. The product shall not fail more than 2% of the available online time.,NFR,Reliability
59,F0_REQ_00059,The product shall be able to handle up to 1500 simultaneous users. The system shall perform with 1500 users as a time.,FR,Functional
60,F0_REQ_00060,The average number of recycled parts records per day shall be 50 000.,FR,Functional
61,F0_REQ_00061,The product shall be able to handle 10 000 concurrent users within 2 years of the initial launch.,NFR,Performance
62,F0_REQ_00062,For estimators  the product shall be able to be operated in a repair facility during dirty and noisy conditions.,FR,Functional
63,F0_REQ_00063,The product shall interface with the ChoiceParts system once per day at approximately 1,FR,Functional
64,F0_REQ_00064,The maintenance of the product will fall within the established corporate maintenance windows.,NFR,Maintainability
65,F0_REQ_00065,The product shall be supported using the corporate support center.,FR,Functional
66,F0_REQ_00066,Product installations and upgrades shall be handled by the middleware technology team within established launch time frames.,FR,Functional
67,F0_REQ_00067,Only adjusters can request recycled parts audit reports. No users without an adjuster role shall request recycled parts audits.,FR,Functional
68,F0_REQ_00068,Only adjusters with a supervisor role can update preferred repair facility ratings. Users without the supervisor role cannot access the repair facility ratings.,NFR,Security
69,F0_REQ_00069,Only collision estimators shall search for recycled parts.  Users without the collision estimator role shall not have access to the search for recycled parts.,FR,Functional
