,id,text,class,subclass,confidence
0,F0_REQ_00000,Successful authentication is a prerequisite for the processing of any on-line or offline CEPS transaction,NFR,Security,0.5
1,F0_REQ_00001,"On-line authentication must take place between the card issuer and the CEP card for load,unload,and currency exchange transactions",FR,Functional,0.5
2,F0_REQ_00002,The card issuer and the CEP card share a secret key to generate and verify MACs,FR,Functional,0.5
3,F0_REQ_00003,Off-line authentication must take place between a PSAM in the POS device and the CEP card for purchase and cancel last purchase transactions,FR,Functional,0.5
4,F0_REQ_00004,"The card and the PSAM must use a public key algorithm for mutual authentication and session key exchange,as no permanent shared secret key may exist between the CEP card and the PSAM",FR,Functional,0.5
5,F0_REQ_00005,"To load value into a slot of the CEP card securely,the load device establishes a connection between the issuer and the CEP card",FR,Functional,0.5
6,F0_REQ_00006,"The card should use a unique diversified secret key,personalized into the card,to generate and authenticate transaction signatures",FR,Functional,0.2
7,F0_REQ_00007,"If this is not a cash load,the funds issuer needs to verify that the funds are requested by the legitimate account owner,which is normally done by the presentation of an enciphered PIN",FR,Functional,0.5
8,F0_REQ_00008,"The card issuer needs to ensure that the load acquirer is guaranteeing payment for the electronic value,and that the card is authentic",FR,Functional,0.5
9,F0_REQ_00009,"The load acquirer needs to ensure that the issuer is the true owner of the card,and,in the case of an apparent failure of the load,the load acquirer needs the card presented to authenticate the failure",NFR,Reliability,0.5
10,F0_REQ_00010,The load device sends S1 in an authorization request to the issuer,NFR,Security,0.5
11,F0_REQ_00011,The load device also provides for verification of the identity of the cardholder (with either on-line or off-line PIN verification) and forwards verification data in the authorization request,FR,Functional,0.5
12,F0_REQ_00012,The issuer validates S1 to authenticate the card and the data to be used in the transaction,FR,Functional,0.5
13,F0_REQ_00013,The issuer sends S2 to the load acquirer in the authorization response message,NFR,Security,0.5
14,F0_REQ_00014,Unloads are permitted only to an account controlled by the card issuer and are performed only at a load device under the control of the card issuer,FR,Functional,0.5
15,F0_REQ_00015,"The cardholder must have an account relationship with the card issuer,and funds removed from the card are credited to the cardholder account only after the card issuer authenticates the card",FR,Functional,0.5
16,F0_REQ_00016,"The issuer needs only to authenticate the card,and the card needs only to authenticate the issuer and that the data is the same as used by the issuer",FR,Functional,0.5
17,F0_REQ_00017,"The card generates S1,using data from the card and load device,and sends S1 to the card issuer to authenticate the card and the data that is to be used in the transaction",FR,Functional,0.5
18,F0_REQ_00018,"The card issuer generates S2,which is sent to the card to allow the card to validate the card issuer??s authenticity and to ensure that the data used by the card in the transaction is the same as the card issuer intended",FR,Functional,0.5
19,F0_REQ_00019,"In the case of an unsuccessful completion,exception processing outlined in the On-line Exception Processing section is performed",FR,Functional,0.5
20,F0_REQ_00020,"During a purchase transaction,the CEP card must ensure that it is dealing with an authentic POS device,and it must generate a signature to allow the card issuer to verify the integrity of the transaction",FR,Functional,0.5
21,F0_REQ_00021,"The POS device must ensure that it is dealing with an authentic card,and guarantee integrity of transactions and batches to the merchant acquirer",FR,Functional,0.5
22,F0_REQ_00022,"In the case of a reversal,the CEP card must re-authenticate the PSAM",FR,Functional,0.5
23,F0_REQ_00023,"The card must ensure that the transaction is performed by the same POS device as was used for the purchase being canceled,and that the amount of the cancellation is the same as the amount of the purchase,or,in the case of an incremental purchase,the same as the amount of the last step",FR,Functional,0.5
24,F0_REQ_00024,"During a Cancel Last Purchase transaction,the CEP card is authenticated by the PSAM in the POS device",FR,Functional,0.5
25,F0_REQ_00025,"The PSAM authenticates that the purchase transaction being canceled was performed by the PSAM,and that the transaction being canceled is part of the active batch",FR,Functional,0.5
26,F0_REQ_00026,The card issuer and the merchant acquirer also authenticate the transaction when they receive it,FR,Functional,0.5
27,F0_REQ_00027,Transmissions between host systems should be protected by MACs based on unique keys that are shared by the nodes involved,FR,Functional,0.2
28,F0_REQ_00028,"The transaction signatures ensure end to end integrity of transmitted data for load,unload,and currency exchange transactions",FR,Functional,0.5
29,F0_REQ_00029,These totals are used by the merchant acquirer to ensure the integrity of the batch,FR,Functional,0.5
30,F0_REQ_00030,"The count and amount of the transactions in the batch must be protected by the S4 MAC,This information is not part of the card issuer??s verification process",FR,Functional,0.5
31,F0_REQ_00031,Scheme providers must assign unique identifying numbers to merchant acquirers who provide PSAMs,NFR,Performance,0.8
32,F0_REQ_00032,These merchant acquirers must then assign unique identifiers to PSAMs,FR,Functional,0.5
33,F0_REQ_00033,"Each PSAM must maintain a transaction count,The unique PSAM ID and the transaction count are used during a conversation with a CEP card. The transaction count must not be reset during the life of the PSAM",FR,Functional,0.5
