,id,text,class,subclass,confidence
0,F0_REQ_00001,The system must allow for multiple file upload to be configured on a per-page basis.,FR,Functional,0.5
1,F0_REQ_00002,The system must allow actors to organize their voice clips into a portfolio.,FR,Functional,0.5
2,F0_REQ_00003,The system must allow actors to download their voice clips in a flexible format.,FR,Functional,0.5
3,F0_REQ_00004,The system must store audio clips in a format conducive to speech.,FR,Functional,0.5
4,F0_REQ_00005,The system must allow actors to delete recorded clips.,FR,Functional,0.5
5,F0_REQ_00006,The system must allow web feeds to be turned on or off on a per-page basis.,FR,Functional,0.5
6,F0_REQ_00007,An actor must be able to search through pages in a course.,FR,Functional,0.5
7,F0_REQ_00008,The system must display a search box on every page after an actor has logged in.,FR,Functional,0.5
8,F0_REQ_00009,A course administrator must be able to grade an assignment.,FR,Functional,0.5
11,F0_REQ_00012,The system must provide a wiki where actors can collaboratively create networks of documents.,FR,Functional,0.5
12,F0_REQ_00013,The system must provide a blog engine.,FR,Functional,0.5
13,F0_REQ_00014,The system must provide both e-mail and SMS notifications for pages.,FR,Functional,0.5
15,F0_REQ_00016,The system must be backed up on a configurable schedule.,FR,Functional,0.5
16,F0_REQ_00017,The system must have the ability and capacity to restore back-up data within six hours so that the system is never offline for an inordinate period of time.,FR,Functional,0.5
18,F0_REQ_00019,99% up-time should be considered sufficient to meet this requirement.,FR,Functional,0.5
20,F0_REQ_00021,The system must be maintainable without substantial modification.,FR,Functional,0.5
22,F0_REQ_00023,Users must have easy access to help while interacting with the system.,FR,Functional,0.5
23,F0_REQ_00024,Adequate user documentation should be provided to minimize the number of calls to the Help Desk about problems with the system.,NFR,Performance,0.5
26,F0_REQ_00027,"System administrators must have access to comprehensive, searchable documentation.",FR,Functional,0.5
29,F0_REQ_00030,"This documentation must cover all procedures necessary for regular maintenance with links to additional information, all common errors, and links or documentation for advanced troubleshooting.",FR,Functional,0.5
117,F0_REQ_00118,The level of coverage should be at least 95% of the time over 95% of the designated coverage area for a radio installed in a vehicle with an external antenna.,FR,Functional,0.5
192,F0_REQ_00193,A driver may be provided with a handheld portable to allow communications whilst the driver is outside the train.,FR,Functional,0.5
205,F0_REQ_00206,"The functional identity displayed should include the coach number of the leading cab, if neither a train number nor an engine number is available.",NFR,Performance,0.5
207,F0_REQ_00208,"When the call is connected to the controller, an audible and visual indication is to be provided to the driver.",FR,Functional,0.5
242,F0_REQ_00243,"If the controller calls the lead driver (in a controller-lead cab call), the controller is automatically added into the multi-driver call.",FR,Functional,0.5
249,F0_REQ_00250,The call from the Cab radio may be initiated by selection from a pre-defined list (up to 99 entries).,FR,Functional,0.5
287,F0_REQ_00288,Powering up the Cab radio will initiate automatic self-testing.,FR,Functional,0.5
288,F0_REQ_00289,Powering up the Cab radio will initiate automatic selection of the pre-set loudspeaker volume.,FR,Functional,0.5
289,F0_REQ_00290,"Powering up the Cab radio will initiate registration with other on-train systems, such as ERTMS/ETCS.",FR,Functional,0.5
346,F0_REQ_00347,It should be possible for the driver to store and overwrite numbers and their details in the Cab radio.,NFR,Performance,0.5
347,F0_REQ_00348,General MMI functions are required to support forwarding call to the driver handportable.,FR,Functional,0.5
348,F0_REQ_00349,General MMI functions are required to support putting a call on hold.,FR,Functional,0.5
349,F0_REQ_00350,General MMI functions are required to support displaying incoming call details whilst in an on-going call.,FR,Functional,0.5
350,F0_REQ_00351,General MMI functions are required to support temporarily exiting an existing call to answer another incoming call.,FR,Functional,0.5
351,F0_REQ_00352,General MMI functions are required to support multi-driver call service.,FR,Functional,0.5
360,F0_REQ_00361,"Where pre-emption occurs, an advisory indication may be provided to the pre-empted parties.",FR,Functional,0.5
367,F0_REQ_00368,"Cab radios should be able to continue to operate for a period of at least 1 hour in the event of failure of the train's power supply, based on 20% point-to-point calls, 5% group calls, and 75% standby.",FR,Functional,0.5
382,F0_REQ_00383,"Some Cab radios may need to be operated by staff wearing gloves and controls may need to be suitable for use in a wide range of conditions, e.g. splash proof and suitable for viewing in direct sunlight and in darkness.",FR,Functional,0.5
383,F0_REQ_00384,"Where there is a risk that stored numbers or other set-up details may be accidentally changed, facilities should be provided on the Cab radio in order to prevent this happening.",NFR,Performance,0.5
393,F0_REQ_00394,Additional information (for DSD alarm) may also be provided if available from external systems.,FR,Functional,0.5
401,F0_REQ_00402,Other interfaces may be provided in the Cab radio system.,FR,Functional,0.5
411,F0_REQ_00412,"If the call is a group call, the user has to request permission to speak during the call by using the Push-To-Talk (PTT) function (General purpose radio).",FR,Functional,0.5
414,F0_REQ_00415,The user may then talk whilst the PTT function is used (General purpose radio).,FR,Functional,0.5
444,F0_REQ_00445,"General purpose radios should be equipped with rechargeable batteries capable of providing a minimum of eight hours operation from a single charge based on 20% point-to-point calls, 5% group calls, and 75% standby.",FR,Functional,0.5
455,F0_REQ_00456,The Push-To-Talk function does not need to be a dedicated button (General purpose radio).,FR,Functional,0.5
456,F0_REQ_00457,Four buttons should be provided for designated stored numbers (General purpose radio).,NFR,Performance,0.5
457,F0_REQ_00458,Stored numbers and other set-up details should be protected against accidental alteration (General purpose radio).,NFR,Performance,0.5
486,F0_REQ_00487,"If the call is a group call, the user has to request permission to speak during the call by using the Push-To-Talk (PTT) function (Operational radio).",FR,Functional,0.5
489,F0_REQ_00490,The user may then talk whilst the PTT function is used (Operational radio).,FR,Functional,0.5
544,F0_REQ_00545,Four buttons should be provided for designated stored numbers (Operational radio).,NFR,Performance,0.5
594,F0_REQ_00595,Various types of call restriction may be employed by the railways as an additional security measure.,NFR,Security,0.5
603,F0_REQ_00604,Cab radios should be members of the trackside worker standard group.,NFR,Performance,0.5
607,F0_REQ_00608,The access matrix defines which subscribers are able to contact which other subscribers within the EIRENE network.,FR,Functional,0.5
638,F0_REQ_00639,"If required, a railway may make additional restrictions to the access matrix.",FR,Functional,0.5
658,F0_REQ_00659,It should be possible for the system to prevent certain types of users from registering train numbers that they are not authorised to use.,NFR,Performance,0.5
659,F0_REQ_00660,It should be possible for the system to prevent certain types of users from registering driver of train functional numbers that they are not authorised to use.,NFR,Performance,0.5
660,F0_REQ_00661,It should be possible for the system to prevent certain types of users from registering shunting team leader functional numbers that they are not authorised to use.,NFR,Performance,0.5
686,F0_REQ_00687,"Where greater accuracy for location dependent addressing is required, additional location information may be provided by ground-based signalling systems external to EIRENE.",FR,Functional,0.5
687,F0_REQ_00688,"Where greater accuracy for location dependent addressing is required, additional location information may be provided by on-train systems (e.g. ERTMS/ETCS equipment, balise readers, GPS etc) external to EIRENE.",FR,Functional,0.5
689,F0_REQ_00690,"In order to ensure interoperability, the text message service is mandatory for the Cab radio.",FR,Functional,0.5
690,F0_REQ_00691,"In order to ensure interoperability, the text message service is optional for the ground.",FR,Functional,0.5
692,F0_REQ_00693,A message can include several segments.,FR,Functional,0.5
693,F0_REQ_00694,The transfer time for each message segment should be less than 30 seconds for 95% of messages.,NFR,Performance,0.5
710,F0_REQ_00711,Different indications at the originating and receiving terminal may be provided (for emergency activation).,FR,Functional,0.5
717,F0_REQ_00718,A Railway emergency call may only be terminated by the originator of the call.,FR,Functional,0.5
718,F0_REQ_00719,A Railway emergency call may only be terminated by a controller participating in the call.,FR,Functional,0.5
