,id,text,class,subclass,confidence
0,F0_REQ_00001,"Internally to the CPN, a CNG transmitting private or other critical information (i.e. to a CND) shall protect the data from unauthorised disclosure.",FR,Functional,0.8
1,F0_REQ_00002,"Internally to the CPN, a CNG receiving private or other critical information (i.e. from a CND) should verify that the data was protected from unauthorised disclosure.",FR,Functional,0.2
2,F0_REQ_00003,The CNG shall detect the end of the life of the key used for cryptographic protection of the wireless communication between the CND and the CNG.,FR,Functional,0.8
3,F0_REQ_00004,A CPN-user attempting to invoke a CNG-mediated service shall be identified and authenticated by the CNG before being granted access to the service.,FR,Functional,0.8
4,F0_REQ_00005,The CNG shall implement an authentication failure handling policy.,FR,Functional,0.8
5,F0_REQ_00006,"The CNG shall take action according to local authentication failure handling policy (which may include silently discarding the authentication and explicit failure notification, or in the case of a replay of credentials may include notification of the true owner of the credentials) upon detection of failure during identification, authentication and authorization.",FR,Functional,0.8
6,F0_REQ_00007,The CNG should detect replayed user and/or device credentials.,FR,Functional,0.2
7,F0_REQ_00008,"When the CNG detects replayed user and/or device credentials, the CNG shall stop the relevant processes.",FR,Functional,0.8
8,F0_REQ_00009,The CNG shall implement a privacy protection policy specifying as a minimum private and critical information.,FR,Functional,0.8
9,F0_REQ_00010,"When the CNG detects violation of the privacy protection policy the CNG shall discard all signalling, including signalling from the NGN.",FR,Functional,0.8
10,F0_REQ_00011,The CNG shall implement an authorization management handling policy.,FR,Functional,0.8
11,F0_REQ_00012,On reception at the CNG of a message to access configuration information for update and detection of authorization failure the CNG shall reject the request and manage the failure in accordance with the CPN authorization management handling policy.,FR,Functional,0.8
12,F0_REQ_00013,"Where a CND invokes a session at the CNG the CNG shall record the association of session-id, invoking device identity and invoking user-id.",FR,Functional,0.8
13,F0_REQ_00014,On transmission of management information from the CNG to a CND the CNG shall append a timestamp or sequence number to the outgoing message.,NFR,Performance,1
14,F0_REQ_00015,On reception at the CNG of a message containing management information the CNG shall extract the timestamp or sequence number and verify that the message has not been replayed.,NFR,Performance,1
15,F0_REQ_00016,On reception at the CNG of a message to access or update configuration information the CNG shall allow access only if the sender is an administrator.,FR,Functional,0.8
16,F0_REQ_00017,On detection of a message integrity error at the CNG the CNG shall discard the message.,FR,Functional,0.8
17,F0_REQ_00018,On indication received at the CNG of a resource allocation expiry the CNG shall delete all residual data associated with the invocation of the resource.,FR,Functional,0.8
18,F0_REQ_00019,On receipt of a valid (i.e. authorized) request for data stored in the CNG the CNG shall return the requested data to the requesting user.,FR,Functional,0.8
19,F0_REQ_00020,On receipt of a valid (i.e. authorized) request for access to a CNG hosted service or application the CNG shall provide the requested service or application to the requesting user.,FR,Functional,0.8
