Requirement ID,Project ID,Project Name,Dataset ID,text,class,subclass,confidence,,Confidence,,
REQ_001_000001,P001,Library Management System,DS001,"Internally to the CPN, a CNG transmitting private or other critical information (i.e. to a CND) shall protect the data from unauthorised disclosure.",FR,Functional,0.8,,<= 8 (High),<= 5 (Medium),>=4.9 (Low)
REQ_001_000002,P001,Library Management System,DS001,"Internally to the CPN, a CNG receiving private or other critical information (i.e. from a CND) should verify that the data was protected from unauthorised disclosure.",FR,Functional,0.2,,7564,1257,281
REQ_001_000003,P001,Library Management System,DS001,The CNG shall detect the end of the life of the key used for cryptographic protection of the wireless communication between the CND and the CNG.,FR,Functional,0.8,,,,
REQ_001_000004,P001,Library Management System,DS001,A CPN-user attempting to invoke a CNG-mediated service shall be identified and authenticated by the CNG before being granted access to the service.,FR,Functional,0.8,,,,
REQ_001_000005,P001,Library Management System,DS001,The CNG shall implement an authentication failure handling policy.,FR,Functional,0.8,,,,
REQ_001_000006,P001,Library Management System,DS001,"The CNG shall take action according to local authentication failure handling policy (which may include silently discarding the authentication and explicit failure notification, or in the case of a replay of credentials may include notification of the true owner of the credentials) upon detection of failure during identification, authentication and authorization.",FR,Functional,0.8,,,,
REQ_001_000007,P001,Library Management System,DS001,The CNG should detect replayed user and/or device credentials.,FR,Functional,0.2,,,,
REQ_001_000008,P001,Library Management System,DS001,"When the CNG detects replayed user and/or device credentials, the CNG shall stop the relevant processes.",FR,Functional,0.8,,,,
REQ_001_000009,P001,Library Management System,DS001,The CNG shall implement a privacy protection policy specifying as a minimum private and critical information.,FR,Functional,0.8,,,,
REQ_001_000010,P001,Library Management System,DS001,"When the CNG detects violation of the privacy protection policy the CNG shall discard all signalling, including signalling from the NGN.",FR,Functional,0.8,,,,
REQ_001_000011,P001,Library Management System,DS001,The CNG shall implement an authorization management handling policy.,FR,Functional,0.8,,,,
REQ_001_000012,P001,Library Management System,DS001,On reception at the CNG of a message to access configuration information for update and detection of authorization failure the CNG shall reject the request and manage the failure in accordance with the CPN authorization management handling policy.,FR,Functional,0.8,,,,
REQ_001_000013,P001,Library Management System,DS001,"Where a CND invokes a session at the CNG the CNG shall record the association of session-id, invoking device identity and invoking user-id.",FR,Functional,0.8,,,,
REQ_001_000014,P001,Library Management System,DS001,On transmission of management information from the CNG to a CND the CNG shall append a timestamp or sequence number to the outgoing message.,NFR,Performance,1,,,,
REQ_001_000015,P001,Library Management System,DS001,On reception at the CNG of a message containing management information the CNG shall extract the timestamp or sequence number and verify that the message has not been replayed.,NFR,Performance,1,,,,
REQ_001_000016,P001,Library Management System,DS001,On reception at the CNG of a message to access or update configuration information the CNG shall allow access only if the sender is an administrator.,FR,Functional,0.8,,,,
REQ_001_000017,P001,Library Management System,DS001,On detection of a message integrity error at the CNG the CNG shall discard the message.,FR,Functional,0.8,,,,
REQ_001_000018,P001,Library Management System,DS001,On indication received at the CNG of a resource allocation expiry the CNG shall delete all residual data associated with the invocation of the resource.,FR,Functional,0.8,,,,
REQ_001_000019,P001,Library Management System,DS001,On receipt of a valid (i.e. authorized) request for data stored in the CNG the CNG shall return the requested data to the requesting user.,FR,Functional,0.8,,,,
REQ_001_000020,P001,Library Management System,DS001,On receipt of a valid (i.e. authorized) request for access to a CNG hosted service or application the CNG shall provide the requested service or application to the requesting user.,FR,Functional,0.8,,,,
REQ_001_000021,P001,Library Management System,DS001,On detection of any system failure or discontinuity not specifically handled by other mechanisms the CNG shall revert to a known safe state.,FR,Functional,0.8,,,,
