,id,text,class,subclass,confidence
1,F0_REQ_00002,"Internally to the CPN, a CNG receiving private or other critical information (i.e. from a CND) should verify that the data was protected from unauthorised disclosure.",FR,Functional,0.2
6,F0_REQ_00007,The CNG should detect replayed user and/or device credentials.,FR,Functional,0.2
26,F0_REQ_00027,"The capacity of the authorized entities should depend on the security policies defined by the service providers, managing the CNG.",FR,Functional,0.2
39,F0_REQ_00040,"The CNG should support redirection of IP Multimedia sessions, as defined by TS 181 005 [1], independently from the type of device used (NGN terminal or other CND).",FR,Functional,0.2
42,F0_REQ_00043,"The CNG should negotiate session parameters (bandwidth, screen resolution, codecs…) with the NGN transparently to the user.",FR,Functional,0.2
45,F0_REQ_00046,"Standard NGN authentication, routing and connectivity should be used to establish remote access connectivity.",NFR,Security,0.2
54,F0_REQ_00055,"The CNG should be able to assist in establishing Rich Communication Suite sessions between CNDs, including joining/splitting voice & media streams.",FR,Functional,0.2
55,F0_REQ_00056,It should be possible for more than one identity to be associated with a single CPN subscription.,FR,Functional,0.2
56,F0_REQ_00057,It should be possible for a service profile to be associated with each identity within a CPN subscription.,FR,Functional,0.2
63,F0_REQ_00064,The customer environment (CNG and/or CNDs) should support a mechanism to allow service roaming,FR,Functional,0.2
64,F0_REQ_00065,The NGN network should be provided with a CND location information.,FR,Functional,0.2
71,F0_REQ_00072,In case of multicast streams the CNG should support proxy functionalities to optimize the management of information related to signalling.,FR,Functional,0.2
73,F0_REQ_00074,STB or media gateways should be equipped with a programmable open API allowing the implementation of specific service logics.,FR,Functional,0.2
78,F0_REQ_00079,CPN should support user generated content (UGC) using an NGN service.,FR,Functional,0.2
79,F0_REQ_00080,CPN should support storage of UGC within the CPN.,NFR,Performance,0.2
81,F0_REQ_00082,"CPN should support bookmarks (e.g. hyperlinks) to stored and streaming user-generated content in order to store and exchange references to uploaded and streaming UGC,.",FR,Functional,0.2
82,F0_REQ_00083,The user should be able to personalize bookmarks to UGC.,FR,Functional,0.2
83,F0_REQ_00084,"CPN should support inter-destination content synchronisation of streaming multimedia content. This should achieve that all or a specific group of users consuming specific content get the content presented simultaneously, i.e. without user-noticeable delay difference.",FR,Functional,0.2
113,F0_REQ_00114,The Network Configuration Server should be able to upload different parameter sets related to service subscription.,FR,Functional,0.2
114,F0_REQ_00115,The CND should be able to support bootstrap capabilities in order to retrieve network configuration data to connect the NGN.,FR,Functional,0.2
117,F0_REQ_00118,The CPN should support a capability to ensure QoS and call prioritization for sessions originating or terminating in the H(e)NB.,FR,Functional,0.2
125,F0_REQ_00126,The CND should support protocols for remote access management.,FR,Functional,0.2
126,F0_REQ_00127,The CND should support protocol for local authentication in CPN/CNG.,NFR,Security,0.2
131,F0_REQ_00132,The CND should be able to communicate its services related capabilities to the CNG.,FR,Functional,0.2
132,F0_REQ_00133,The CND should be able to support one or more codecs for communication services (as defined by TS 181 005 [1]).,FR,Functional,0.2
138,F0_REQ_00139,"The capacity of the authorized entities should depend on the security policies defined by the service providers, managing the CNG.",FR,Functional,0.2
151,F0_REQ_00152,"The CNG should support or not prevent redirection of IP Multimedia sessions, as defined by TS 181 005 [1], independently from the type of device used (NGN terminal or other CND).",FR,Functional,0.2
154,F0_REQ_00155,"The CNG should negotiate session parameters (bandwidth, screen resolution, codecs…) with the NGN transparently to the user.",FR,Functional,0.2
157,F0_REQ_00158,"Standard NGN authentication, routing and connectivity should be used to establish remote access connectivity.",NFR,Security,0.2
167,F0_REQ_00168,The customer environment (CNG and/or CNDs) should support a mechanism to allow service roaming,FR,Functional,0.2
169,F0_REQ_00170,The NGN network should be provided with a CND location information.,FR,Functional,0.2
176,F0_REQ_00177,In case of multicast streams the CNG should support proxy functionalities to optimize the management of information related to signalling.,FR,Functional,0.2
178,F0_REQ_00179,STB or media gateways should be equipped with a programmable open API allowing the implementation of specific service logics.,FR,Functional,0.2
206,F0_REQ_00207,The CND directly or through the CNG must be able to access to Network Configuration Service Function avoiding any user interaction. (and so the Network Configuration Server should be able to upload different parameter related to service subscription).,FR,Functional,0.2
207,F0_REQ_00208,The CND should be able to support bootstrap capabilities in order to retrieve network configuration data to connect the NGN.,FR,Functional,0.2
216,F0_REQ_00217,"The card should use a unique diversified secret key,personalized into the card,to generate and authenticate transaction signatures",FR,Functional,0.2
237,F0_REQ_00238,Transmissions between host systems should be protected by MACs based on unique keys that are shared by the nodes involved,FR,Functional,0.2
255,F0_REQ_00256,"If a supported scheme provider has a dispute resolution process,participate in that dispute resolution process with connecting processors to resolve any issues related to invalid transactions. These resolution processes should include a mechanism for repayment of funds associated with invalid transactions",FR,Functional,0.2
328,F0_REQ_00329,Load devices that are available to the general public should support multiple sources of funding and support both linked and unlinked loads,FR,Functional,0.2
333,F0_REQ_00334,The architecture for the electronic purse should not preclude the eventual deployment of a variety of devices to meet the needs of many card acceptance environments. Unload must not be precluded from being supported on any or all of these devices at the option of the acquirer,FR,Functional,0.2
391,F0_REQ_00392,Applications should Expose only data and resources that are necessary for proper application functionality,FR,Functional,0.2
392,F0_REQ_00393,Applications should Perform internal security measures required by the Application Provider,FR,Functional,0.2
397,F0_REQ_00398,A GlobalPlatform card should support symmetric cryptography such as the Data Encryption Standard (DES) algorithm.,FR,Functional,0.2
541,F0_REQ_00542,"The application's code structure should be designed for easy extension, facilitating the addition of new features.",FR,Functional,0.2
543,F0_REQ_00544,The application should be designed for easy porting between iOS and Android platforms.,FR,Functional,0.2
555,F0_REQ_00556,The search feature should be prominent and easy to find for the user.,FR,Functional,0.2
556,F0_REQ_00557,"The different search options should be evident, simple and easy to understand.",FR,Functional,0.2
557,F0_REQ_00558,Users should be able to easily understand and select results from the list with just a single click.,FR,Functional,0.2
558,F0_REQ_00559,"Map results should be clear and user-friendly, allowing selection of any pin with a single click.",FR,Functional,0.2
559,F0_REQ_00560,"The information link for each result should be clear, easy to identify, and open with just a single click.",FR,Functional,0.2
560,F0_REQ_00561,The user interface should be GUI based.,NFR,Usability,0.2
565,F0_REQ_00566,The application itself will only have minimal logic and so there should be little to no issues with the computation required by the phone itself.,FR,Functional,0.2
566,F0_REQ_00567,"The only hazard is a user using the device when they should not be, such as while driving.",FR,Functional,0.2
568,F0_REQ_00569,"The primary attribute of this application will be usability given the large amounts of data and information that will be presented on such a small screen, as well as the user’s ability to input data into the device in a reasonable manner that should not be that much more difficult than if they were at an actual computer.",FR,Functional,0.2
597,F0_REQ_00598,The FAU class ensures security-relevant events are logged and identifies what information should be included in those logs.,NFR,Security,0.2
971,F0_REQ_00972,"Ideally, each error message will be accompanied by explanatory text and an indication of the action(s) which the user can take in response to the error.",FR,Functional,0.2
1073,F0_REQ_01074,Initialization Data,FR,Functional,0.3
1254,F0_REQ_01255,"The system should be able to handle parameter changes in three ways: single parameter, subset of settings, and pre-defined parameter set switching.",FR,Functional,0.2
3385,F0_REQ_03386,"User interface should be attractive and easily understandable, requiring no assistance to use the website.",NFR,Usability,0.2
3386,F0_REQ_03387,"System should be able to operate efficiently on slow connections, ensuring fast and steady data flow.",FR,Functional,0.2
3387,F0_REQ_03388,Data of the user should be regularly synchronized between their device and the database for auto save functionality.,FR,Functional,0.2
3389,F0_REQ_03390,"Website should be multi-platform, capable of running on different operating systems.",FR,Functional,0.2
3390,F0_REQ_03391,"Users are advised to change their password every 30 days, and maximum 3 login attempts should be allowed.",FR,Functional,0.2
3392,F0_REQ_03393,User details and data should be stored securely in a database provided by the server.,FR,Functional,0.2
3510,F0_REQ_03511,The system should perform its intended function without failure for a specified period.,NFR,Reliability,0.2
3591,F0_REQ_03592,The passport management website should provide maximal security.,FR,Functional,0.2
3594,F0_REQ_03595,Adaptive Maintenance: The software should be compatible with all web-browsing capable browsers.,FR,Functional,0.2
3928,F0_REQ_03929,The user interface should prioritize simplicity and avoid cluttering with excessive information to enhance usability.,NFR,Usability,0.2
3929,F0_REQ_03930,"The system should maintain high availability, ensuring uninterrupted operation at all times.",NFR,Reliability,0.2
3999,F0_REQ_04000,The site should be usable anywhere with internet connectivity and a compatible device.,NFR,Usability,0.2
5158,F0_REQ_05159,"The application should be available at all working hours, with maintenance or backup operations conducted outside of working hours.",NFR,Reliability,0.2
5159,F0_REQ_05160,"The application should be installable on Microsoft or Unix platforms and compatible with browsers such as IE, Firefox, Chrome, Opera, or Safari.",FR,Functional,0.2
5162,F0_REQ_05163,Queries exceeding 1 minute should be terminated.,FR,Functional,0.2
5163,F0_REQ_05164,Backup operations should be executed periodically to ensure data safety.,NFR,Reliability,0.2
5164,F0_REQ_05165,The system should be designed to facilitate future evolution and maintenance operations.,FR,Functional,0.2
5548,F0_REQ_05549,The website must be capable of storing all data formats and should frequently connect to the database or be database sensitive.,FR,Functional,0.2
5583,F0_REQ_05584,The system should be secure to protect user data and prevent unauthorized access.,FR,Functional,0.2
5584,F0_REQ_05585,The system should be responsive and handle edits and playback smoothly.,FR,Functional,0.2
5586,F0_REQ_05587,The system should be easy to learn and use for users with varying levels of musical experience.,FR,Functional,0.2
5621,F0_REQ_05622,The graphics card should have at least 1 GB of VRAM and support OpenGL version 4.0 for enabling GPU Performance (optional feature for enhanced performance with graphic-intensive tasks).,NFR,Performance,0.2
5631,F0_REQ_05632,The graphics card should have at least 1 GB of VRAM for optimal performance (optional).,NFR,Performance,0.2
5632,F0_REQ_05633,The graphics card should ensure smoother and faster operation for graphic rendering and complex vector calculations (benefit).,FR,Functional,0.2
5999,F0_REQ_06000,The system should be accessible on various devices (mobile app implies mobile accessibility).,FR,Functional,0.2
6112,F0_REQ_06113,The system should run on a good working PC that meets the hardware interface requirements specified in the system documentation.,FR,Functional,0.2
6113,F0_REQ_06114,The system should efficiently handle medium-sized information databases without significant performance degradation.,NFR,Performance,0.2
6114,F0_REQ_06115,The system should avoid becoming overloaded and should maintain optimal performance even under peak load conditions.,NFR,Performance,0.2
6130,F0_REQ_06131,"The system is not designed for emergency medical use; in case of an emergency, users should contact emergency services such as 108 or their primary doctor.",FR,Functional,0.2
7012,F0_REQ_07013,The website should have an African feel but should not alienate non-Africans. The website should use animation on pages which are describing the services to grab the users attention and encourage them to sign up.,FR,Functional,0.2
7013,F0_REQ_07014,The website design should be modern clean and concise.,FR,Functional,0.2
7015,F0_REQ_07016,Users should only have to navigate through a maximum of 4 pages to create an account with the website.,FR,Functional,0.2
7016,F0_REQ_07017,Users should be able to access their streaming movies in under 2 clicks after logging into the website.,FR,Functional,0.2
7026,F0_REQ_07027,While streaming a movie buffering should only occur if there is latency in the user\92s connection.,NFR,Performance,0.4
7045,F0_REQ_07046,Promotional updates to the website should take a day to update.,FR,Functional,0.2
7066,F0_REQ_07067,The website should cater to all tribes in Nigeria.,FR,Functional,0.2
