,id,text,class,subclass,confidence
46,F0_REQ_00046,The CNG may use multiple tunnel connections for providing e.g. adequate QoS for the remote access user.,FR,Functional,0.5
47,F0_REQ_00047,The CNG may allow secure dynamic firewall opening for remote access devices based on NGN authentication functions.,FR,Functional,0.5
48,F0_REQ_00048,The CNG may provide Home to Home (H2H) communication service  connecting CNDs in  different CPNs.,FR,Functional,0.5
49,F0_REQ_00049,"If Home to Home (H2H) communication service is provided, then each CNG must limit access to local CNDs and/or media classes based on the access rights of the remote H2H user identity.",FR,Functional,0.5
50,F0_REQ_00050,"If Home to Home (H2H) communication service is provided, then each CNG must ensure that emergency service sessions originating in its CPN are associated with the appropriate location information and/or calling identity.",FR,Functional,0.5
51,F0_REQ_00051,"The CPN may support encrypted communication with remote access devices, and the encrypted communication can be terminated either at the CNG or CND.",FR,Functional,0.5
52,F0_REQ_00052,The CNG may act as a proxy for handling messages (requests and responses) related to the remote access scenarios to and from the home.,FR,Functional,0.5
53,F0_REQ_00053,The CNG may support mechanisms supporting nomadism of the users and their subscribed services from one physical customer environment to another.,FR,Functional,0.5
65,F0_REQ_00065,Codec requirements and capabilities for the User Equipment (including the CNG) are already defined in TS 181 005 [1] which describes service requirements and capabilities for the TISPAN NGN.,FR,Functional,0.5
76,F0_REQ_00076,Protocols adaptation for control plane or management plane may be performed by CNG.,FR,Functional,0.5
80,F0_REQ_00080,"Subject to applicable regulation, UGC media streams may be sent directly from one CPN to one or multiple other CPN.",FR,Functional,0.5
86,F0_REQ_00086,The CNG may interact with the Resource and Admission Control Subsystem (RACS) as defined in ES 282 001 [9] to support remote real-time QoS control,FR,Functional,0.5
87,F0_REQ_00087,The CNG may interact with network elements inside the CPN to support QoS control inside the CPN.,FR,Functional,0.5
107,F0_REQ_00107,"For the CNG management it is recommended to use a single protocol, so as to minimize the complexity and the cost of the service.",FR,Functional,0.5
112,F0_REQ_00112,The CND directly or through the CNG must be able to access to Network Configuration Service Function without involving any user interaction.,FR,Functional,0.5
118,F0_REQ_00118,"A CND, as defined in clause 3, may use the CNG to access NGN services.",FR,Functional,0.5
158,F0_REQ_00158,The CNG may allow secure dynamic firewall opening for remote access devices based on NGN authentication functions.,FR,Functional,0.5
159,F0_REQ_00159,"The CPN may support encrypted communication with remote access devices, and the encrypted communication can be terminated either at the CNG or CND.",FR,Functional,0.5
160,F0_REQ_00160,The CNG may act as a proxy for handling messages (requests and responses) related to the remote access scenarios to and from the home.,FR,Functional,0.5
161,F0_REQ_00161,The CNG may support mechanisms supporting nomadism of the users and their subscribed services from one physical customer environment to another.,FR,Functional,0.5
162,F0_REQ_00162,"Multiple identities should be supported within the same subscription. Personal service profiles per each identity within the same subscription should be supported. A shared public identity on several terminals, with different private identities, shall be supported (shared IMPU).",FR,Functional,0.5
168,F0_REQ_00168,(i.e. using the same CND in two different CPNs declaring the same public identity). Supporting this scenario for non IMS capable CNDs is still to be discussed.,FR,Functional,0.5
170,F0_REQ_00170,Codec requirements and capabilities for the User Equipment (including the CNG) are already defined in TS 181 005 [1] which describes service requirements and capabilities for the TISPAN NGN.,FR,Functional,0.5
181,F0_REQ_00181,Protocols adaptation for control plane or management plane may be performed by CNG.,FR,Functional,0.5
200,F0_REQ_00200,"For the CNG management it is recommended to use a single protocol, so as to minimize the complexity and the cost of the service.",FR,Functional,0.5
202,F0_REQ_00202,"(e.g. VoIP phones, Video phones, STBs, etc).",FR,Functional,0.5
221,F2_REQ_00011,"The primary goal of the GlobalPlatform is to ensure the security and integrity of the card's components for the life of the card. These components are The runtime environment,The OPEN,The Issuer Security Domain,Supplementary Security Domains, The Applications.",NFR,Security,0.5
222,F2_REQ_00012,"To ensure card security and integrity, the GlobalPlatform is designed to support a range of secure mechanisms for: Data integrity, Resource availability, Confidentiality, Authentication.",NFR,Security,0.5
