,id,text,class,subclass,confidence
0,F0_REQ_00001,The system must allow for multiple file upload to be configured on a per-page basis.,FR,Functional,0.5
1,F0_REQ_00002,The system must allow actors to organize their voice clips into a portfolio.,FR,Functional,0.5
2,F0_REQ_00003,The system must allow actors to download their voice clips in a flexible format.,FR,Functional,0.5
3,F0_REQ_00004,The system must store audio clips in a format conducive to speech.,FR,Functional,0.5
4,F0_REQ_00005,The system must allow actors to delete recorded clips.,FR,Functional,0.5
5,F0_REQ_00006,The system must allow web feeds to be turned on or off on a per-page basis.,FR,Functional,0.5
6,F0_REQ_00007,An actor must be able to search through pages in a course.,FR,Functional,0.5
7,F0_REQ_00008,The system must display a search box on every page after an actor has logged in.,FR,Functional,0.5
8,F0_REQ_00009,A course administrator must be able to grade an assignment.,FR,Functional,0.5
9,F0_REQ_00010,The system should display grade information to the appropriate actor.,FR,Functional,0.2
10,F0_REQ_00011,The system should maintain a grade history.,FR,Functional,0.2
11,F0_REQ_00012,The system must provide a wiki where actors can collaboratively create networks of documents.,FR,Functional,0.5
12,F0_REQ_00013,The system must provide a blog engine.,FR,Functional,0.5
13,F0_REQ_00014,The system must provide both e-mail and SMS notifications for pages.,FR,Functional,0.5
14,F0_REQ_00015,"As far as possible, the system should provide a simple, responsive interface.",FR,Functional,0.2
15,F0_REQ_00016,The system must be backed up on a configurable schedule.,FR,Functional,0.5
16,F0_REQ_00017,The system must have the ability and capacity to restore back-up data within six hours so that the system is never offline for an inordinate period of time.,FR,Functional,0.5
17,F0_REQ_00018,"The system should be available 24 hours a day, 7 days a week.",FR,Functional,0.2
18,F0_REQ_00019,99% up-time should be considered sufficient to meet this requirement.,FR,Functional,0.5
19,F0_REQ_00020,The system should support at least 1000 concurrent users.,NFR,Performance,0.2
20,F0_REQ_00021,The system must be maintainable without substantial modification.,FR,Functional,0.5
21,F0_REQ_00022,"Relevant, online documentation for users should be available on each page.",FR,Functional,0.2
22,F0_REQ_00023,Users must have easy access to help while interacting with the system.,FR,Functional,0.5
23,F0_REQ_00024,Adequate user documentation should be provided to minimize the number of calls to the Help Desk about problems with the system.,NFR,Performance,0.5
24,F0_REQ_00025,Modifications should be reported via the main page to inform actors of unexpected changes.,FR,Functional,0.2
25,F0_REQ_00026,This electronic documentation should be supplemented with phone and on-site support provided by the Office of Information Services.,FR,Functional,0.2
26,F0_REQ_00027,"System administrators must have access to comprehensive, searchable documentation.",FR,Functional,0.5
27,F0_REQ_00028,A comprehensive database of maintenance tasks and help files should be compiled to make the courseware system easier to maintain from an IT staff point-of-view.,FR,Functional,0.2
28,F0_REQ_00029,Search results should be displayed based on relevance.,FR,Functional,0.2
29,F0_REQ_00030,"This documentation must cover all procedures necessary for regular maintenance with links to additional information, all common errors, and links or documentation for advanced troubleshooting.",FR,Functional,0.5
30,F0_REQ_00031,The EIRENE network shall provide text message bearer service.,FR,Functional,0.8
31,F0_REQ_00032,The EIRENE network shall provide bearer service for general data applications.,FR,Functional,0.8
32,F0_REQ_00033,The EIRENE network shall provide bearer service for automatic fax.,FR,Functional,0.8
33,F0_REQ_00034,The EIRENE network shall provide bearer service for train control applications.,FR,Functional,0.8
34,F0_REQ_00035,The EIRENE network shall provide closed user group service.,FR,Functional,0.8
35,F0_REQ_00036,The EIRENE network shall provide multi-level priority and pre-emption.,FR,Functional,0.8
36,F0_REQ_00037,"The EIRENE network shall provide advanced call handling, such as call hold, call transfer, call queuing, etc.",FR,Functional,0.8
37,F0_REQ_00038,The EIRENE network shall provide auto answer service.,FR,Functional,0.8
38,F0_REQ_00039,The EIRENE network shall provide barring incoming or outgoing calls.,FR,Functional,0.8
39,F0_REQ_00040,The EIRENE network shall provide call supervisory indications.,FR,Functional,0.8
40,F0_REQ_00041,The EIRENE network shall provide charging information.,FR,Functional,0.8
41,F0_REQ_00042,"The EIRENE network shall support functional addressing by train, engine or coach number or functional number.",NFR,Performance,1
42,F0_REQ_00043,The EIRENE network shall support call specific persons depending upon user location.,FR,Functional,0.8
43,F0_REQ_00044,The EIRENE network shall support a specific mode for shunting operations providing a link assurance signal.,FR,Functional,0.8
44,F0_REQ_00045,The EIRENE network shall support multiple driver communications within the same train.,FR,Functional,0.8
45,F0_REQ_00046,The EIRENE network shall support railway operational emergency calls.,FR,Functional,0.8
46,F0_REQ_00047,The EIRENE network shall provide a direct mode facility for local set-to-set operation without network infrastructure.,FR,Functional,0.8
47,F0_REQ_00048,The EIRENE network shall provide set-up of urgent or frequent calls through single keystroke or similar.,FR,Functional,0.8
48,F0_REQ_00049,The EIRENE network shall provide display of functional identity of calling/called party.,FR,Functional,0.8
49,F0_REQ_00050,The EIRENE network shall provide fast and guaranteed call set-up.,FR,Functional,0.8
50,F0_REQ_00051,The EIRENE network shall provide seamless communication support for train speeds up to 500 km/h.,FR,Functional,0.8
51,F0_REQ_00052,The EIRENE network shall provide automatic and manual test modes with fault indications.,FR,Functional,0.8
52,F0_REQ_00053,The EIRENE network shall provide control over mobile network selection.,FR,Functional,0.8
53,F0_REQ_00054,The EIRENE network shall provide control over system configuration.,FR,Functional,0.8
54,F0_REQ_00055,It shall be possible for applications external to EIRENE to access EIRENE bearer services.,FR,Functional,0.8
55,F0_REQ_00056,All voice call services shall be able to operate between any combination of fixed and mobile equipment users.,NFR,Performance,1
56,F0_REQ_00057,The system shall support point-to-point voice calls between any two call parties.,FR,Functional,0.8
57,F0_REQ_00058,Such point-to-point calls shall allow both parties to talk simultaneously.,FR,Functional,0.8
58,F0_REQ_00059,The system shall allow a user to make public emergency point-to-point voice calls.,FR,Functional,0.8
59,F0_REQ_00060,The system shall support broadcast voice calls.,FR,Functional,0.8
60,F0_REQ_00061,The composition of call groups shall be able to be modified within the network.,FR,Functional,0.8
61,F0_REQ_00062,A single user shall be able to be a member of one or more call groups.,NFR,Performance,1
62,F0_REQ_00063,The local area over which broadcast calls shall be implemented shall be able to be modified within the network.,FR,Functional,0.8
63,F0_REQ_00064,"It shall only be possible for the user who initiated the call to talk, other users can only listen (for broadcast calls).",FR,Functional,0.8
64,F0_REQ_00065,The system shall support group voice calls.,FR,Functional,0.8
65,F0_REQ_00066,The composition of call groups shall be able to be modified within the network (for group calls).,FR,Functional,0.8
66,F0_REQ_00067,The local area over which group calls are implemented shall be able to be modified within the network (for group calls).,FR,Functional,0.8
67,F0_REQ_00068,It shall be possible for controllers to speak at any time during a group call.,FR,Functional,0.8
68,F0_REQ_00069,A mechanism shall be provided by the system to arbitrate between those users wishing to speak within the group call.,FR,Functional,0.8
69,F0_REQ_00070,The system shall support multi-party voice communications between up to six different parties.,FR,Functional,0.8
70,F0_REQ_00071,Any of the parties involved in a multi-party voice call shall be able to talk simultaneously.,FR,Functional,0.8
71,F0_REQ_00072,The EIRENE network should support text messages.,FR,Functional,0.2
72,F0_REQ_00073,The network should support the receipt of mobile-originated text messages by the ground.,FR,Functional,0.2
73,F0_REQ_00074,"If the text message facility is implemented, it shall not interfere with the ability of users to make or receive high priority voice or data calls.",FR,Functional,0.8
74,F0_REQ_00075,The network shall support point-to-point data communications.,FR,Functional,0.8
75,F0_REQ_00076,The network shall support data rates of at least 2.4 kbit/s.,FR,Functional,0.8
