,id,text,class,subclass
0,F0_REQ_00000,The system must allow for multiple file upload to be configured on a per-page basis.,FR,Functional
1,F0_REQ_00001,The system must allow actors to organize their voice clips into a portfolio.,FR,Functional
2,F0_REQ_00002,The system must allow actors to download their voice clips in a flexible format.,FR,Functional
3,F0_REQ_00003,The system must store audio clips in a format conducive to speech.,FR,Functional
4,F0_REQ_00004,The system must allow actors to delete recorded clips.,FR,Functional
5,F0_REQ_00005,The system must allow web feeds to be turned on or off on a per-page basis.,FR,Functional
6,F0_REQ_00006,An actor must be able to search through pages in a course.,FR,Functional
7,F0_REQ_00007,The system must display a search box on every page after an actor has logged in.,FR,Functional
8,F0_REQ_00008,A course administrator must be able to grade an assignment.,FR,Functional
9,F0_REQ_00009,The system should display grade information to the appropriate actor.,NFR,Functional
10,F0_REQ_00010,The system should maintain a grade history.,NFR,Functional
11,F0_REQ_00011,The system must provide a wiki where actors can collaboratively create networks of documents.,FR,Functional
12,F0_REQ_00012,The system must provide a blog engine.,FR,Functional
13,F0_REQ_00013,The system must provide both e-mail and SMS notifications for pages.,FR,Functional
14,F0_REQ_00014,"As far as possible, the system should provide a simple, responsive interface.",NFR,Usability
15,F0_REQ_00015,The system must be backed up on a configurable schedule.,FR,Functional
16,F0_REQ_00016,The system must have the ability and capacity to restore back-up data within six hours so that the system is never offline for an inordinate period of time.,NFR,Reliability
17,F0_REQ_00017,"The system should be available 24 hours a day, 7 days a week.",NFR,Functional
18,F0_REQ_00018,99% up-time should be considered sufficient to meet this requirement.,NFR,Usability
19,F0_REQ_00019,The system should support at least 1000 concurrent users.,NFR,Performance
20,F0_REQ_00020,The system must be maintainable without substantial modification.,FR,Functional
21,F0_REQ_00021,"Relevant, online documentation for users should be available on each page.",NFR,Functional
22,F0_REQ_00022,Users must have easy access to help while interacting with the system.,FR,Functional
23,F0_REQ_00023,Adequate user documentation should be provided to minimize the number of calls to the Help Desk about problems with the system.,FR,Functional
24,F0_REQ_00024,Modifications should be reported via the main page to inform actors of unexpected changes.,NFR,Functional
25,F0_REQ_00025,This electronic documentation should be supplemented with phone and on-site support provided by the Office of Information Services.,FR,Functional
26,F0_REQ_00026,"System administrators must have access to comprehensive, searchable documentation.",FR,Functional
27,F0_REQ_00027,A comprehensive database of maintenance tasks and help files should be compiled to make the courseware system easier to maintain from an IT staff point-of-view.,NFR,Maintainability
28,F0_REQ_00028,Search results should be displayed based on relevance.,NFR,Functional
29,F0_REQ_00029,"This documentation must cover all procedures necessary for regular maintenance with links to additional information, all common errors, and links or documentation for advanced troubleshooting.",FR,Functional
30,F1_REQ_00000,The EIRENE network shall provide text message bearer service.,FR,Functional
31,F1_REQ_00001,The EIRENE network shall provide bearer service for general data applications.,FR,Functional
32,F1_REQ_00002,The EIRENE network shall provide bearer service for automatic fax.,FR,Functional
33,F1_REQ_00003,The EIRENE network shall provide bearer service for train control applications.,FR,Functional
34,F1_REQ_00004,The EIRENE network shall provide closed user group service.,FR,Functional
35,F1_REQ_00005,The EIRENE network shall provide multi-level priority and pre-emption.,FR,Functional
36,F1_REQ_00006,"The EIRENE network shall provide advanced call handling, such as call hold, call transfer, call queuing, etc.",FR,Functional
37,F1_REQ_00007,The EIRENE network shall provide auto answer service.,FR,Functional
38,F1_REQ_00008,The EIRENE network shall provide barring incoming or outgoing calls.,FR,Functional
39,F1_REQ_00009,The EIRENE network shall provide call supervisory indications.,FR,Functional
40,F1_REQ_00010,The EIRENE network shall provide charging information.,FR,Functional
41,F1_REQ_00011,"The EIRENE network shall support functional addressing by train, engine or coach number or functional number.",FR,Functional
42,F1_REQ_00012,The EIRENE network shall support call specific persons depending upon user location.,FR,Functional
43,F1_REQ_00013,The EIRENE network shall support a specific mode for shunting operations providing a link assurance signal.,FR,Functional
44,F1_REQ_00014,The EIRENE network shall support multiple driver communications within the same train.,FR,Functional
45,F1_REQ_00015,The EIRENE network shall support railway operational emergency calls.,FR,Functional
46,F1_REQ_00016,The EIRENE network shall provide a direct mode facility for local set-to-set operation without network infrastructure.,FR,Functional
47,F1_REQ_00017,The EIRENE network shall provide set-up of urgent or frequent calls through single keystroke or similar.,FR,Functional
48,F1_REQ_00018,The EIRENE network shall provide display of functional identity of calling/called party.,FR,Functional
49,F1_REQ_00019,The EIRENE network shall provide fast and guaranteed call set-up.,FR,Functional
50,F1_REQ_00020,The EIRENE network shall provide seamless communication support for train speeds up to 500 km/h.,FR,Functional
51,F1_REQ_00021,The EIRENE network shall provide automatic and manual test modes with fault indications.,FR,Functional
52,F1_REQ_00022,The EIRENE network shall provide control over mobile network selection.,FR,Functional
53,F1_REQ_00023,The EIRENE network shall provide control over system configuration.,FR,Functional
54,F1_REQ_00024,It shall be possible for applications external to EIRENE to access EIRENE bearer services.,FR,Functional
55,F1_REQ_00025,All voice call services shall be able to operate between any combination of fixed and mobile equipment users.,FR,Functional
56,F1_REQ_00026,The system shall support point-to-point voice calls between any two call parties.,FR,Functional
57,F1_REQ_00027,Such point-to-point calls shall allow both parties to talk simultaneously.,FR,Functional
58,F1_REQ_00028,The system shall allow a user to make public emergency point-to-point voice calls.,FR,Functional
59,F1_REQ_00029,The system shall support broadcast voice calls.,FR,Functional
60,F1_REQ_00030,The composition of call groups shall be able to be modified within the network.,FR,Functional
61,F1_REQ_00031,A single user shall be able to be a member of one or more call groups.,FR,Functional
62,F1_REQ_00032,The local area over which broadcast calls shall be implemented shall be able to be modified within the network.,FR,Functional
63,F1_REQ_00033,"It shall only be possible for the user who initiated the call to talk, other users can only listen (for broadcast calls).",FR,Functional
64,F1_REQ_00034,The system shall support group voice calls.,FR,Functional
65,F1_REQ_00035,The composition of call groups shall be able to be modified within the network (for group calls).,FR,Functional
66,F1_REQ_00036,The local area over which group calls are implemented shall be able to be modified within the network (for group calls).,FR,Functional
67,F1_REQ_00037,It shall be possible for controllers to speak at any time during a group call.,FR,Functional
68,F1_REQ_00038,A mechanism shall be provided by the system to arbitrate between those users wishing to speak within the group call.,FR,Functional
69,F1_REQ_00039,The system shall support multi-party voice communications between up to six different parties.,FR,Functional
70,F1_REQ_00040,Any of the parties involved in a multi-party voice call shall be able to talk simultaneously.,FR,Functional
71,F1_REQ_00041,The EIRENE network should support text messages.,NFR,Maintainability
72,F1_REQ_00042,The network should support the receipt of mobile-originated text messages by the ground.,NFR,Maintainability
73,F1_REQ_00043,"If the text message facility is implemented, it shall not interfere with the ability of users to make or receive high priority voice or data calls.",FR,Functional
74,F1_REQ_00044,The network shall support point-to-point data communications.,FR,Functional
75,F1_REQ_00045,The network shall support data rates of at least 2.4 kbit/s.,FR,Functional
76,F1_REQ_00046,The network should support fax transmissions between the ground and mobile users.,NFR,Maintainability
77,F1_REQ_00047,"Where fax functionality is provided, it shall be possible to interrupt the fax to make or receive a high priority voice or data call.",FR,Functional
78,F1_REQ_00048,"Where ERTMS/ETCS level 2 or 3 is implemented, the network shall be capable of supporting data communications for that train control system.",FR,Functional
79,F1_REQ_00049,The EIRENE network shall support display of identity of called/calling user.,FR,Functional
80,F1_REQ_00050,The EIRENE network should support restriction of display of called/calling user.,NFR,Maintainability
81,F1_REQ_00051,The EIRENE network shall support priority and pre-emption.,FR,Functional
82,F1_REQ_00052,The EIRENE network shall support closed user group.,FR,Functional
83,F1_REQ_00053,The EIRENE network shall support call forwarding.,FR,Functional
84,F1_REQ_00054,The EIRENE network shall support call hold.,FR,Functional
85,F1_REQ_00055,The EIRENE network shall support call waiting.,FR,Functional
86,F1_REQ_00056,The EIRENE network should support charging information.,NFR,Maintainability
87,F1_REQ_00057,The EIRENE network shall support call barring.,FR,Functional
88,F1_REQ_00058,It shall be possible for the equipment to display the identity of the called or calling party in the form of a standard telephone number.,FR,Functional
89,F1_REQ_00059,It shall be possible to display the identity of the called or calling party as a textual description of their function.,FR,Functional
90,F1_REQ_00060,"It should be possible for the network to prevent the identity of certain users from being displayed on the mobile, either when being called, calling or both.",NFR,Functional
91,F1_REQ_00061,The network shall provide a mechanism whereby calls may be assigned one of a number of different priority levels.,FR,Functional
92,F1_REQ_00062,This mechanism shall allow calls with a higher assigned priority to override (pre-empt) existing calls of a lower priority.,FR,Functional
93,F1_REQ_00063,Pre-empted calls will be discontinued and the new call of a higher priority shall be connected instead.,FR,Functional
94,F1_REQ_00064,The group of users who may access the facilities of the EIRENE network shall be limited.,FR,Functional
95,F1_REQ_00065,Any user who is not within the list of allowed EIRENE users shall not be able to gain access to any of the functions and services provided by the network.,FR,Functional
96,F1_REQ_00066,It shall be possible for an incoming call or data message for one user to be forwarded to another user using functionality provided by the network.,FR,Functional
97,F1_REQ_00067,"In the case of voice calls, it shall be possible for the user who is attempting to forward a call to converse with the intended recipient prior to forwarding.",FR,Functional
98,F1_REQ_00068,The network shall support automatically forwarding the incoming call without any user interaction (unconditional).,FR,Functional
99,F1_REQ_00069,The network shall support automatically forwarding the incoming call without user interaction if the user is busy in an existing call (busy).,FR,Functional
100,F1_REQ_00070,The network should support automatically forwarding the incoming call if there is no reply from the intended recipient (no reply).,NFR,Maintainability
101,F1_REQ_00071,The network should support automatically forwarding the incoming call if the intended recipient cannot be contacted via the network (not reachable).,NFR,Maintainability
102,F1_REQ_00072,The network shall allow the user to temporarily exit from an existing call by putting the call on hold.,FR,Functional
103,F1_REQ_00073,It shall be possible for the user to re-join the call which is on hold at any time.,FR,Functional
104,F1_REQ_00074,"The network shall provide the ability to inform a user, who is involved in an existing call, of attempts by other users to contact them.",FR,Functional
105,F1_REQ_00075,"Where network services are chargeable, it should be possible for the network to provide information about call rates and on-going call charges.",FR,Functional
106,F1_REQ_00076,"It shall be possible, using network management or maintenance facilities, to prevent individual users from making calls to another network (fixed or mobile).",FR,Functional
107,F1_REQ_00077,"It shall be possible, using network management or maintenance facilities, to prevent individual users from making calls to certain types of numbers within or external to the network.",FR,Functional
108,F1_REQ_00078,"It shall be possible, using network management or maintenance facilities, to prevent individual users from making calls to certain pre-defined telephone numbers.",FR,Functional
109,F1_REQ_00079,"It shall be possible, using network management or maintenance facilities, to prevent individual users from receiving calls from all other networks (fixed or mobile).",FR,Functional
110,F1_REQ_00080,"It shall be possible, using network management or maintenance facilities, to prevent individual users from receiving calls from certain other networks (fixed or mobile).",FR,Functional
111,F1_REQ_00081,"It shall be possible, using network management or maintenance facilities, to prevent individual users from receiving calls from certain types of numbers within or external to the network.",FR,Functional
112,F1_REQ_00082,"It shall be possible, using network management or maintenance facilities, to prevent individual users from receiving calls from certain pre-defined telephone numbers.",FR,Functional
113,F1_REQ_00083,The EIRENE network shall provide support for functional addressing including registration/deregistration (see section 11).,FR,Functional
114,F1_REQ_00084,The EIRENE network shall provide support for location dependent addressing (see section 11).,FR,Functional
115,F1_REQ_00085,The EIRENE network shall provide support for shunting mode (see section 14).,FR,Functional
116,F1_REQ_00086,The EIRENE network shall provide support for Railway emergency calls (see section 13).,FR,Functional
117,F1_REQ_00087,The level of coverage should be at least 95% of the time over 95% of the designated coverage area for a radio installed in a vehicle with an external antenna.,NFR,Portability
118,F1_REQ_00088,The network shall support all EIRENE-compliant mobiles.,FR,Functional
119,F1_REQ_00089,"The land-based part of the system shall provide communications for mobiles when stationary and when travelling at speeds up to the maximum allowable line speed or 500 km/h, whichever is the lower.",FR,Functional
120,F1_REQ_00090,Railway emergency calls call set-up time shall be <2s*.,FR,Functional
121,F1_REQ_00091,Group calls between drivers in the same area call set-up time shall be <5s.,FR,Functional
122,F1_REQ_00092,All operational mobile-to-fixed calls not covered by the above call set-up time should be <5s.,NFR,Portability
123,F1_REQ_00093,All operational fixed-to-mobile calls not covered by the above call set-up time should be <7s.,NFR,Portability
124,F1_REQ_00094,All operational mobile-to-mobile calls not covered by the above call set-up time should be <10s.,NFR,Portability
125,F1_REQ_00095,All low priority calls call set-up time should be <10s.,NFR,Functional
126,F1_REQ_00096,The required call set-up times shall be achieved in 95% of cases.,FR,Functional
127,F1_REQ_00097,Call set-up times for 99% of cases shall not be more than 1.5 times the required call set-up time.,FR,Functional
128,F1_REQ_00098,Set-up times shall include the time required for any translation of functional numbers internal to the EIRENE network.,FR,Functional
129,F1_REQ_00099,"It shall be possible to determine the area over which a group or broadcast call takes place by one, or a combination, of the following: the location of the call initiator (if mobile-originated); the identity of the group being called (eg all users, all trains, etc); a prefix to the group identity specifying the call area (if fixed network-initiated).",FR,Functional
130,F1_REQ_00100,"Any group or broadcast calls initiated in a given location shall be broadcast over an associated area based on the location of the call originator, and also to any fixed network numbers associated with the originating location.",FR,Functional
131,F1_REQ_00101,The definition of each broadcast or group call area should take into account factors such as the speed of trains on the line (stopping distance) and the operational control areas.,NFR,Portability
132,F1_REQ_00102,Mobiles configured for reception of railway emergency calls entering into a call area where a railway emergency call is ongoing shall automatically join this call.,FR,Functional
133,F1_REQ_00103,Cab Radios configured for reception of a call to all drivers in the same area entering an area where a call to all drivers in the same area is ongoing shall automatically join this call unless involved in a higher priority call or involved in a call of the same priority.,FR,Functional
134,F1_REQ_00104,"It shall be possible to operate all mobiles in the frequency bands around 900 MHz, allocated for use by the railways, and in the public GSM networks.",FR,Functional
135,F1_REQ_00105,Mobile equipment shall function correctly when travelling at speeds from 0 km/h to 500 km/h.,FR,Functional
136,F1_REQ_00106,Cab radio shall support multi-party voice calls.,FR,Functional
137,F1_REQ_00107,General purpose radio should support multi-party voice calls.,NFR,Maintainability
138,F1_REQ_00108,Operational radio should support multi-party voice calls.,NFR,Maintainability
139,F1_REQ_00109,Cab radio shall support general data applications.,FR,Functional
140,F1_REQ_00110,General purpose radio should support general data applications.,NFR,Maintainability
141,F1_REQ_00111,Operational radio should support general data applications.,NFR,Maintainability
142,F1_REQ_00112,Cab radio should support automatic fax.,NFR,Maintainability
