,id,text,class,subclass,confidence
0,F0_REQ_00000,All applications under the GlobalPlatform shall be implemented in a hardware-neutral secure runtime environment,FR,Functional,0.8
1,F0_REQ_00001,The run time environment shall be responsible to separate secure storage for the application code and data,FR,Functional,0.8
2,F0_REQ_00002,The run time environment shall responsible to establish communication services  between card and off-card entities,FR,Functional,0.8
3,F0_REQ_00003,Security domain shall ensure complete seperation of keys among the card issuers and other application providers,FR,Functional,0.8
4,F0_REQ_00004,""" """"Security Domains shall support security services such as key handling, encryption, decryption, digital signature generation and verification for their providers' such as card issuer, applicaiton providers and controlling authority""""",FR,Functional,0.8
5,F0_REQ_00005,"The GlobalPlatform Environment(OPEN) shall responsible for to provide an API to applications,command dispatch, Application selection, (optional) logical channel management, and Card Content management",FR,Functional,0.8
6,F0_REQ_00006,"The OPEN shall responsible to load application code, card content and memory management",NFR,Performance,1
7,F0_REQ_00007,The OPEN shall responsible to enforce security principles defined for Card Content management.,FR,Functional,0.8
8,F0_REQ_00008,"The OPEN shall own the GlobalPlatform register that contains information for managing the card, Executable Load Files,Applications, Security Domain associations, and privileges.",FR,Functional,0.8
9,F0_REQ_00009,The GlobalPlatform API shall provides services to the application such as card verification and security services,FR,Functional,0.8
10,F0_REQ_00010,The GlobalPlatform API shall provides services  to the card content management such as  card locking and application life cycle state update,FR,Functional,0.8
30,F0_REQ_00030,""" """"Secure memory management shall ensure that Each application's code and data (including transient session data) as well as the runtime environment itself and its data (including transient session data) is protected from unauthorized access from within the card,""""",NFR,Performance,1
31,F0_REQ_00031,""" """"Secure memory management shall ensure that When more than one logical channel is supported, each concurrently selected Application's code and data (including transient session data) as well as the runtime environment itself and its data (including transient session data) is protected from unauthorized access from within the card,""""",NFR,Performance,1
32,F0_REQ_00032,"Secure memory management shall ensure that The previous contents of the memory is not accessible when that memory is reused,",NFR,Performance,1
33,F0_REQ_00033,""" """"Secure memory management shall ensure that The memory recovery process is secure and consistent in case of a loss of power or withdrawal of the card from the card reader while an operation is in progress,""""",NFR,Performance,1
35,F0_REQ_00035,"Each Trusted Framework present on the card shall Check the application access rules of the inter-acting Applications according to their respective privileges,",FR,Functional,0.8
36,F0_REQ_00036,""" """"Each Trusted Framework present on the card shall Enforce the Trusted Framework security rules for inter-application communication, including the rules, defined in appendix G,""""",FR,Functional,0.8
37,F0_REQ_00037,"Each Trusted Framework present on the card shall Ensure that incoming messages are properly routed unaltered to their intended destinations,",FR,Functional,0.8
38,F0_REQ_00038,""" """"Each Trusted Framework present on the card shall Ensure that any response messages are properly returned unaltered (except for any cryptographic protection) to the original receiver of the incoming message.""""",FR,Functional,0.8
39,F0_REQ_00039,""" """"The OPEN shall Provide an interface to all Applications that ensures that the GlobalPlatform security mechanism cannot be bypassed, deactivated, corrupted or otherwise circumvented,""""",FR,Functional,0.8
40,F0_REQ_00040,"The OPEN shall Check application access rules according to the Applications' privileges,",FR,Functional,0.8
41,F0_REQ_00041,The OPEN shall Manage card and Application Life Cycle,FR,Functional,0.8
42,F0_REQ_00042,"The OPEN shall Ensure that the Card Content changes are authorized by the Card Issuer,",FR,Functional,0.8
43,F0_REQ_00043,"The OPEN shall Ensure that application code has been signed by the Controlling Authority represented on the card,",FR,Functional,0.8
44,F0_REQ_00044,"The OPEN shall Ensure that application code has been signed by Application Providers represented on the card, if required.",FR,Functional,0.8
46,F0_REQ_00046,""" """"When applicable a Security Domain shall Communicate with off-card entities in accordance with its Security Domain Provider's security policy in Pre-Issuance and Post-Issuance,""""",FR,Functional,0.8
47,F0_REQ_00047,"When applicable a Security Domain shall Manage on-card data securely,",FR,Functional,0.8
48,F0_REQ_00048,""" """"When applicable a Security Domain shall Provide cryptographic protection services for its own Applications during their personalization and optionally during their subsequent operation,""""",FR,Functional,0.8
49,F0_REQ_00049,"When applicable a Security Domain shall Request the OPEN to load, install, extradite, and delete card content,",FR,Functional,0.8
50,F0_REQ_00050,"When applicable a Security Domain shall Return to the off-card entity any receipt for load, install, extradition, and delete,",FR,Functional,0.8
51,F0_REQ_00051,"When applicable a Security Domain shall Verify the authorization for Card Content changes initiated by an off-card authority,",FR,Functional,0.8
52,F0_REQ_00052,"When applicable a Security Domain shall Generate receipts for load, install, extradition, and delete,",FR,Functional,0.8
53,F0_REQ_00053,When applicable a Security Domain shall Verify the load file data block signature when requested by the OPEN.,FR,Functional,0.8
54,F0_REQ_00054,"A Global Services Application shall Be able to provide services to other Applications, such as CVM services,",FR,Functional,0.8
55,F0_REQ_00055,"A Global Services Application shall Hold the Global Services application-related data securely,",FR,Functional,0.8
56,F0_REQ_00056,A Global Services Application shall Perform internal security measures as required by the service.,FR,Functional,0.8
59,F0_REQ_00059,"The back-end systems (multiple back-end systems may exist for a single card), which communicate with the cards, perform the verifications, and manage the off-card key databases, also shall be trusted.",FR,Functional,0.8
61,F0_REQ_00061,The Issuer Security Domain shall implement one Secure Channel Protocol.,FR,Functional,0.8
62,F0_REQ_00062,A Security Domain other than the Issuer Security Domain shall implement [at least] one Secure Channel Protocol.,FR,Functional,0.8
65,F0_REQ_00065,"When present, services to encrypt and decrypt any pattern of data using these algorithms shall be available to Applications.",FR,Functional,0.8
70,F0_REQ_00070,"When present during the loading of a Load File to the card, each signature shall be verified by the appropriate Security Domain.",FR,Functional,0.8
71,F0_REQ_00071,Tokens shall be verified by the appropriate Security Domain.,FR,Functional,0.8
80,F0_REQ_00080,The OPEN shall owns and maintains the Life Cycle information within the GlobalPlatform Registry,FR,Functional,0.8
81,F0_REQ_00081,The OPEN shall be responsible to maintain security and administration of the card and its content,FR,Functional,0.8
82,F0_REQ_00082,"At OP_READY state, the OPEN shall be available and ready for execution",FR,Functional,0.8
83,F0_REQ_00083,"At OP_READY state, the runtime environment shall be  ready for execution",FR,Functional,0.8
84,F0_REQ_00084,"At OP_READY state, issuer security domain shall be implicitly selected application for all card interfaces",FR,Functional,0.8
85,F0_REQ_00085,"At OP_READY state,Executable Load Files that were included in Immutable Persistent Memory shall be registered in the GlobalPlatform Registry",NFR,Performance,1
86,F0_REQ_00086,"At OP_READY, initial key shall be available within the issuer security domain",FR,Functional,0.8
89,F0_REQ_00089,The off-card entity under the SECURE state shall be used to ensure the availability of all keys by the issuer security domain,FR,Functional,0.8
90,F0_REQ_00090,The CARD_LOCKED state shall has the ability to disable the selected security domain and application,FR,Functional,0.8
91,F0_REQ_00091,The card under CARD_LOCKED state shall only allow the application to select the final application privilege,FR,Functional,0.8
92,F0_REQ_00092,The Card Content changes including any type of data management (specifically Security Domain keys and data) shall not allowed in the CARD_LOCKED state.,FR,Functional,0.8
93,F0_REQ_00093,The state TERMINATED shall be used to permanently disable all card functionality with respect to any card content management and any life cycle changes.,FR,Functional,0.8
100,F0_REQ_00100,"Depending on the relevant privileges of the requesting entity, the following services shall be provided by the OPEN Retrieving the Applications own Life Cycle State stored by the OPEN in the GlobalPlatform Registry,   Retrieving the card Life Cycle State,   Obtaining access to the services of the Security Domain associated with the Application,   Transitioning the card Life Cycle State to CARD_LOCKED,   For contact cards according to ISOIEC 78164 and for contactless cards Type A according to ISOIEC 144433, setting the content of the historical bytes,   Transitioning the Applications own Application Life Cycle State stored by the OPEN in the GlobalPlatform Registry,   Transitioning the card Life Cycle State to TERMINATED,   Obtaining access to GlobalPlatform Registry information,   Obtaining access to Global Services Applications.",FR,Functional,0.8
101,F0_REQ_00101,The commands received by a GlobalPlatform card shall be processed by the OPEN or dispatched to the selected Application for processing.,FR,Functional,0.8
103,F0_REQ_00103,"If the card is aware of logical channels but only supports the Basic Logical Channel, the OPEN shall respond with the appropriate error,",FR,Functional,0.8
104,F0_REQ_00104,"If the card is aware of logical channels and supports at least one Supplementary Logical Channel, the OPEN shall process the command,",FR,Functional,0.8
105,F0_REQ_00105,"If the card only supports the Basic Logical Channel and has no concept of logical channel support, the command shall be dispatched to the selected Application for processing.",FR,Functional,0.8
106,F0_REQ_00106,Any other type of command received shall be dispatched to the currently selected Application.,FR,Functional,0.8
107,F0_REQ_00107,""" """"Commands are either received on the Basic Logical Channel (logical channel number zero) or on a Supplementary Logical Channel (logical channel number other than zero). In compliance with ISO/IEC 7816-4, logical channel information shall be indicated in the class byte of the APDU command header.""""",NFR,Performance,1
108,F0_REQ_00108,""" """"For all commands, if the command indicates a Supplementary Logical Channel that is not opened then:   If the card only supports the Basic Logical Channel and has no concept of logical channel support, the command shall be dispatched to the selected Application for processing.   If the card is aware of logical channels, the OPEN shall respond with the appropriate error. (This requirement may exclude the SELECT command, if the card supports opening of a logical channel using the SELECT command.)""""",FR,Functional,0.8
110,F0_REQ_00110,The Issuer Security Domain shall have no multi-selection restrictions on cards that support multiple logical channels i.e. it shall be capable of being selected across multiple logical channels.,FR,Functional,0.8
115,F0_REQ_00115,""" """"The OPEN shall use the implicit selection registration of each Application for controlling the following runtime behavioral requirements:   Identifying the Application which is implicitly selectable on the Basic Logical Channel of the current card I/O interface during the card reset or activation sequence,   Identifying the Application which is implicitly selectable when opening on the current card I/O interface a new Supplementary Logical Channel from the Basic Logical Channel.""""",FR,Functional,0.8
116,F0_REQ_00116,The Basic Logical Channel is the permanently available interface to a GlobalPlatform card and shall be supported by the OPEN.,FR,Functional,0.8
117,F0_REQ_00117,"The OPEN shall support Application selection on the Basic Logical Channel via Implicit Selection following the card reset (see ISO/IEC 7816-3 for contact cards) or activation sequence (see ISO/IEC 14443-3 for contactless cards),",FR,Functional,0.8
118,F0_REQ_00118,The OPEN shall support Application selection on the Basic Logical Channel via Explicit Selection through the SELECT [by name] command.,FR,Functional,0.8
120,F0_REQ_00120,"Partial AID selection as defined in section 6.4.2.1.2 - Explicit Selection, shall be supported. (Partial AID selection does not require knowledge of the full AID by the off-card entity.)",FR,Functional,0.8
122,F0_REQ_00122,"Once the card session has been established (for contact cards according to ISO/IEC 7816-4 after Answer-to-Reset, or after the activation sequence for contactless cards according to ISO/IEC 14443-3), and before the first command is issued to the card, the Application defined as implicitly selectable on the Basic Logical Channel and for that card I/O interface shall become the selected Application on the Basic Logical Channel for that card I/O interface.",FR,Functional,0.8
123,F0_REQ_00123,"If the card is in the Life Cycle State CARD_LOCKED or TERMINATED, the Application with the Final Application privilege is the selected Application on the Basic Logical Channel and the OPEN shall not attempt to identify the implicitly selectable Application",FR,Functional,0.8
124,F0_REQ_00124,"In all other cases the OPEN shall search the GlobalPlatform Registry for an Application that is marked as implicitly selectable on the Basic Logical Channel for the current card I/O interface (e.g. contact or contactless), and if this Application is not in the Life Cycle State LOCKED, it shall become the selected Application on the Basic Logical Channel. If this is an Application in the Life Cycle State LOCKED, the Application with the Final Application privilege shall become the selected Application on the Basic Logical Channel.",FR,Functional,0.8
125,F0_REQ_00125,At any time during a Card Session the OPEN may receive a request to select an Application on the Basic Logical Channel (SELECT [by name] [first or only occurrence] command). The OPEN shall determine if the requested AID matches or partially matches an entry within the GlobalPlatform Registry and whether this entry is selectable.,FR,Functional,0.8
126,F0_REQ_00126,"At any time during a Card Session that has already contained a SELECT [by name] [first or only occurrence] command, the OPEN may receive a request to select a next Application (SELECT [by name] [next occurrence] command) on the Basic Logical Channel. The OPEN shall determine if the requested AID matches or partially matches another entry within the GlobalPlatform Registry and whether this entry is selectable.",FR,Functional,0.8
129,F0_REQ_00129,""" """"If a SELECT [by name] [first or only occurrence] or SELECT [by name] [next occurrence] is received and the data field of the command message is not present, the Issuer Security Domain shall become the currently selected Application and the SELECT command is dispatched to the Issuer Security Domain,""""",FR,Functional,0.8
132,F0_REQ_00132,"If a full or partial match is found and this Application is in the Life Cycle State INSTALLED, continue searching through the GlobalPlatform Registry for a subsequent full or partial match. If no subsequent full or partial match is found, the OPEN shall return the appropriate error to the off-card entity,",FR,Functional,0.8
